Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,11,11.0,Y,"$5,253,000",Nolan Schanuel (minors),1B,0.1,29.0,109.0,1.0,0.275,0.732,,,,,,,4Yr,"Florida Atlantic University (Boca Raton, FL)",1
2022,1,,13,13.0,Y,"$3,500,000",Zach Neto (minors),SS,1.6,84.0,289.0,9.0,0.225,0.685,,,,,,,4Yr,"Campbell University (Buies Creek, NC)",1
2021,1,,9,9.0,Y,"$3,847,500",Sam Bachman (minors),P,0.4,0.0,0.0,,,,11.0,1.0,2.0,3.18,1.65,1.0,4Yr,"Miami University of Ohio (Oxford, OH)",1
2020,1,,10,10.0,Y,"$4,670,000",Reid Detmers (minors),P,4.3,1.0,1.0,0.0,0.0,0.5,58.0,12.0,19.0,4.37,1.32,0.0,4Yr,"University of Louisville (Louisville, KY)",1
2019,1,,15,15.0,Y,"$3,397,500",Will Wilson (minors),SS,,,,,,,,,,,,,4Yr,"North Carolina State University (Raleigh, NC)",1
2018,1,,17,17.0,Y,"$4,100,000",Jordyn Adams (minors),OF,-0.7,17.0,39.0,0.0,0.128,0.253,,,,,,,HS,"Green Hope HS (Cary, NC)",1
2017,1,,10,10.0,Y,"$4,376,800",Jo Adell (minors),OF,-1.4,178.0,580.0,18.0,0.214,0.625,,,,,,,HS,"Ballard HS (Louisville, KY)",1
2016,1,,16,16.0,Y,"$2,150,000",Matt Thaiss (minors),C,0.1,188.0,506.0,20.0,0.21,0.665,,,,,,,4Yr,"University of Virginia (Charlottesville, VA)",1
2015,1,,26,26.0,Y,"$1,670,000",Taylor Ward (minors),C,4.8,391.0,1330.0,52.0,0.255,0.762,,,,,,,4Yr,"California State University, Fresno (Fresno, CA)",1
2014,1,,15,15.0,Y,"$2,518,400",Sean Newcomb (minors),LHP,2.5,128.0,81.0,0.0,0.037,0.121,168.0,27.0,25.0,4.47,1.46,2.0,4Yr,"University of Hartford (West Hartford, CT)",1
2011,1,,17,17.0,Y,"$1,467,000",C.J. Cron (minors),1B,12.4,1049.0,3670.0,187.0,0.26,0.791,,,,,,,4Yr,"University of Utah (Salt Lake City, UT)",1
