Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,28,28.0,Y,"$2,478,200",Brice Matthews (minors),SS,,,,,,,,,,,,,4Yr,"University of Nebraska-Lincoln (Lincoln, NE)",1
2022,1,,28,28.0,Y,"$2,497,500",Drew Gilbert (minors),OF,,,,,,,,,,,,,4Yr,"University of Tennessee (Knoxville, TN)",1
2019,1,,32,32.0,Y,"$1,750,000",Korey Lee (minors),C,-1.1,36.0,90.0,1.0,0.1,0.323,,,,,,,4Yr,"University of California, Berkeley (Berkeley, CA)",1
2018,1,,28,28.0,Y,"$2,250,000",Seth Beer (minors),OF,-0.8,43.0,120.0,2.0,0.208,0.586,,,,,,,4Yr,"Clemson University (Clemson, SC)",1
2017,1,,15,15.0,Y,"$3,600,000",J.B. Bukauskas (minors),RHP,-0.9,22.0,0.0,0.0,,,27.0,2.0,2.0,5.92,1.64,0.0,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)",1
2016,1,,17,17.0,Y,"$3,148,000",Forrest Whitley (minors),RHP,,,,,,,,,,,,,HS,"Alamo Heights HS (San Antonio, TX)",1
2015,1,,2,2.0,Y,"$5,900,000",Alex Bregman (minors),SS,35.4,966.0,3576.0,165.0,0.274,0.861,,,,,,,4Yr,"Louisiana State University (Baton Rouge, LA)",1
2015,1,,5,5.0,Y,"$4,000,000",Kyle Tucker (minors),OF,18.3,555.0,1964.0,102.0,0.272,0.852,,,,,,,HS,"H. B. Plant HS (Tampa, FL)",1
2015,1,,37,37.0,Y,"$4,000,000",Daz Cameron (minors),OF,-0.6,73.0,224.0,5.0,0.201,0.597,,,,,,,HS,"Eagle's Landing Christian Academy (McDonough, GA)",1
2014,1,,1,1.0,N,,Brady Aiken (minors),LHP,,,,,,,,,,,,,HS,"Cathedral Catholic HS (San Diego, CA)",1
2014,1,,37,37.0,Y,"$1,534,100",Derek Fisher (minors),OF,0.2,172.0,410.0,17.0,0.195,0.663,,,,,,,4Yr,"University of Virginia (Charlottesville, VA)",1
2013,1,,1,1.0,Y,"$6,350,000",Mark Appel (minors),RHP,0.3,1.0,0.0,0.0,,,6.0,0.0,0.0,1.74,1.16,0.0,4Yr,"Stanford University (Palo Alto, CA)",1
2012,1,,1,1.0,Y,"$4,800,000",Carlos Correa (minors),SS,40.9,1023.0,3860.0,173.0,0.272,0.82,,,,,,,HS,"Puerto Rico Baseball Academy (Gurabo, Puerto Rico)",1
2012,1s,,41,41.0,Y,"$2,500,000",*Lance McCullers Jr. (minors),RHP,11.1,7.0,14.0,0.0,0.071,0.143,130.0,49.0,32.0,3.48,1.25,0.0,HS,"Jesuit HS (Tampa, FL)",1
2011,1,,11,11.0,Y,"$2,525,000",George Springer (minors),OF,36.2,1160.0,4512.0,242.0,0.267,0.835,,,,,,,4Yr,"University of Connecticut (Storrs, CT)",1
2010,1,,8,8.0,Y,"$2,150,000",Delino DeShields (minors),CF,5.1,601.0,1828.0,19.0,0.246,0.669,,,,,,,HS,"Woodward Academy (College Park, GA)",1
2010,1,,19,19.0,Y,"$1,305,000",*Mike Foltynewicz (minors),RHP,4.4,117.0,201.0,0.0,0.07,0.159,166.0,46.0,54.0,4.52,1.32,0.0,HS,"Minooka Community HS (Minooka, IL)",1
2010,1s,,33,33.0,Y,"$936,000",*Mike Kvasnicka (minors),C,,,,,,,,,,,,,4Yr,"University of Minnesota (Minneapolis, MN)",1
2009,1,,21,21.0,Y,"$1,358,000",Jiovanni Mier (minors),SS,,,,,,,,,,,,,HS,"Bonita HS (La Verne, CA)",1
2008,1,,10,10.0,Y,"$2,070,000",Jason Castro (minors),C,12.4,952.0,2981.0,97.0,0.227,0.699,,,,,,,4Yr,"Stanford University (Palo Alto, CA)",1
2008,1s,,38,38.0,Y,"$930,000",*Jordan Lyles (minors),RHP,-2.6,218.0,223.0,2.0,0.112,0.314,352.0,72.0,107.0,5.24,1.41,2.0,HS,"Hartsville HS (Hartsville, SC)",1
2006,1,,23,23.0,Y,"$1,400,000",Maxwell Sapp (minors),C,,,,,,,,,,,,,HS,"Bishop Moore HS (Orlando, FL)",1
2005,1,,24,24.0,Y,"$1,375,000",Brian Bogusevic (minors),LHP,2.1,321.0,748.0,19.0,0.238,0.684,1.0,0.0,0.0,18.0,3.0,0.0,4Yr,"Tulane University (New Orleans, LA)",1
2005,1s,,38,38.0,Y,"$900,000",*Eli Iorg (minors),OF,,,,,,,,,,,,,4Yr,"University of Tennessee (Knoxville, TN)",1
2002,1,,29,29.0,Y,"$1,125,000",Derick Grigsby (minors),RHP,,,,,,,,,,,,,JC,"Northeast Texas Community College (Mount Pleasant, TX)",1
