Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,6,6.0,Y,"$5,500,000",Jacob Wilson (minors),SS,,,,,,,,,,,,,4Yr,"Grand Canyon University (Phoenix, AZ)",1
2023,1,,39,39.0,Y,"$2,202,500",Myles Naylor (minors),3B,,,,,,,,,,,,,HS,"St. Joan of Arc Catholic SS (Mississauga, ON)",1
2022,1,,19,19.0,Y,"$3,531,200",Daniel Susac (minors),C,,,,,,,,,,,,,4Yr,"University of Arizona (Tucson, AZ)",1
2021,1,,25,25.0,Y,"$2,850,000",Max Muncy (minors),SS,,,,,,,,,,,,,HS,"Thousand Oaks HS (Thousand Oaks, CA)",1
2020,1,,26,26.0,Y,"$3,300,000",Tyler Soderstrom (minors),C,-1.1,45.0,125.0,3.0,0.16,0.472,,,,,,,HS,"Turlock HS (Turlock, CA)",1
2019,1,,29,29.0,Y,"$2,424,600",Logan Davidson (minors),SS,,,,,,,,,,,,,4Yr,"Clemson University (Clemson, SC)",1
2018,1,,9,9.0,Y,"$4,660,000",Kyler Murray (minors),CF,,,,,,,,,,,,,4Yr,"University of Oklahoma (Norman, OK)",1
2017,1,,6,6.0,Y,"$5,303,000",Austin Beck (minors),OF,,,,,,,,,,,,,HS,"North Davidson HS (Lexington, NC)",1
2017,1,,33,33.0,Y,"$1,800,000",Kevin Merrell (minors),SS,,,,,,,,,,,,,4Yr,"University of South Florida (Tampa, FL)",1
2016,1,,6,6.0,Y,"$4,125,000",A.J. Puk (minors),LHP,1.8,0.0,0.0,0.0,,,142.0,13.0,11.0,3.72,1.23,19.0,4Yr,"University of Florida (Gainesville, FL)",1
2016,1,,37,37.0,Y,"$1,600,000",Daulton Jefferies (minors),RHP,-0.3,0.0,0.0,0.0,,,14.0,2.0,8.0,5.75,1.35,0.0,4Yr,"University of California, Berkeley (Berkeley, CA)",1
2015,1,,20,20.0,Y,"$1,950,000",Richie Martin (minors),SS,-2.0,170.0,411.0,7.0,0.212,0.572,,,,,,,4Yr,"University of Florida (Gainesville, FL)",1
2014,1,,25,25.0,Y,"$1,750,000",Matt Chapman (minors),3B,31.2,868.0,3138.0,155.0,0.24,0.79,,,,,,,4Yr,"California State University, Fullerton (Fullerton, CA)",1
2013,1,,24,24.0,Y,"$1,800,000",Billy McKinney (minors),CF,-0.2,311.0,818.0,34.0,0.209,0.674,,,,,,,HS,"Plano West HS (Plano, TX)",1
2012,1,,11,11.0,Y,"$2,625,000",Addison Russell (minors),SS,11.3,615.0,1987.0,60.0,0.242,0.704,,,,,,,HS,"Pace HS (Pace, FL)",1
2012,1s,,34,34.0,Y,"$1,500,000",*Daniel Robertson (minors),SS,2.2,299.0,801.0,18.0,0.227,0.683,3.0,0.0,0.0,0.0,0.67,0.0,HS,"Upland HS (Upland, CA)",1
2012,1s,,47,47.0,Y,"$1,079,700",*Matt Olson (minors),1B,29.1,899.0,3272.0,230.0,0.256,0.873,,,,,,,HS,"Parkview HS (Lilburn, GA)",1
2011,1,,18,18.0,Y,"$1,540,000",Sonny Gray (minors),RHP,30.0,63.0,99.0,0.0,0.141,0.328,279.0,98.0,85.0,3.47,1.2,0.0,4Yr,"Vanderbilt University (Nashville, TN)",1
2010,1,,10,10.0,Y,"$2,000,000",Michael Choice (minors),CF,-2.0,96.0,272.0,9.0,0.188,0.573,,,,,,,4Yr,"University of Texas at Arlington (Arlington, TX)",1
2009,1,,13,13.0,Y,"$2,750,000",Grant Green (minors),SS,-1.7,129.0,330.0,4.0,0.249,0.62,,,,,,,4Yr,"University of Southern California (Los Angeles, CA)",1
2008,1,,12,12.0,Y,"$1,910,000",Jemile Weeks (minors),2B,1.5,260.0,955.0,4.0,0.255,0.667,,,,,,,4Yr,"University of Miami (Coral Gables, FL)",1
2007,1,,26,26.0,Y,"$1,192,500",James Simmons (minors),RHP,,,,,,,,,,,,,4Yr,"University of California, Riverside (Riverside, CA)",1
2007,1s,,41,41.0,Y,"$742,500",*Sean Doolittle (minors),1B,9.9,189.0,4.0,0.0,0.0,0.0,463.0,26.0,24.0,3.2,1.01,112.0,4Yr,"University of Virginia (Charlottesville, VA)",1
2007,1s,,59,59.0,Y,"$544,500",*Corey Brown (minors),OF,0.4,39.0,41.0,2.0,0.171,0.635,,,,,,,4Yr,"Oklahoma State University (Stillwater, OK)",1
2005,1,,21,21.0,Y,"$1,475,000",Cliff Pennington (minors),SS,10.1,971.0,2799.0,36.0,0.242,0.648,1.0,0.0,0.0,9.0,3.0,0.0,4Yr,"Texas A&M University (College Station, TX)",1
2005,1s,,36,36.0,Y,"$950,000",*Travis Buck (minors),OF,2.8,253.0,810.0,20.0,0.243,0.715,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",1
2004,1,,24,24.0,Y,"$1,000,000",*Landon Powell (minors),C,0.2,123.0,363.0,10.0,0.207,0.612,,,,,,,4Yr,"University of South Carolina (Columbia, SC)",1
2004,1,,26,26.0,Y,"$1,325,000",Richie Robnett (minors),OF,,,,,,,,,,,,,4Yr,"California State University, Fresno (Fresno, CA)",1
2004,1s,,36,36.0,Y,"$950,000",*Danny Putnam (minors),OF,-0.2,11.0,28.0,1.0,0.214,0.612,,,,,,,4Yr,"Stanford University (Palo Alto, CA)",1
2004,1s,,40,40.0,Y,"$800,000",*Huston Street (minors),RHP,14.5,304.0,2.0,0.0,0.0,0.0,668.0,42.0,34.0,2.95,1.07,324.0,4Yr,"University of Texas at Austin (Austin, TX)",1
2003,1,,25,25.0,Y,"$1,360,000",Brad Sullivan (minors),RHP,,,,,,,,,,,,,4Yr,"University of Houston (Houston, TX)",1
2003,1,,26,26.0,Y,"$1,325,000",*Brian Snyder (minors),3B,,,,,,,,,,,,,4Yr,"Stetson University (DeLand, FL)",1
2003,1s,,33,33.0,Y,"$992,500",*Omar Quintanilla (minors),SS,-0.9,402.0,1035.0,8.0,0.22,0.582,,,,,,,4Yr,"University of Texas at Austin (Austin, TX)",1
2002,1,,16,16.0,Y,"$1,780,000",*Nick Swisher (minors),1B,21.5,1527.0,5369.0,245.0,0.249,0.799,1.0,0.0,0.0,0.0,2.0,0.0,4Yr,"The Ohio State University (Columbus, OH)",1
2002,1,,24,24.0,Y,"$1,400,000",*Joe Blanton (minors),RHP,11.8,262.0,216.0,0.0,0.107,0.263,427.0,101.0,97.0,4.38,1.34,2.0,4Yr,"University of Kentucky (Lexington, KY)",1
2002,1,,26,26.0,Y,"$1,375,000",John McCurdy (minors),SS,,,,,,,,,,,,,4Yr,"University of Maryland (College Park, MD)",1
2002,1,,30,30.0,Y,"$1,200,000",*Ben Fritz (minors),RHP,,,,,,,,,,,,,4Yr,"California State University, Fresno (Fresno, CA)",1
2002,1s,,35,35.0,Y,"$350,000",*Jeremy Brown (minors),C,0.1,5.0,10.0,0.0,0.3,0.864,,,,,,,4Yr,"University of Alabama (Tuscaloosa, AL)",1
2002,1s,,37,37.0,Y,"$750,000",*Steve Obenchain (minors),RHP,,,,,,,,,,,,,4Yr,"University of Evansville (Evansville, IN)",1
2002,1s,,39,39.0,Y,"$725,000",*Mark Teahen (minors),3B,2.6,831.0,2873.0,67.0,0.264,0.736,,,,,,,4Yr,"Saint Mary's College of California (Moraga, CA)",1
2001,1,,25,25.0,Y,"$1,350,000",Bobby Crosby (minors),SS,5.4,747.0,2559.0,62.0,0.236,0.677,,,,,,,4Yr,"California State University, Long Beach (Long Beach, CA)",1
2001,1,,26,26.0,Y,"$1,350,000",*Jeremy Bonderman (minors),RHP,4.9,15.0,30.0,0.0,0.033,0.067,225.0,69.0,81.0,4.91,1.41,0.0,HS,"Pasco HS (Pasco, WA)",1
