Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,20,20,Y,"$3,000,000",Arjun Nimmala (minors),SS,,,,,,,,,,,,,HS,"Strawberry Crest HS (Dover, FL)",1
2022,1,,23,23,Y,"$3,597,500",Brandon Barriera (minors),P,,,,,,,,,,,,,HS,"American Heritage HS (Plantation, FL)",1
2021,1,,19,19,Y,"$3,247,500",Gunnar Hoglund (minors),P,,,,,,,,,,,,,4Yr,"University of Mississippi (Oxford, MS)",1
2020,1,,5,5,Y,"$7,000,825",Austin Martin (minors),SS,,,,,,,,,,,,,4Yr,"Vanderbilt University (Nashville, TN)",1
2019,1,,11,11,Y,"$4,547,500",Alek Manoah (minors),P,7.8,1.0,1.0,0.0,0.0,0.0,70.0,28.0,18.0,3.32,1.17,0.0,4Yr,"West Virginia University (Morgantown, WV)",1
2018,1,,12,12,Y,"$3,400,000",Jordan Groshans (minors),SS,-0.1,17.0,61.0,1.0,0.262,0.619,,,,,,,HS,"Magnolia HS (Magnolia, TX)",1
2017,1,,22,22,Y,"$2,820,200",Logan Warmoth (minors),SS,,,,,,,,,,,,,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)",1
2017,1,,28,28,Y,"$2,452,900",Nate Pearson (minors),RHP,-0.4,0.0,0.0,0.0,,,52.0,7.0,3.0,5.0,1.41,1.0,JC,"College of Central Florida (Ocala, FL)",1
2016,1,,21,21,Y,"$2,175,000",T.J. Zeuch (minors),RHP,-0.6,1.0,1.0,0.0,0.0,0.0,16.0,2.0,7.0,6.49,1.79,0.0,4Yr,"University of Pittsburgh (Pittsburgh, PA)",1
2015,1,,29,29,Y,"$1,944,800",Jon Harris (minors),RHP,,,,,,,,,,,,,4Yr,"Missouri State University (Springfield, MO)",1
2014,1,,9,9,Y,"$3,080,800",Jeff Hoffman (minors),RHP,1.6,86.0,77.0,0.0,0.13,0.273,188.0,20.0,23.0,5.26,1.5,2.0,4Yr,"East Carolina University (Greenville, NC)",1
2014,1,,11,11,Y,"$2,888,300",Max Pentecost (minors),C,,,,,,,,,,,,,4Yr,"Kennesaw State University (Kennesaw, GA)",1
2013,1,,10,10,N,,Phil Bickford (minors),RHP,0.6,58.0,3.0,0.0,0.333,0.667,179.0,11.0,8.0,4.43,1.24,2.0,HS,"Oaks Christian HS (Westlake, CA)",1
2012,1,,17,17,Y,"$1,750,000",D.J. Davis (minors),OF,,,,,,,,,,,,,HS,"Stone HS (Wiggins, MS)",1
2012,1,,22,22,Y,"$1,800,000",*Marcus Stroman (minors),RHP,21.7,56.0,89.0,1.0,0.101,0.308,231.0,77.0,76.0,3.65,1.25,1.0,4Yr,"Duke University (Durham, NC)",1
2012,1s,,50,50,Y,"$2,000,000",*Matt Smoral (minors),LHP,,,,,,,,,,,,,HS,"Solon HS (Solon, OH)",1
2012,1s,,58,58,Y,"$1,000,000",*Mitch Nay (minors),3B,,,,,,,,,,,,,HS,"Hamilton HS (Chandler, AZ)",1
2012,1s,,60,60,Y,"$750,000",*Tyler Gonzales (minors),RHP,,,,,,,,,,,,,HS,"James Madison HS (San Antonio, TX)",1
2011,1,,21,21,N,,Tyler Beede (minors),RHP,-0.4,28.0,40.0,0.0,0.1,0.263,58.0,7.0,16.0,5.34,1.56,0.0,HS,"Lawrence Academy (Groton, MA)",1
2011,1s,,35,35,Y,"$990,000",*Jacob Anderson (minors),OF,,,,,,,,,,,,,HS,"Chino HS (Chino, CA)",1
2011,1s,,46,46,Y,"$500,000",*Joe Musgrove (minors),RHP,12.9,104.0,138.0,0.0,0.145,0.358,187.0,60.0,57.0,3.72,1.17,2.0,HS,"Grossmont HS (La Mesa, CA)",1
2011,1s,,53,53,Y,"$800,000",*Dwight Smith Jr. (minors),OF,-0.8,169.0,512.0,17.0,0.248,0.726,,,,,,,HS,"McIntosh HS (Peachtree City, GA)",1
2011,1s,,57,57,Y,"$1,650,000",*Kevin Comer (minors),RHP,,,,,,,,,,,,,HS,"Seneca HS (Tabernacle, NJ)",1
2010,1,,11,11,Y,"$2,000,000",Deck McGuire (minors),RHP,-0.2,9.0,6.0,0.0,0.167,0.333,27.0,1.0,3.0,5.23,1.47,0.0,4Yr,"Georgia Institute of Technology (Atlanta, GA)",1
2010,1s,,34,34,Y,"$775,000",*Aaron Sanchez (minors),RHP,8.1,17.0,22.0,0.0,0.0,0.044,174.0,38.0,38.0,4.16,1.38,3.0,HS,"Barstow HS (Barstow, CA)",1
2010,1s,,38,38,Y,"$600,000",*Noah Syndergaard (minors),RHP,15.7,113.0,222.0,6.0,0.153,0.472,164.0,59.0,47.0,3.71,1.2,0.0,HS,"Legacy HS (Mansfield, TX)",1
2010,1s,,41,41,Y,"$815,400",*Asher Wojciechowski (minors),RHP,-0.3,24.0,15.0,0.0,0.067,0.133,58.0,9.0,15.0,5.93,1.46,0.0,4Yr,"The Citadel (Charleston, SC)",1
2009,1,,20,20,Y,"$1,359,000",Chad Jenkins (minors),RHP,1.4,4.0,2.0,0.0,0.0,0.0,46.0,3.0,4.0,3.31,1.25,0.0,4Yr,"Kennesaw State University (Kennesaw, GA)",1
2009,1s,,37,37,N,,*James Paxton (minors),LHP,13.6,8.0,12.0,0.0,0.0,0.143,156.0,64.0,38.0,3.69,1.22,0.0,4Yr,"University of Kentucky (Lexington, KY)",1
2008,1,,17,17,Y,"$1,500,000",David Cooper (minors),1B,0.1,72.0,211.0,6.0,0.27,0.751,,,,,,,4Yr,"University of California, Berkeley (Berkeley, CA)",1
2007,1,,16,16,Y,"$1,440,000",*Kevin Ahrens (minors),3B,,,,,,,,,,,,,HS,"Memorial HS (Houston, TX)",1
