Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,24,24.0,Y,"$2,997,500",Hurston Waldrep (minors),P,,,,,,,,,,,,,4Yr,"University of Florida (Gainesville, FL)",1
2022,1,,20,20.0,Y,"$2,556,900",Owen Murphy (minors),P,,,,,,,,,,,,,HS,"Riverside-Brookfield HS (Riverside, IL)",1
2022,1,,35,35.0,Y,"$2,397,500",JR Ritchie (minors),P,,,,,,,,,,,,,HS,"Bainbridge HS (Bainbridge Island, WA)",1
2021,1,,24,24.0,Y,"$2,700,000",Ryan Cusick (minors),P,,,,,,,,,,,,,4Yr,"Wake Forest University (Winston-Salem, NC)",1
2020,1,,25,25.0,Y,"$2,197,500",Jared Shuster (minors),P,-0.1,0.0,0.0,,,,11.0,4.0,3.0,5.81,1.5,0.0,4Yr,"Wake Forest University (Winston-Salem, NC)",1
2019,1,,9,9.0,Y,"$3,997,500",Shea Langeliers (minors),C,1.2,175.0,590.0,28.0,0.209,0.683,,,,,,,4Yr,"Baylor University (Waco, TX)",1
2019,1,,21,21.0,Y,"$3,129,800",Braden Shewmake (minors),SS,-0.1,2.0,4.0,0.0,0.0,0.0,,,,,,,4Yr,"Texas A&M University (College Station, TX)",1
2018,1,,8,8.0,N,,Carter Stewart (minors),RHP,,,,,,,,,,,,,HS,"Eau Gallie HS (Melbourne, FL)",1
2017,1,,5,5.0,Y,"$7,000,000",Kyle Wright (minors),RHP,2.4,13.0,9.0,0.0,0.111,0.333,60.0,24.0,16.0,4.45,1.36,0.0,4Yr,"Vanderbilt University (Nashville, TN)",1
2016,1,,3,3.0,Y,"$4,000,000",Ian Anderson (minors),RHP,3.6,22.0,37.0,0.0,0.054,0.16,52.0,22.0,13.0,3.97,1.33,0.0,HS,"Shenendehowa HS (Clifton Park, NY)",1
2016,1,,40,40.0,Y,"$3,050,000",Joey Wentz (minors),LHP,-1.3,0.0,0.0,0.0,,,32.0,5.0,15.0,5.99,1.55,0.0,HS,"Shawnee Mission East HS (Prairie Village, KS)",1
2015,1,,14,14.0,Y,"$3,042,400",Kolby Allard (minors),LHP,-1.5,5.0,5.0,0.0,0.2,0.4,69.0,9.0,24.0,6.1,1.43,1.0,HS,"San Clemente HS (San Clemente, CA)",1
2015,1,,28,28.0,Y,"$1,974,700",Michael Soroka (minors),RHP,5.7,31.0,60.0,0.0,0.083,0.224,44.0,17.0,8.0,3.32,1.21,0.0,HS,"Bishop Carroll HS (Calgary, AB)",1
2015,1,,41,41.0,Y,"$1,600,000",Austin Riley (minors),3B,18.1,609.0,2303.0,134.0,0.275,0.85,,,,,,,HS,"DeSoto Central HS (Southaven, MS)",1
2014,1,,32,32.0,Y,"$1,705,000",Braxton Davidson (minors),OF,,,,,,,,,,,,,HS,"T. C. Roberson HS (Asheville, NC)",1
2013,1,,31,31.0,Y,"$1,704,200",*Jason Hursh (minors),RHP,-0.2,11.0,0.0,0.0,,,11.0,1.0,0.0,8.25,2.0,0.0,4Yr,"Oklahoma State University (Stillwater, OK)",1
2012,1,,21,21.0,Y,"$1,650,000",Lucas Sims (minors),RHP,2.6,92.0,27.0,0.0,0.074,0.148,187.0,21.0,13.0,4.52,1.26,11.0,HS,"Brookwood HS (Snellville, GA)",1
2011,1,,28,28.0,Y,"$1,134,000",Sean Gilmartin (minors),LHP,1.1,64.0,7.0,0.0,0.429,1.0,81.0,4.0,5.0,4.34,1.42,0.0,4Yr,"Florida State University (Tallahassee, FL)",1
2010,1s,,35,35.0,Y,"$800,000",*Matt Lipka (minors),SS,,,,,,,,,,,,,HS,"McKinney HS (McKinney, TX)",1
2009,1,,7,7.0,Y,"$2,420,000",Mike Minor (minors),LHP,18.6,115.0,217.0,2.0,0.115,0.321,295.0,83.0,90.0,4.25,1.25,6.0,4Yr,"Vanderbilt University (Nashville, TN)",1
2008,1s,,40,40.0,Y,"$1,000,000",*Brett DeVall (minors),LHP,,,,,,,,,,,,,HS,"Niceville HS (Niceville, FL)",1
2007,1,,14,14.0,Y,"$1,700,000",Jason Heyward (minors),OF,40.7,1703.0,5861.0,174.0,0.258,0.75,,,,,,,HS,"Henry County HS (McDonough, GA)",1
2007,1s,,33,33.0,Y,"$900,000",*Jon Gilmore (minors),3B,,,,,,,,,,,,,HS,"Iowa City HS (Iowa City, IA)",1
2006,1,,24,24.0,Y,"$1,375,000",Cody Johnson (minors),OF,,,,,,,,,,,,,HS,"A. Crawford Mosley HS (Lynn Haven, FL)",1
2006,1s,,38,38.0,Y,"$900,000",*Cory Rasmus (minors),RHP,0.5,10.0,1.0,0.0,0.0,0.0,84.0,4.0,5.0,4.17,1.33,0.0,HS,"Russell County HS (Seale, AL)",1
