Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,18,18,Y,"$3,150,000",Brock Wilken (minors),3B,,,,,,,,,,,,,4Yr,"Wake Forest University (Winston-Salem, NC)",1
2023,1,,33,34,Y,"$2,000,000",Josh Knoth (minors),P,,,,,,,,,,,,,HS,"Patchogue-Medford HS (Medford, NY)",1
2022,1,,27,27,Y,"$2,050,000",Eric Brown (minors),SS,,,,,,,,,,,,,4Yr,"Coastal Carolina University (Conway, SC)",1
2021,1,,15,15,Y,"$4,000,000",Sal Frelick (minors),OF,1.2,57.0,191.0,3.0,0.246,0.692,,,,,,,4Yr,"Boston College (Chestnut Hill, MA)",1
2021,1,,33,33,Y,"$2,200,000",Tyler Black (minors),2B,,,,,,,,,,,,,4Yr,"Wright State University (Dayton, OH)",1
2020,1,,20,20,Y,"$3,242,900",Garrett Mitchell (minors),OF,1.6,47.0,126.0,5.0,0.278,0.795,,,,,,,4Yr,"University of California, Los Angeles (Los Angeles, CA)",1
2019,1,,28,28,Y,"$1,800,000",Ethan Small (minors),P,-0.3,0.0,0.0,0.0,,,4.0,0.0,0.0,8.71,2.61,1.0,4Yr,"Mississippi State University (Mississippi State, MS)",1
2018,1,,21,21,Y,"$3,411,100",Brice Turang (minors),SS,1.6,137.0,404.0,6.0,0.218,0.585,,,,,,,HS,"Santiago HS (Corona, CA)",1
2017,1,,9,9,Y,"$4,000,000",Keston Hiura (minors),2B,1.5,284.0,938.0,50.0,0.238,0.771,,,,,,,4Yr,"University of California, Irvine (Irvine, CA)",1
2017,1,,34,34,Y,"$2,352,000",Tristen Lutz (minors),OF,,,,,,,,,,,,,HS,"James W. Martin HS (Arlington, TX)",1
2016,1,,5,5,Y,"$4,800,000",Corey Ray (minors),OF,0.0,1.0,2.0,0.0,0.0,0.333,,,,,,,4Yr,"University of Louisville (Louisville, KY)",1
2015,1,,15,15,Y,"$2,700,000",Trent Grisham (minors),OF,11.0,547.0,1753.0,61.0,0.216,0.699,,,,,,,HS,"Richland HS (North Richland Hills, TX)",1
2015,1,,40,40,Y,"$1,250,000",Nathan Kirby (minors),LHP,,,,,,,,,,,,,4Yr,"University of Virginia (Charlottesville, VA)",1
2014,1,,12,12,Y,"$2,500,000",Kodi Medeiros (minors),LHP,,,,,,,,,,,,,HS,"Waiakea HS (Waiakea, HI)",1
2014,1,,41,41,Y,"$1,830,000",Henry Gatewood (minors),SS,,,,,,,,,,,,,HS,"Clovis HS (Clovis, CA)",1
2012,1,,27,27,Y,"$1,675,000",*Clint Coulter (minors),C,,,,,,,,,,,,,HS,"Union HS (Camas, WA)",1
2012,1,,28,28,Y,"$1,525,000",Victor Roache (minors),OF,,,,,,,,,,,,,4Yr,"Georgia Southern University (Statesboro, GA)",1
2012,1s,,38,38,Y,"$1,200,000",*Mitch Haniger (minors),OF,15.1,625.0,2375.0,118.0,0.256,0.796,,,,,,,4Yr,"California Polytechnic State University, San Luis Obispo (San Luis Obispo, CA)",1
2011,1,,12,12,Y,"$2,525,000",Taylor Jungmann (minors),RHP,1.2,30.0,45.0,0.0,0.244,0.55,30.0,9.0,13.0,4.54,1.38,0.0,4Yr,"University of Texas at Austin (Austin, TX)",1
2011,1s,,15,15,Y,"$2,000,000",*Jed Bradley (minors),LHP,0.0,6.0,0.0,0.0,,,6.0,1.0,1.0,5.14,1.86,0.0,4Yr,"Georgia Institute of Technology (Atlanta, GA)",1
2010,1,,14,14,N,,Dylan Covey (minors),RHP,-2.6,4.0,4.0,0.0,0.0,0.0,100.0,7.0,32.0,6.18,1.58,0.0,HS,"Maranatha HS (Pasadena, CA)",1
2009,1,,26,26,Y,"$1,197,000",Eric Arnett (minors),RHP,,,,,,,,,,,,,4Yr,"Indiana University Bloomington (Bloomington, IN)",1
2009,1s,,39,39,Y,"$1,200,000",*Kentrail Davis (minors),CF,,,,,,,,,,,,,4Yr,"University of Tennessee (Knoxville, TN)",1
2009,1s,,47,47,Y,"$776,000",*Kyle Heckathorn (minors),RHP,,,,,,,,,,,,,4Yr,"Kennesaw State University (Kennesaw, GA)",1
2008,1,,16,16,Y,"$1,700,000",Brett Lawrie (minors),3B,15.6,588.0,2217.0,71.0,0.261,0.734,,,,,,,HS,"Brookswood SS (Langley, BC)",1
2008,1s,,32,32,Y,"$1,060,000",*Jake Odorizzi (minors),RHP,13.4,16.0,24.0,0.0,0.083,0.203,241.0,74.0,69.0,3.99,1.25,1.0,HS,"Highland HS (Highland, IL)",1
2008,1s,,35,35,Y,"$1,010,000",*Evan Frederickson (minors),LHP,,,,,,,,,,,,,4Yr,"University of San Francisco (San Francisco, CA)",1
2007,1,,7,7,Y,"$2,000,000",Matt LaPorta (minors),1B,-1.0,291.0,967.0,31.0,0.238,0.695,,,,,,,4Yr,"University of Florida (Gainesville, FL)",1
2006,1,,16,16,Y,"$1,550,000",Jeremy Jeffress (minors),RHP,8.8,290.0,3.0,0.0,0.0,0.0,414.0,32.0,12.0,3.08,1.32,52.0,HS,"Halifax County HS (South Boston, VA)",1
2005,1,,5,5,Y,"$2,450,000",Ryan Braun (minors),3B,47.1,1766.0,6622.0,352.0,0.296,0.891,,,,,,,4Yr,"University of Miami (Coral Gables, FL)",1
2004,1,,5,5,Y,"$2,200,000",Mark Rogers (minors),RHP,1.1,12.0,16.0,0.0,0.25,0.625,11.0,3.0,1.0,3.49,1.12,0.0,HS,"Mount Ararat School (Topsham, ME)",1
2003,1,,2,2,Y,"$3,600,000",Rickie Weeks (minors),2B,11.5,1324.0,4417.0,161.0,0.246,0.764,,,,,,,4Yr,"Southern University and A&M College (Baton Rouge, LA)",1
2002,1,,7,7,Y,"$2,400,000",Prince Fielder (minors),1B,23.8,1611.0,5821.0,319.0,0.283,0.887,,,,,,,HS,"Eau Gallie HS (Melbourne, FL)",1
2001,1,,12,12,Y,"$2,075,000",Mike Jones (minors),RHP,,,,,,,,,,,,,HS,"Thunderbird HS (Phoenix, AZ)",1
2000,1,,11,11,Y,"$1,950,000",Dave Krynzel (minors),OF,0.2,21.0,48.0,0.0,0.188,0.486,,,,,,,HS,"Green Valley HS (Henderson, NV)",1
1999,1,,10,10,Y,"$2,450,000",Ben Sheets (minors),RHP,23.2,222.0,449.0,0.0,0.076,0.196,250.0,94.0,96.0,3.78,1.22,0.0,4Yr,"University of Louisiana at Monroe (Monroe, LA)",1
1998,1,,13,13,Y,"$1,725,000",J.M. Gold (minors),RHP,,,,,,,,,,,,,HS,"Toms River North HS (Toms River, NJ)",1
1997,1,,13,13,Y,"$1,400,000",Kyle Peterson (minors),RHP,0.3,20.0,27.0,0.0,0.148,0.364,20.0,5.0,9.0,4.71,1.47,0.0,4Yr,"Stanford University (Palo Alto, CA)",1
1996,1,,8,8,Y,"$1,060,000",Chad Green (minors),OF,,,,,,,,,,,,,4Yr,"University of Kentucky (Lexington, KY)",1
1995,1,,9,9,Y,"$911,000",Geoff Jenkins (minors),OF,21.9,1349.0,4700.0,221.0,0.275,0.834,,,,,,,4Yr,"University of Southern California (Los Angeles, CA)",1
1994,1,,4,4,Y,"$895,000",Antone Williamson (minors),3B,-0.8,24.0,54.0,0.0,0.204,0.514,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",1
1993,1,,23,23,Y,"$525,000",Jeff D'Amico (minors),RHP,5.6,90.0,148.0,2.0,0.101,0.342,139.0,45.0,52.0,4.61,1.34,0.0,HS,"Northeast HS (St. Petersburg, FL)",1
1993,1,,26,26,Y,"$400,000",*Kelly Wunsch (minors),LHP,3.1,57.0,1.0,0.0,0.0,0.0,257.0,11.0,6.0,3.76,1.32,1.0,4Yr,"Texas A&M University (College Station, TX)",1
1993,1s,,35,35,Y,,*Todd Dunn (minors),OF,0.0,50.0,128.0,3.0,0.234,0.598,,,,,,,4Yr,"University of North Florida (Jacksonville, FL)",1
1993,1s,,39,39,Y,,*Joe Wagner (minors),RHP,,,,,,,,,,,,,4Yr,"University of Central Florida (Orlando, FL)",1
1992,1,,12,12,Y,"$525,000",Ken Felder (minors),OF,,,,,,,,,,,,,4Yr,"Florida State University (Tallahassee, FL)",1
1992,1s,,38,38,Y,,*Gabby Martinez (minors),SS,,,,,,,,,,,,,HS,"Luchetti HS (Santurce, Puerto Rico)",1
1991,1,,5,5,N,,Ken Henderson (minors),RHP,,,,,,,,,,,,,HS,"Ringgold HS (Ringgold, GA)",1
1991,1,,15,15,Y,"$280,000",*Ty Hill (minors),LHP,,,,,,,,,,,,,HS,"Yucaipa HS (Yucaipa, CA)",1
1989,1,,17,17,Y,"$188,000",Cal Eldred (minors),RHP,15.8,192.0,72.0,0.0,0.111,0.318,341.0,86.0,74.0,4.42,1.4,9.0,4Yr,"University of Iowa (Iowa City, IA)",1
1989,1s,,30,30,Y,,*Gordon Powell (minors),3B,,,,,,,,,,,,,HS,"Hughes HS (Cincinnati, OH)",1
1988,1,,24,24,N,,Alex Fernandez (minors),RHP,28.5,64.0,126.0,3.0,0.175,0.537,263.0,107.0,87.0,3.74,1.28,0.0,HS,"Monsignor Edward Pace HS (Miami Gardens, FL)",1
1987,1,,13,13,Y,"$150,000",Bill Spiers (minors),SS,10.2,1252.0,3408.0,37.0,0.271,0.711,,,,,,,4Yr,"Clemson University (Clemson, SC)",1
1986,1,,6,6,Y,"$142,500",Gary Sheffield (minors),SS,60.5,2576.0,9217.0,509.0,0.292,0.907,,,,,,,HS,"Hillsborough HS (Tampa, FL)",1
1985,1,,1,1,Y,"$150,000",B.J. Surhoff (minors),SS,34.4,2313.0,8258.0,188.0,0.282,0.745,,,,,,,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)",1
1984,1,,18,18,Y,"$110,000",Isaiah Clark (minors),SS,,,,,,,,,,,,,HS,"Crockett HS (Crockett, TX)",1
1983,1,,26,26,Y,"$75,000",Dan Plesac (minors),LHP,16.9,441.0,15.0,0.0,0.067,0.133,1064.0,65.0,71.0,3.64,1.29,158.0,4Yr,"North Carolina State University (Raleigh, NC)",1
1982,1,,25,25,Y,"$107,500",Dale Sveum (minors),SS,-2.4,862.0,2526.0,69.0,0.236,0.676,,,,,,,HS,"Pinole Valley HS (Pinole, CA)",1
1980,1,,25,25,Y,"$50,000",Dion James (minors),OF,6.2,917.0,2708.0,32.0,0.288,0.756,,,,,,,HS,"McClatchy HS (Sacramento, CA)",1
