Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,21,21.0,Y,"$3,618,200",Chase Davis (minors),OF,,,,,,,,,,,,,4Yr,"University of Arizona (Tucson, AZ)",1
2022,1,,22,22.0,Y,"$3,182,200",Cooper Hjerpe (minors),P,,,,,,,,,,,,,4Yr,"Oregon State University (Corvallis, OR)",1
2021,1,,18,18.0,Y,"$2,750,000",Michael McGreevy (minors),P,,,,,,,,,,,,,4Yr,"University of California, Santa Barbara (Santa Barbara, CA)",1
2020,1,,21,21.0,Y,"$2,900,000",Jordan Walker (minors),3B,-0.1,117.0,420.0,16.0,0.276,0.787,,,,,,,HS,"Decatur HS (Decatur, GA)",1
2019,1,,19,19.0,Y,"$3,000,000",Zack Thompson (minors),P,1.3,0.0,0.0,0.0,,,47.0,6.0,8.0,3.65,1.27,1.0,4Yr,"University of Kentucky (Lexington, KY)",1
2018,1,,19,19.0,Y,"$3,231,700",Nolan Gorman (minors),3B,3.2,208.0,689.0,41.0,0.232,0.771,,,,,,,HS,"Sandra Day O'Connor HS (Phoenix, AZ)",1
2018,1,,43,43.0,Y,"$1,664,200",Griffin Roberts (minors),RHP,,,,,,,,,,,,,4Yr,"Wake Forest University (Winston-Salem, NC)",1
2016,1,,23,23.0,Y,"$2,222,500",Delvin P�rez (minors),SS,,,,,,,,,,,,,HS,"International Baseball Academy (Ceiba, Puerto Rico)",1
2016,1,,33,33.0,Y,"$1,350,000",Dylan Carlson (minors),OF,5.6,388.0,1303.0,34.0,0.243,0.717,,,,,,,HS,"Elk Grove HS (Elk Grove, CA)",1
2016,1,,34,34.0,Y,"$2,000,000",Dakota Hudson (minors),RHP,4.1,56.0,55.0,0.0,0.091,0.214,114.0,38.0,20.0,3.84,1.39,1.0,4Yr,"Mississippi State University (Mississippi State, MS)",1
2015,1,,23,23.0,Y,"$2,124,400",Nick Plummer (minors),OF,-0.1,14.0,29.0,2.0,0.138,0.573,,,,,,,HS,"Brother Rice HS (Bloomfield Hills, MI)",1
2015,1,,39,39.0,Y,"$1,800,000",Jake Woodford (minors),RHP,0.5,25.0,18.0,0.0,0.111,0.222,80.0,10.0,7.0,4.29,1.37,0.0,HS,"H. B. Plant HS (Tampa, FL)",1
2014,1,,27,27.0,Y,"$1,843,000",Luke Weaver (minors),RHP,0.8,84.0,108.0,1.0,0.167,0.382,144.0,27.0,42.0,5.14,1.44,0.0,4Yr,"Florida State University (Tallahassee, FL)",1
2014,1,,34,34.0,Y,"$2,000,000",Jack Flaherty (minors),RHP,10.1,84.0,123.0,1.0,0.155,0.412,131.0,42.0,34.0,3.75,1.21,0.0,HS,"Harvard-Westlake HS (Los Angeles, CA)",1
2013,1,,19,19.0,Y,"$1,850,000",Marco Gonzales (minors),LHP,8.5,18.0,23.0,0.0,0.217,0.565,163.0,65.0,49.0,4.14,1.29,0.0,4Yr,"Gonzaga University (Spokane, WA)",1
2013,1,,28,28.0,Y,"$1,785,300",*Rob Kaminsky (minors),LHP,-0.1,0.0,0.0,0.0,,,5.0,0.0,0.0,1.93,1.07,0.0,HS,"St. Joseph Regional HS (Montvale, NJ)",1
2012,1,,19,19.0,Y,"$1,900,000",*Michael Wacha (minors),RHP,13.0,159.0,251.0,0.0,0.092,0.222,249.0,88.0,54.0,3.96,1.29,0.0,4Yr,"Texas A&M University (College Station, TX)",1
2012,1,,23,23.0,Y,"$1,600,000",James Ramsey (minors),OF,,,,,,,,,,,,,4Yr,"Florida State University (Tallahassee, FL)",1
2012,1s,,36,36.0,Y,"$1,430,000",*Stephen Piscotty (minors),3B,6.5,726.0,2517.0,93.0,0.256,0.754,,,,,,,4Yr,"Stanford University (Palo Alto, CA)",1
2012,1s,,52,52.0,Y,"$678,790",*Patrick Wisdom (minors),3B,3.5,380.0,1153.0,80.0,0.214,0.766,,,,,,,4Yr,"Saint Mary's College of California (Moraga, CA)",1
2012,1s,,59,59.0,Y,"$700,000",*Steve Bean (minors),C,,,,,,,,,,,,,HS,"Rockwall HS (Rockwall, TX)",1
2011,1,,22,22.0,Y,"$1,300,000",Kolten Wong (minors),2B,22.1,1189.0,3796.0,86.0,0.256,0.719,,,,,,,4Yr,"University of Hawaii at Manoa (Honolulu, HI)",1
2010,1,,25,25.0,Y,"$2,000,000",Zack Cox (minors),3B,,,,,,,,,,,,,4Yr,"University of Arkansas (Fayetteville, AR)",1
2010,1s,,46,46.0,Y,"$751,500",*Seth Blair (minors),RHP,,,,,,,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",1
2010,1s,,50,50.0,Y,"$1,300,000",*Tyrell Jenkins (minors),RHP,-0.4,14.0,13.0,0.0,0.0,0.0,14.0,2.0,4.0,5.88,1.69,0.0,HS,"Henderson HS (Henderson, TX)",1
2009,1,,19,19.0,Y,"$2,875,000",Shelby Miller (minors),RHP,8.9,142.0,204.0,1.0,0.108,0.346,203.0,41.0,58.0,4.08,1.35,1.0,HS,"Brownwood HS (Brownwood, TX)",1
2008,1,,13,13.0,Y,"$1,840,000",Brett Wallace (minors),1B,-0.2,494.0,1284.0,40.0,0.238,0.705,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",1
2008,1s,,39,39.0,Y,"$938,000",*Lance Lynn (minors),RHP,29.8,176.0,283.0,0.0,0.085,0.23,341.0,136.0,95.0,3.74,1.27,1.0,4Yr,"University of Mississippi (Oxford, MS)",1
2007,1,,18,18.0,Y,"$1,395,000",Pete Kozma (minors),SS,-0.5,344.0,746.0,5.0,0.213,0.564,,,,,,,HS,"Owasso HS (Owasso, OK)",1
2007,1s,,36,36.0,Y,"$650,000",*Clayton Mortensen (minors),RHP,-0.5,19.0,16.0,0.0,0.0,0.056,74.0,6.0,11.0,4.68,1.44,0.0,4Yr,"Gonzaga University (Spokane, WA)",1
2006,1,,30,30.0,Y,"$950,000",Adam Ottavino (minors),RHP,14.9,354.0,24.0,0.0,0.083,0.203,664.0,39.0,41.0,3.42,1.28,45.0,4Yr,"Northeastern University (Boston, MA)",1
2006,1s,,42,42.0,Y,"$800,000",*Chris Perez (minors),RHP,4.7,125.0,2.0,0.0,0.0,0.0,393.0,16.0,24.0,3.51,1.24,133.0,4Yr,"University of Miami (Coral Gables, FL)",1
2005,1,,28,28.0,Y,"$1,000,000",*Colby Rasmus (minors),OF,20.2,1092.0,3704.0,166.0,0.241,0.745,,,,,,,HS,"Russell County HS (Seale, AL)",1
2005,1,,30,30.0,Y,"$1,100,000",Tyler Greene (minors),SS,-0.4,288.0,675.0,17.0,0.224,0.645,,,,,,,4Yr,"Georgia Institute of Technology (Atlanta, GA)",1
2005,1s,,43,43.0,Y,"$800,000",*Mark McCormick (minors),RHP,,,,,,,,,,,,,4Yr,"Baylor University (Waco, TX)",1
2005,1s,,46,46.0,Y,"$675,000",*Tyler Herron (minors),RHP,,,,,,,,,,,,,HS,"Wellington HS (Wellington, FL)",1
2004,1,,19,19.0,Y,"$1,525,000",Chris Lambert (minors),RHP,-0.8,0.0,0.0,0.0,,,14.0,1.0,3.0,7.36,1.97,0.0,4Yr,"Boston College (Chestnut Hill, MA)",1
2003,1,,28,28.0,Y,"$975,000",Daric Barton (minors),C,8.9,551.0,1744.0,30.0,0.247,0.721,,,,,,,HS,"Marina HS (Huntington Beach, CA)",1
2001,1,,28,28.0,Y,"$900,000",Justin Pope (minors),RHP,,,,,,,,,,,,,4Yr,"University of Central Florida (Orlando, FL)",1
2000,1,,13,13.0,Y,"$1,750,000",Shaun Boyd (minors),OF,,,,,,,,,,,,,HS,"Vista HS (Vista, CA)",1
2000,1,,24,24.0,Y,"$1,375,000",*Blake Williams (minors),RHP,,,,,,,,,,,,,4Yr,"Texas State University (San Marcos, TX)",1
1999,1,,30,30.0,Y,"$1,200,000",*Chance Caple (minors),RHP,,,,,,,,,,,,,4Yr,"Texas A&M University (College Station, TX)",1
1999,1s,,36,36.0,Y,"$1,410,000",*Nick Stocks (minors),RHP,,,,,,,,,,,,,4Yr,"Florida State University (Tallahassee, FL)",1
1999,1s,,46,46.0,Y,"$900,000",*Chris Duncan (minors),1B,2.8,389.0,1147.0,55.0,0.257,0.806,,,,,,,HS,"Canyon del Oro HS (Tucson, AZ)",1
1998,1,,5,5.0,Y,"$3,000,000",J.D. Drew (minors),OF,44.9,1566.0,5173.0,242.0,0.278,0.873,,,,,,,,,1
1998,1s,,32,32.0,N,,*Ben Diggins (minors),1B,-0.7,5.0,7.0,0.0,0.143,0.286,5.0,0.0,4.0,8.63,1.92,0.0,HS,"Bradshaw Mountain HS (Prescott Valley, AZ)",1
1997,1,,20,20.0,Y,"$650,000",Adam Kennedy (minors),SS,20.9,1691.0,5473.0,80.0,0.272,0.711,,,,,,,4Yr,"California State University, Northridge (Los Angeles, CA)",1
1996,1,,3,3.0,Y,"$1,675,000",Braden Looper (minors),RHP,8.2,646.0,186.0,0.0,0.215,0.517,670.0,72.0,65.0,4.15,1.37,103.0,4Yr,"Wichita State University (Wichita, KS)",1
1995,1,,12,12.0,Y,"$850,000",Matt Morris (minors),RHP,20.4,298.0,543.0,2.0,0.169,0.422,307.0,121.0,92.0,3.98,1.32,4.0,4Yr,"Seton Hall University (South Orange, NJ)",1
1995,1s,,29,29.0,Y,,*Chris Haas (minors),3B,,,,,,,,,,,,,HS,"St. Mary's HS (Paducah, KY)",1
1994,1,,19,19.0,Y,"$525,000",Bret Wagner (minors),LHP,,,,,,,,,,,,,4Yr,"Wake Forest University (Winston-Salem, NC)",1
1993,1,,16,16.0,Y,"$500,000",Alan Benes (minors),RHP,1.3,107.0,139.0,0.0,0.158,0.378,115.0,29.0,28.0,4.59,1.44,1.0,4Yr,"Creighton University (Omaha, NE)",1
1992,1,,15,15.0,Y,"$300,000",Sean Lowe (minors),RHP,1.7,74.0,22.0,0.0,0.136,0.273,248.0,23.0,15.0,4.95,1.54,3.0,4Yr,"Arizona State University (Tempe, AZ)",1
1991,1,,4,4.0,Y,"$385,000",Dmitri Young (minors),3B,12.2,1364.0,4762.0,171.0,0.292,0.826,,,,,,,HS,"Rio Mesa HS (Oxnard, CA)",1
1991,1,,21,21.0,Y,"$225,000",*Allen Watson (minors),LHP,2.7,105.0,175.0,0.0,0.257,0.636,206.0,51.0,55.0,5.03,1.49,1.0,4Yr,"New York Institute of Technology (Old Westbury, NY)",1
1991,1,,22,22.0,Y,"$200,000",*Brian Barber (minors),RHP,-0.6,12.0,8.0,0.0,0.125,0.347,26.0,5.0,8.0,6.77,1.68,1.0,HS,"Dr. Phillips HS (Orlando, FL)",1
1991,1s,,28,28.0,Y,,*Tom McKinnon (minors),RHP,,,,,,,,,,,,,HS,"Jordan HS (Long Beach, CA)",1
1991,1s,,39,39.0,Y,,*Dan Cholowsky (minors),3B,,,,,,,,,,,,,4Yr,"University of California, Berkeley (Berkeley, CA)",1
1990,1,,13,13.0,Y,"$240,000",Donovan Osborne (minors),LHP,5.4,156.0,259.0,1.0,0.162,0.422,163.0,49.0,46.0,4.03,1.31,0.0,4Yr,"University of Nevada, Las Vegas (Paradise, NV)",1
1990,1,,18,18.0,Y,"$195,000",*Aaron Holbert (minors),SS,-0.4,23.0,30.0,0.0,0.2,0.565,,,,,,,HS,"Jordan HS (Long Beach, CA)",1
1990,1s,,30,30.0,Y,,*Paul Ellis (minors),C,,,,,,,,,,,,,4Yr,"University of California, Los Angeles (Los Angeles, CA)",1
1989,1,,6,6.0,Y,"$160,000",Paul Coleman (minors),OF,,,,,,,,,,,,,HS,"Frankston HS (Frankston, TX)",1
1988,1,,22,22.0,Y,"$92,500",*John Ericks (minors),RHP,0.0,57.0,36.0,0.0,0.083,0.194,57.0,8.0,14.0,4.78,1.51,14.0,4Yr,"University of Illinois at Urbana-Champaign (Champaign, IL)",1
1988,1,,23,23.0,Y,"$92,500",Brad Duvall (minors),RHP,,,,,,,,,,,,,4Yr,"Virginia Polytechnic Institute and State University (Blacksburg, VA)",1
1988,1s,,30,30.0,Y,,*Brian Jordan (minors),OF,32.9,1456.0,5160.0,184.0,0.282,0.788,,,,,,,4Yr,"University of Richmond (Richmond, VA)",1
1987,1,,14,14.0,Y,"$160,000",Cris Carpenter (minors),RHP,2.4,210.0,30.0,0.0,0.267,0.533,291.0,27.0,22.0,3.91,1.28,7.0,4Yr,"University of Georgia (Athens, GA)",1
1986,1,,23,23.0,Y,"$82,500",Luis Alicea (minors),2B,11.9,1341.0,3971.0,47.0,0.26,0.715,,,,,,,4Yr,"Florida State University (Tallahassee, FL)",1
1985,1,,18,18.0,Y,"$110,000",Joe Magrane (minors),LHP,12.0,149.0,280.0,4.0,0.139,0.392,190.0,57.0,67.0,3.81,1.34,0.0,4Yr,"University of Arizona (Tucson, AZ)",1
1984,1,,7,7.0,Y,"$116,000",Mike Dunne (minors),RHP,0.1,70.0,109.0,0.0,0.101,0.286,85.0,25.0,30.0,4.08,1.47,0.0,4Yr,"Bradley University (Peoria, IL)",1
1983,1,,24,24.0,Y,"$57,500",Jim Lindeman (minors),3B,-0.2,351.0,676.0,21.0,0.244,0.68,,,,,,,4Yr,"Bradley University (Peoria, IL)",1
1982,1,,21,21.0,Y,"$66,000",Todd Worrell (minors),RHP,10.9,614.0,27.0,0.0,0.074,0.255,617.0,50.0,52.0,3.09,1.23,256.0,4Yr,"Biola University (La Mirada, CA)",1
1981,1,,8,8.0,Y,"$92,500",Bob Meacham (minors),SS,3.9,457.0,1371.0,8.0,0.236,0.621,,,,,,,4Yr,"San Diego State University (San Diego, CA)",1
