Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,13,13.0,Y,"$4,848,500",Matt Shaw (minors),SS,,,,,,,,,,,,,4Yr,"University of Maryland (College Park, MD)",1
2022,1,,7,7.0,Y,"$4,450,000",Cade Horton (minors),P,,,,,,,,,,,,,4Yr,"University of Oklahoma (Norman, OK)",1
2021,1,,21,21.0,Y,"$3,132,300",Jordan Wicks (minors),P,0.3,0.0,0.0,,,,7.0,4.0,1.0,4.41,1.27,0.0,4Yr,"Kansas State University (Manhattan, KS)",1
2020,1,,16,16.0,Y,"$3,745,500",Ed Howard (minors),SS,,,,,,,,,,,,,HS,"Mount Carmel HS (Chicago, IL)",1
2019,1,,27,27.0,Y,"$2,000,000",Ryan Jensen (minors),P,,,,,,,,,,,,,4Yr,"California State University, Fresno (Fresno, CA)",1
2018,1,,24,24.0,Y,"$2,724,000",Nico Hoerner (minors),SS,11.6,397.0,1435.0,22.0,0.279,0.723,,,,,,,4Yr,"Stanford University (Palo Alto, CA)",1
2017,1,,27,27.0,Y,"$2,200,000",Brendon Little (minors),LHP,-0.3,0.0,0.0,0.0,,,1.0,0.0,1.0,40.5,4.5,0.0,JC,"State College of Florida, Manatee-Sarasota (Bradenton, FL)",1
2017,1,,30,30.0,Y,"$1,925,000",Alex Lange (minors),RHP,1.8,4.0,0.0,0.0,,,174.0,15.0,12.0,3.65,1.33,27.0,4Yr,"Louisiana State University (Baton Rouge, LA)",1
2015,1,,9,9.0,Y,"$3,000,000",Ian Happ (minors),OF,14.0,836.0,2707.0,125.0,0.249,0.797,1.0,0.0,0.0,0.0,1.0,0.0,4Yr,"University of Cincinnati (Cincinnati, OH)",1
2014,1,,4,4.0,Y,"$3,125,000",Kyle Schwarber (minors),C,11.8,979.0,3367.0,246.0,0.227,0.831,,,,,,,4Yr,"Indiana University Bloomington (Bloomington, IN)",1
2013,1,,2,2.0,Y,"$6,708,400",Kris Bryant (minors),3B,28.2,1006.0,3747.0,182.0,0.276,0.863,,,,,,,4Yr,"University of San Diego (San Diego, CA)",1
2012,1,,6,6.0,Y,"$3,900,000",Albert Almora (minors),OF,3.2,600.0,1491.0,33.0,0.259,0.683,1.0,0.0,0.0,27.0,2.0,0.0,HS,"Mater Academy Charter School (Hialeah, FL)",1
2012,1s,,43,43.0,Y,"$1,196,000",*Pierce Johnson (minors),RHP,1.4,97.0,1.0,0.0,0.0,0.0,207.0,12.0,15.0,4.04,1.38,13.0,4Yr,"Missouri State University (Springfield, MO)",1
2012,1s,,56,56.0,Y,"$911,700",*Paul Blackburn (minors),RHP,2.3,2.0,5.0,0.0,0.0,0.0,72.0,17.0,24.0,4.9,1.43,0.0,HS,"Heritage HS (Brentwood, CA)",1
2011,1,,9,9.0,Y,"$2,625,000",Javier B�ez (minors),SS,26.6,1142.0,4105.0,175.0,0.256,0.744,,,,,,,HS,"Arlington Country Day School (Jacksonville, FL)",1
2010,1,,16,16.0,Y,"$1,060,000",Hayden Simpson (minors),RHP,,,,,,,,,,,,,4Yr,"Southern Arkansas University (Magnolia, AR)",1
2009,1,,31,31.0,Y,"$972,000",Brett Jackson (minors),CF,0.0,51.0,124.0,4.0,0.169,0.63,,,,,,,4Yr,"University of California, Berkeley (Berkeley, CA)",1
