Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,12,12,Y,"$4,400,000",Tommy Troy (minors),SS,,,,,,,,,,,,,4Yr,"Stanford University (Palo Alto, CA)",1
2022,1,,2,2,Y,"$8,189,400",Druw Jones (minors),OF,,,,,,,,,,,,,HS,"Wesleyan School (Peachtree Corners, GA)",1
2022,1,,34,34,Y,"$2,347,050",Landon Sims (minors),P,,,,,,,,,,,,,4Yr,"Mississippi State University (Mississippi State, MS)",1
2021,1,,6,6,Y,"$6,713,300",Jordan Lawlar (minors),SS,-0.2,14.0,31.0,0.0,0.129,0.335,,,,,,,HS,"Jesuit College Preparatory School of Dallas (Dallas, TX)",1
2020,1,,18,18,Y,"$2,650,000",Bryce Jarvis (minors),P,0.4,1.0,0.0,0.0,,,11.0,2.0,1.0,3.04,0.97,0.0,4Yr,"Duke University (Durham, NC)",1
2020,1,,33,33,Y,"$2,384,900",Slade Cecconi (minors),P,0.3,0.0,0.0,,,,7.0,0.0,1.0,4.33,1.15,0.0,4Yr,"University of Miami (Coral Gables, FL)",1
2019,1,,16,16,Y,"$3,745,500",Corbin Carroll (minors),CF,6.6,187.0,669.0,29.0,0.281,0.862,,,,,,,HS,"Lakeside School (Seattle, WA)",1
2019,1,,26,26,Y,"$2,450,000",Blake Walston (minors),P,,,,,,,,,,,,,HS,"New Hanover HS (Wilmington, NC)",1
2019,1,,33,33,Y,"$2,202,200",Brennan Malone (minors),P,,,,,,,,,,,,,HS,"IMG Academy (Bradenton, FL)",1
2019,1,,34,34,Y,"$1,400,000",Drey Jameson (minors),P,2.0,1.0,0.0,0.0,,,19.0,6.0,1.0,2.63,1.31,1.0,4Yr,"Ball State University (Muncie, IN)",1
2018,1,,25,25,N,,Matt McLain (minors),2B,3.7,89.0,365.0,16.0,0.29,0.864,,,,,,,HS,"Arnold O. Beckman HS (Irvine, CA)",1
2018,1,,39,39,Y,"$1,650,000",Jake McCarthy (minors),OF,3.3,222.0,656.0,12.0,0.261,0.711,,,,,,,4Yr,"University of Virginia (Charlottesville, VA)",1
2017,1,,7,7,Y,"$5,016,300",Pavin Smith (minors),1B,-0.4,301.0,971.0,28.0,0.24,0.698,,,,,,,4Yr,"University of Virginia (Charlottesville, VA)",1
2016,1,,39,39,Y,"$1,500,000",Anfernee Grier (minors),OF,,,,,,,,,,,,,4Yr,"Auburn University (Auburn, AL)",1
2015,1,,1,1,Y,"$6,500,000",Dansby Swanson (minors),SS,19.5,974.0,3608.0,124.0,0.253,0.739,,,,,,,4Yr,"Vanderbilt University (Nashville, TN)",1
