Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,36,30.0,Y,"$1,847,500",Kendall George (minors),OF,,,,,,,,,,,,,HS,"Atascocita HS (Humble, TX)",1
2021,1,,29,29.0,Y,"$2,197,500",Maddux Bruns (minors),P,,,,,,,,,,,,,HS,"UMS-Wright Prep (Mobile, AL)",1
2020,1,,29,29.0,Y,"$2,197,500",Bobby Miller (minors),P,2.1,0.0,0.0,,,,22.0,11.0,4.0,3.76,1.1,0.0,4Yr,"University of Louisville (Louisville, KY)",1
2019,1,,25,25.0,Y,,Kody Hoese (minors),3B,,,,,,,,,,,,,4Yr,"Tulane University (New Orleans, LA)",1
2019,1,,31,31.0,Y,"$2,312,000",Michael Busch (minors),2B,-0.5,27.0,72.0,2.0,0.167,0.539,,,,,,,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)",1
2018,1,,30,30.0,N,,J.T. Ginn (minors),RHP,,,,,,,,,,,,,HS,"Brandon HS (Brandon, MS)",1
2017,1,,23,23.0,Y,"$2,897,500",Jeren Kendall (minors),OF,,,,,,,,,,,,,4Yr,"Vanderbilt University (Nashville, TN)",1
2016,1,,20,20.0,Y,"$2,314,500",Gavin Lux (minors),SS,5.2,273.0,894.0,18.0,0.253,0.712,,,,,,,HS,"Indian Trail HS (Kenosha, WI)",1
2016,1,,32,32.0,Y,"$1,772,500",Will Smith (minors),C,14.6,484.0,1670.0,91.0,0.261,0.84,,,,,,,4Yr,"University of Louisville (Louisville, KY)",1
2016,1,,36,36.0,Y,"$1,847,500",Jordan Sheffield (minors),RHP,0.7,30.0,0.0,0.0,,,32.0,0.0,0.0,3.16,1.15,0.0,4Yr,"Vanderbilt University (Nashville, TN)",1
2015,1,,24,24.0,Y,"$1,777,500",Walker Buehler (minors),RHP,13.7,93.0,171.0,1.0,0.111,0.305,115.0,46.0,16.0,3.02,1.04,0.0,4Yr,"Vanderbilt University (Nashville, TN)",1
2015,1,,35,35.0,N,,Kyle Funkhouser (minors),RHP,0.7,4.0,0.0,0.0,,,70.0,8.0,5.0,4.2,1.51,1.0,4Yr,"University of Louisville (Louisville, KY)",1
2014,1,,22,22.0,Y,"$2,500,000",Grant Holmes (minors),RHP,,,,,,,,,,,,,HS,"Conway HS (Conway, SC)",1
2013,1,,18,18.0,Y,"$2,109,900",Chris Anderson (minors),RHP,,,,,,,,,,,,,4Yr,"Jacksonville University (Jacksonville, FL)",1
2012,1,,18,18.0,Y,"$2,350,000",Corey Seager (minors),SS,32.0,906.0,3489.0,170.0,0.292,0.873,,,,,,,HS,"Northwest Cabarrus HS (Concord, NC)",1
2012,1s,,51,51.0,Y,"$984,700",*Jesmuel Valent�n (minors),SS,-0.7,46.0,79.0,1.0,0.177,0.562,1.0,0.0,0.0,27.0,4.0,0.0,HS,"Puerto Rico Baseball Academy (Gurabo, Puerto Rico)",1
2011,1,,16,16.0,Y,"$1,589,000",Chris Reed (minors),LHP,0.0,2.0,0.0,0.0,,,2.0,0.0,0.0,4.5,1.75,0.0,4Yr,"Stanford University (Palo Alto, CA)",1
2010,1,,28,28.0,Y,"$5,250,000",Zach Lee (minors),RHP,-0.3,4.0,5.0,0.0,0.0,0.0,4.0,1.0,1.0,8.53,2.21,0.0,HS,"McKinney HS (McKinney, TX)",1
2009,1s,,36,36.0,Y,"$889,200",*Aaron Miller (minors),LHP,,,,,,,,,,,,,4Yr,"Baylor University (Waco, TX)",1
2008,1,,15,15.0,Y,"$1,730,000",Ethan Martin (minors),RHP,-0.6,17.0,9.0,0.0,0.0,0.0,17.0,2.0,5.0,5.93,1.64,0.0,HS,"Stephens County School (Toccoa, GA)",1
2007,1,,20,20.0,Y,"$1,350,000",*Chris Withrow (minors),RHP,1.4,84.0,1.0,0.0,0.0,0.0,92.0,6.0,0.0,3.07,1.14,1.0,HS,"Midland HS (Midland, TX)",1
2007,1s,,39,39.0,Y,"$787,500",*James Adkins (minors),LHP,,,,,,,,,,,,,4Yr,"University of Tennessee (Knoxville, TN)",1
2006,1,,7,7.0,Y,"$2,300,000",Clayton Kershaw (minors),LHP,79.9,357.0,698.0,1.0,0.162,0.39,425.0,210.0,92.0,2.48,1.0,0.0,HS,"Highland Park HS (Dallas, TX)",1
2006,1,,26,26.0,Y,"$1,325,000",*Bryan Morris (minors),RHP,2.7,219.0,7.0,0.0,0.143,0.286,231.0,20.0,12.0,3.13,1.37,1.0,JC,"Motlow State Community College (Lynchburg, TN)",1
2006,1s,,31,31.0,Y,"$1,000,000",*Preston Mattingly (minors),SS,,,,,,,,,,,,,HS,"Central HS (Evansville, IN)",1
2005,1s,,40,40.0,N,,*Luke Hochevar (minors),RHP,3.7,18.0,16.0,0.0,0.063,0.125,279.0,46.0,65.0,4.98,1.34,3.0,4Yr,"University of Tennessee (Knoxville, TN)",1
2004,1,,17,17.0,Y,"$1,575,000",Scott Elbert (minors),LHP,1.5,120.0,6.0,0.0,0.167,0.5,127.0,4.0,3.0,3.54,1.33,2.0,HS,"Seneca HS (Seneca, MO)",1
2004,1,,28,28.0,Y,"$1,200,000",*Blake DeWitt (minors),2B,1.9,426.0,1119.0,21.0,0.257,0.705,,,,,,,HS,"Sikeston HS (Sikeston, MO)",1
2004,1s,,33,33.0,Y,"$1,000,000",*Justin Orenduff (minors),RHP,,,,,,,,,,,,,4Yr,"Virginia Commonwealth University (Richmond, VA)",1
2003,1,,24,24.0,Y,"$1,375,000",Chad Billingsley (minors),RHP,17.2,215.0,355.0,3.0,0.138,0.369,226.0,83.0,64.0,3.72,1.37,0.0,HS,"Defiance HS (Defiance, OH)",1
2002,1,,19,19.0,Y,"$1,500,000",James Loney (minors),1B,11.3,1443.0,5023.0,108.0,0.284,0.746,,,,,,,HS,"Lawrence E. Elkins HS (Missouri City, TX)",1
2002,1s,,31,31.0,Y,"$1,200,000",*Greg Miller (minors),LHP,,,,,,,,,,,,,HS,"Esperanza HS (Anaheim, CA)",1
2000,1,,17,17.0,Y,"$2,200,000",Ben Diggins (minors),RHP,-0.7,5.0,7.0,0.0,0.143,0.286,5.0,0.0,4.0,8.63,1.92,0.0,4Yr,"University of Arizona (Tucson, AZ)",1
1999,1s,,37,37.0,Y,"$660,000",*Jason Repko (minors),SS,1.2,360.0,700.0,16.0,0.224,0.64,,,,,,,HS,"Hanford HS (Richland, WA)",1
1998,1,,23,23.0,Y,"$995,000",Bubba Crosby (minors),OF,-1.6,205.0,250.0,4.0,0.216,0.555,,,,,,,4Yr,"Rice University (Houston, TX)",1
1997,1,,25,25.0,Y,"$825,000",Glenn Davis (minors),1B,,,,,,,,,,,,,4Yr,"Vanderbilt University (Nashville, TN)",1
1996,1,,23,23.0,Y,"$695,000",Damian Rolls (minors),3B,-0.3,266.0,819.0,9.0,0.248,0.628,,,,,,,HS,"Schlagel HS (Kansas City, KS)",1
1995,1,,20,20.0,Y,"$825,000",David Yocum (minors),LHP,,,,,,,,,,,,,4Yr,"Florida State University (Tallahassee, FL)",1
1994,1,,13,13.0,Y,"$830,000",Paul Konerko (minors),C,28.1,2349.0,8393.0,439.0,0.279,0.841,,,,,,,HS,"Chaparral HS (Scottsdale, AZ)",1
1993,1,,2,2.0,Y,"$1,300,000",Darren Dreifort (minors),RHP,7.8,265.0,239.0,6.0,0.184,0.515,274.0,48.0,60.0,4.36,1.39,11.0,4Yr,"Wichita State University (Wichita, KS)",1
1992,1s,,32,32.0,Y,,*Ryan Luzinski (minors),C,,,,,,,,,,,,,HS,"Holy Cross HS (Delran, NJ)",1
1992,1s,,36,36.0,Y,,*Mike Moore (minors),OF,,,,,,,,,,,,,4Yr,"University of California, Los Angeles (Los Angeles, CA)",1
1990,1,,9,9.0,Y,"$215,000",Ron Walden (minors),LHP,,,,,,,,,,,,,HS,"Blanchard HS (Blanchard, OK)",1
1989,1,,15,15.0,Y,"$175,000",*Kiki Jones (minors),RHP,,,,,,,,,,,,,HS,"Hillsborough HS (Tampa, FL)",1
1989,1,,22,22.0,Y,"$168,000",Tom Goodwin (minors),OF,8.5,1288.0,3846.0,24.0,0.268,0.671,,,,,,,4Yr,"California State University, Fresno (Fresno, CA)",1
1989,1s,,28,28.0,Y,,*Jamie McAndrew (minors),RHP,-0.1,0.0,0.0,0.0,,,15.0,3.0,4.0,5.98,1.72,0.0,4Yr,"University of Florida (Gainesville, FL)",1
1988,1,,5,5.0,Y,"$150,000",Bill Bene (minors),RHP,,,,,,,,,,,,,4Yr,"California State University, Los Angeles (Los Angeles, CA)",1
1987,1,,8,8.0,Y,"$160,000",Dan Opperman (minors),RHP,,,,,,,,,,,,,HS,"Valley HS (Las Vegas, NV)",1
1986,1,,19,19.0,Y,"$75,000",Mike White (minors),OF,,,,,,,,,,,,,HS,"Loudon HS (Loudon, TN)",1
1985,1,,10,10.0,Y,"$135,000",Chris Gwynn (minors),OF,-1.4,599.0,1007.0,17.0,0.261,0.678,,,,,,,4Yr,"San Diego State University (San Diego, CA)",1
1984,1,,23,23.0,Y,"$100,000",Dennis Livingston (minors),LHP,,,,,,,,,,,,,4Yr,"Oklahoma State University (Stillwater, OK)",1
1983,1,,18,18.0,Y,"$100,000",Erik Sonberg (minors),LHP,,,,,,,,,,,,,4Yr,"Wichita State University (Wichita, KS)",1
1982,1,,19,19.0,Y,"$75,000",Franklin Stubbs (minors),1B,2.7,945.0,2591.0,104.0,0.232,0.707,,,,,,,4Yr,"Virginia Polytechnic Institute and State University (Blacksburg, VA)",1
1981,1,,22,22.0,Y,"$50,000",Dave Anderson (minors),SS,5.7,873.0,2026.0,19.0,0.242,0.63,,,,,,,4Yr,"University of Memphis (Memphis, TN)",1
1980,1,,9,9.0,Y,"$61,000",Ross Jones (minors),SS,-0.6,67.0,145.0,0.0,0.221,0.544,,,,,,,4Yr,"University of Miami (Coral Gables, FL)",1
1979,1,,16,16.0,Y,"$75,000",*Steve Howe (minors),LHP,10.3,232.0,27.0,0.0,0.074,0.212,497.0,47.0,41.0,3.03,1.2,91.0,4Yr,"University of Michigan (Ann Arbor, MI)",1
1979,1,,25,25.0,Y,"$67,500",*Steve Perry (minors),RHP,,,,,,,,,,,,,4Yr,"University of Michigan (Ann Arbor, MI)",1
1977,1,,20,20.0,Y,"$20,000",Bob Welch (minors),RHP,43.7,306.0,582.0,2.0,0.151,0.363,506.0,211.0,146.0,3.47,1.27,8.0,4Yr,"Eastern Michigan University (Ypsilanti, MI)",1
1976,1,,19,19.0,Y,"$44,500",Mike Scioscia (minors),C,26.1,1441.0,4373.0,68.0,0.259,0.7,,,,,,,HS,"Springfield HS (Springfield, PA)",1
