Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,16,16.0,Y,"$3,997,500",Bryce Eldridge (minors),TWP,,,,,,,,,,,,,HS,"James Madison HS (Vienna, VA)",1
2022,1,,30,30.0,Y,"$2,297,500",Reggie Crawford (minors),TWP,,,,,,,,,,,,,4Yr,"University of Connecticut (Storrs, CT)",1
2021,1,,14,14.0,Y,"$3,647,500",Will Bednar (minors),P,,,,,,,,,,,,,4Yr,"Mississippi State University (Mississippi State, MS)",1
2020,1,,13,13.0,Y,"$3,797,500",Patrick Bailey (minors),C,0.8,97.0,326.0,7.0,0.233,0.644,,,,,,,4Yr,"North Carolina State University (Raleigh, NC)",1
2019,1,,10,10.0,Y,"$4,097,500",Hunter Bishop (minors),OF,,,,,,,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",1
2018,1,,2,2.0,Y,"$7,025,000",Joey Bart (minors),C,0.7,162.0,457.0,11.0,0.219,0.623,,,,,,,4Yr,"Georgia Institute of Technology (Atlanta, GA)",1
2017,1,,19,19.0,Y,"$3,101,700",Heliot Ramos (minors),OF,-0.9,34.0,76.0,1.0,0.158,0.47,,,,,,,HS,"Leadership Christian Academy (Guaynabo, Puerto Rico)",1
2015,1,,18,18.0,Y,"$2,333,800",Phil Bickford (minors),RHP,0.6,58.0,3.0,0.0,0.333,0.667,179.0,11.0,8.0,4.43,1.24,2.0,JC,"College of Southern Nevada (Henderson, NV)",1
2015,1,,31,31.0,Y,"$1,400,000",Chris Shaw (minors),1B,-0.9,38.0,72.0,1.0,0.153,0.466,,,,,,,4Yr,"Boston College (Chestnut Hill, MA)",1
2014,1,,14,14.0,Y,"$2,613,200",Tyler Beede (minors),RHP,-0.4,28.0,40.0,0.0,0.1,0.263,58.0,7.0,16.0,5.34,1.56,0.0,4Yr,"Vanderbilt University (Nashville, TN)",1
2013,1,,25,25.0,Y,"$1,866,500",Christian Arroyo (minors),SS,2.0,295.0,917.0,24.0,0.252,0.693,1.0,0.0,0.0,0.0,2.0,0.0,HS,"Hernando HS (Brooksville, FL)",1
2012,1,,20,20.0,Y,"$1,850,000",Chris Stratton (minors),RHP,1.8,138.0,64.0,0.0,0.125,0.264,302.0,37.0,24.0,4.43,1.41,12.0,4Yr,"Mississippi State University (Mississippi State, MS)",1
2011,1,,29,29.0,Y,"$1,116,000",Joe Panik (minors),SS,5.4,818.0,2778.0,42.0,0.264,0.7,,,,,,,4Yr,"St. John's University (Queens, NY)",1
2011,1s,,49,49.0,Y,"$900,000",*Kyle Crick (minors),RHP,1.6,162.0,0.0,0.0,,,194.0,9.0,11.0,3.56,1.32,2.0,HS,"Sherman HS (Sherman, TX)",1
2010,1,,24,24.0,Y,"$1,450,000",Gary Brown (minors),CF,0.1,7.0,7.0,0.0,0.429,0.857,,,,,,,4Yr,"California State University, Fullerton (Fullerton, CA)",1
2009,1,,6,6.0,Y,"$3,300,000",Zack Wheeler (minors),RHP,29.4,152.0,288.0,1.0,0.153,0.367,227.0,87.0,63.0,3.45,1.19,0.0,HS,"East Paulding HS (Dallas, GA)",1
2008,1,,5,5.0,Y,"$6,200,000",Buster Posey (minors),C,44.8,1371.0,4970.0,158.0,0.302,0.831,,,,,,,4Yr,"Florida State University (Tallahassee, FL)",1
2008,1s,,37,37.0,Y,"$970,000",*Conor Gillaspie (minors),3B,2.2,513.0,1424.0,33.0,0.251,0.695,,,,,,,4Yr,"Wichita State University (Wichita, KS)",1
2007,1,,10,10.0,Y,"$2,000,000",Madison Bumgarner (minors),LHP,37.3,313.0,633.0,19.0,0.172,0.525,358.0,134.0,124.0,3.47,1.15,0.0,HS,"South Caldwell HS (Hudson, NC)",1
2007,1,,22,22.0,Y,"$1,290,000",*Tim Alderson (minors),RHP,,,,,,,,,,,,,HS,"Horizon HS (Scottsdale, AZ)",1
2007,1,,29,29.0,Y,"$1,000,000",*Wendell Fairley (minors),OF,,,,,,,,,,,,,HS,"George County HS (Lucedale, MS)",1
2007,1s,,32,32.0,Y,"$915,750",*Nick Noonan (minors),2B,-1.2,83.0,145.0,1.0,0.193,0.473,,,,,,,HS,"Francis Parker School (San Diego, CA)",1
2007,1s,,43,43.0,Y,"$708,750",*Jackson Williams (minors),C,0.1,14.0,24.0,1.0,0.208,0.742,,,,,,,4Yr,"University of Oklahoma (Norman, OK)",1
2007,1s,,51,51.0,Y,"$607,500",*Charlie Culberson (minors),2B,-0.1,586.0,1212.0,30.0,0.248,0.68,8.0,0.0,0.0,1.23,1.36,0.0,HS,"Calhoun HS (Calhoun, GA)",1
2006,1,,10,10.0,Y,"$2,025,000",Tim Lincecum (minors),RHP,19.5,262.0,474.0,0.0,0.112,0.3,278.0,110.0,89.0,3.74,1.29,1.0,4Yr,"University of Washington (Seattle, WA)",1
2006,1s,,33,33.0,Y,"$1,000,000",*Emmanuel Burriss (minors),SS,-2.7,325.0,768.0,1.0,0.237,0.565,,,,,,,4Yr,"Kent State University (Kent, OH)",1
2003,1,,22,22.0,Y,"$1,425,000",*David Aardsma (minors),RHP,1.8,139.0,4.0,0.0,0.0,0.0,331.0,16.0,18.0,4.27,1.42,69.0,4Yr,"Rice University (Houston, TX)",1
2003,1s,,34,34.0,Y,"$975,000",*Craig Whitaker (minors),RHP,,,,,,,,,,,,,HS,"Lufkin HS (Lufkin, TX)",1
2002,1,,25,25.0,Y,"$1,375,000",Matt Cain (minors),RHP,29.1,332.0,611.0,7.0,0.121,0.331,342.0,104.0,118.0,3.68,1.23,0.0,HS,"Houston HS (Germantown, TN)",1
2001,1,,21,21.0,Y,"$1,380,000",*Brad Hennessey (minors),RHP,2.6,149.0,88.0,2.0,0.227,0.563,148.0,17.0,23.0,4.69,1.49,20.0,4Yr,"Youngstown State University (Youngstown, OH)",1
2001,1,,30,30.0,Y,"$1,175,000",Noah Lowry (minors),LHP,10.0,110.0,197.0,2.0,0.178,0.464,106.0,40.0,31.0,4.03,1.38,0.0,4Yr,"Pepperdine University (Malibu, CA)",1
2001,1s,,41,41.0,Y,"$750,000",*Todd Linden (minors),OF,-1.8,270.0,502.0,8.0,0.231,0.638,,,,,,,4Yr,"Louisiana State University (Baton Rouge, LA)",1
2000,1,,21,21.0,Y,"$1,245,000",Boof Bonser (minors),RHP,-0.5,6.0,6.0,0.0,0.0,0.0,111.0,19.0,25.0,5.18,1.46,0.0,HS,"Gibbs HS (St. Petersburg, FL)",1
1999,1,,24,24.0,Y,"$1,300,000",Kurt Ainsworth (minors),RHP,-0.3,20.0,28.0,0.0,0.071,0.179,29.0,6.0,8.0,5.19,1.56,0.0,4Yr,"Louisiana State University (Baton Rouge, LA)",1
1999,1s,,39,39.0,Y,"$832,500",*Jerome Williams (minors),RHP,3.5,122.0,167.0,0.0,0.108,0.255,236.0,52.0,66.0,4.59,1.39,2.0,HS,"Waipahu HS (Waipahu, HI)",1
1998,1,,19,19.0,Y,"$975,000",*Tony Torcato (minors),3B,-0.3,43.0,47.0,0.0,0.298,0.687,,,,,,,HS,"Woodland HS (Woodland, CA)",1
