Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,23,23.0,Y,"$2,500,000",Ralphy Velazquez (minors),C,,,,,,,,,,,,,HS,"Huntington Beach HS (Huntington Beach, CA)",1
2022,1,,16,16.0,Y,"$3,750,000",Chase DeLauter (minors),OF,,,,,,,,,,,,,4Yr,"James Madison University (Harrisonburg, VA)",1
2022,1,,37,37.0,Y,"$1,700,000",Justin Campbell (minors),P,,,,,,,,,,,,,4Yr,"Oklahoma State University (Stillwater, OK)",1
2021,1,,23,23.0,Y,"$2,250,000",Gavin Williams (minors),P,1.8,0.0,0.0,,,,16.0,3.0,5.0,3.29,1.26,0.0,4Yr,"East Carolina University (Greenville, NC)",1
2020,1,,23,23.0,Y,"$2,000,000",Carson Tucker (minors),SS,,,,,,,,,,,,,HS,"Mountain Pointe HS (Phoenix, AZ)",1
2020,1,,36,36.0,Y,"$1,600,000",Tanner Burns (minors),P,,,,,,,,,,,,,4Yr,"Auburn University (Auburn, AL)",1
2019,1,,24,24.0,Y,"$2,500,000",Daniel Espino (minors),P,,,,,,,,,,,,,HS,"Georgia Premier Academy (Statesboro, GA)",1
2018,1,,29,29.0,Y,"$2,578,137",Bo Naylor (minors),C,1.4,72.0,206.0,11.0,0.228,0.779,,,,,,,HS,"St. Joan of Arc Catholic SS (Mississauga, ON)",1
2018,1,,35,35.0,Y,"$2,246,022",Ethan Hankins (minors),RHP,,,,,,,,,,,,,HS,"Forsyth Central HS (Gainesville, GA)",1
2018,1,,41,41.0,Y,"$1,350,000",Lenny Torres (minors),RHP,,,,,,,,,,,,,HS,"Beacon HS (Beacon, NY)",1
2016,1,,14,14.0,Y,"$2,500,000",Will Benson (minors),OF,1.3,136.0,342.0,11.0,0.26,0.797,,,,,,,HS,"Westminster HS (Atlanta, GA)",1
2015,1,,17,17.0,Y,"$2,513,280",Brady Aiken (minors),LHP,,,,,,,,,,,,,HS,"IMG Academy (Bradenton, FL)",1
2015,1,,42,42.0,Y,"$2,302,500",Triston McKenzie (minors),RHP,5.7,1.0,2.0,0.0,0.5,1.0,68.0,18.0,24.0,3.74,1.05,0.0,HS,"Royal Palm Beach Community HS (Royal Palm Beach, FL)",1
2014,1,,21,21.0,Y,"$1,900,000",Bradley Zimmer (minors),OF,2.9,372.0,859.0,21.0,0.213,0.631,,,,,,,4Yr,"University of San Francisco (San Francisco, CA)",1
2014,1,,31,31.0,Y,"$1,600,000",Justus Sheffield (minors),LHP,-0.9,3.0,4.0,0.0,0.25,0.5,48.0,12.0,12.0,5.47,1.63,0.0,HS,"Tullahoma HS (Tullahoma, TN)",1
2014,1,,38,38.0,Y,"$1,250,000",Mike Papi (minors),OF,,,,,,,,,,,,,4Yr,"University of Virginia (Charlottesville, VA)",1
2013,1,,5,5.0,Y,"$3,500,000",Clint Frazier (minors),3B,0.0,280.0,810.0,29.0,0.235,0.739,,,,,,,HS,"Loganville HS (Loganville, GA)",1
2012,1,,15,15.0,Y,"$1,750,000",Tyler Naquin (minors),OF,3.1,562.0,1668.0,61.0,0.263,0.762,,,,,,,4Yr,"Texas A&M University (College Station, TX)",1
2011,1,,8,8.0,Y,"$2,900,000",Francisco Lindor (minors),SS,42.7,1223.0,4824.0,215.0,0.274,0.815,,,,,,,HS,"Montverde Academy (Montverde, FL)",1
2010,1,,5,5.0,Y,"$2,650,000",Drew Pomeranz (minors),LHP,12.4,131.0,89.0,2.0,0.135,0.369,289.0,48.0,58.0,3.91,1.35,9.0,4Yr,"University of Mississippi (Oxford, MS)",1
2009,1,,15,15.0,Y,"$2,250,000",Alex White (minors),RHP,-0.4,34.0,41.0,2.0,0.146,0.484,33.0,5.0,13.0,6.03,1.69,0.0,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)",1
2008,1,,29,29.0,Y,"$1,100,000",Lonnie Chisenhall (minors),3B,9.0,688.0,2159.0,64.0,0.268,0.747,,,,,,,JC,"Pitt Community College (Winterville, NC)",1
2007,1,,13,13.0,Y,"$1,575,000",Beau Mills (minors),1B,,,,,,,,,,,,,4Yr,"Lewis-Clark State College (Lewiston, ID)",1
2006,1s,,39,39.0,Y,"$900,000",*David Huff (minors),LHP,-1.8,22.0,8.0,0.0,0.125,0.25,120.0,25.0,30.0,5.17,1.51,0.0,4Yr,"University of California, Los Angeles (Los Angeles, CA)",1
2005,1,,14,14.0,Y,"$1,695,000",Trevor Crowe (minors),OF,0.2,265.0,818.0,4.0,0.24,0.615,,,,,,,4Yr,"University of Arizona (Tucson, AZ)",1
2005,1s,,33,33.0,Y,"$1,000,000",*Johnny Drennen (minors),OF,,,,,,,,,,,,,HS,"Rancho Bernardo HS (San Diego, CA)",1
