Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,22,22,Y,"$3,800,000",Colt Emerson (minors),SS,,,,,,,,,,,,,HS,"John Glenn HS (New Concord, OH)",1
2023,1,,29,31,Y,"$3,200,000",Jonny Farmelo (minors),OF,,,,,,,,,,,,,HS,"Westfield HS (Chantilly, VA)",1
2023,1,,30,32,Y,"$2,500,000",Tai Peete (minors),SS,,,,,,,,,,,,,HS,"Trinity Christian School (Sharpsburg, GA)",1
2022,1,,21,21,Y,"$3,300,000",Cole Young (minors),SS,,,,,,,,,,,,,HS,"North Allegheny HS (Wexford, PA)",1
2021,1,,12,12,Y,"$4,366,400",Harry Ford (minors),C,,,,,,,,,,,,,HS,"North Cobb HS (Kennesaw, GA)",1
2020,1,,6,6,Y,"$5,700,000",Emerson Hancock (minors),P,0.2,0.0,0.0,,,,3.0,0.0,0.0,4.5,1.33,0.0,4Yr,"University of Georgia (Athens, GA)",1
2019,1,,20,20,Y,"$3,242,900",George Kirby (minors),P,5.3,0.0,0.0,0.0,,,56.0,21.0,15.0,3.37,1.11,0.0,4Yr,"Elon University (Elon, NC)",1
2018,1,,14,14,Y,"$3,883,800",Logan Gilbert (minors),RHP,7.1,0.0,0.0,0.0,,,88.0,32.0,18.0,3.76,1.14,0.0,4Yr,"Stetson University (DeLand, FL)",1
2017,1,,17,17,Y,"$3,125,000",Evan White (minors),1B,-0.6,84.0,279.0,10.0,0.165,0.544,,,,,,,4Yr,"University of Kentucky (Lexington, KY)",1
2016,1,,11,11,Y,"$3,286,700",Kyle Lewis (minors),OF,1.9,146.0,514.0,26.0,0.235,0.732,,,,,,,4Yr,"Mercer University (Macon, GA)",1
2014,1,,6,6,Y,"$4,200,000",Alex Jackson (minors),OF,-0.9,66.0,163.0,3.0,0.141,0.47,,,,,,,HS,"Rancho Bernardo HS (San Diego, CA)",1
2013,1,,12,12,Y,"$2,759,100",D.J. Peterson (minors),3B,,,,,,,,,,,,,4Yr,"University of New Mexico (Albuquerque, NM)",1
2012,1,,3,3,Y,"$4,000,000",Mike Zunino (minors),C,9.2,892.0,2798.0,149.0,0.199,0.676,,,,,,,4Yr,"University of Florida (Gainesville, FL)",1
2011,1,,2,2,Y,"$6,350,000",Danny Hultzen (minors),LHP,0.2,6.0,0.0,0.0,,,6.0,0.0,0.0,0.0,1.8,0.0,4Yr,"University of Virginia (Charlottesville, VA)",1
2010,1s,,43,43,Y,"$800,000",*Taijuan Walker (minors),RHP,12.7,61.0,112.0,1.0,0.161,0.388,198.0,69.0,56.0,3.97,1.24,0.0,HS,"Yucaipa HS (Yucaipa, CA)",1
2009,1,,2,2,Y,"$6,000,000",Dustin Ackley (minors),CF,7.7,635.0,2125.0,46.0,0.241,0.672,,,,,,,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)",1
2009,1,,27,27,Y,"$1,280,000",*Nick Franklin (minors),SS,1.2,301.0,833.0,24.0,0.214,0.644,1.0,0.0,0.0,18.0,3.0,0.0,HS,"Lake Brantley HS (Altamonte Springs, FL)",1
2009,1s,,33,33,Y,"$980,000",*Steven Baron (minors),C,-0.4,13.0,26.0,0.0,0.115,0.269,,,,,,,HS,"John A. Ferguson HS (Miami, FL)",1
2008,1,,20,20,Y,"$1,750,000",Josh Fields (minors),RHP,1.8,133.0,1.0,0.0,0.0,0.0,288.0,17.0,12.0,3.71,1.17,13.0,4Yr,"University of Georgia (Athens, GA)",1
2007,1,,11,11,Y,"$1,900,000",Phillippe Aumont (minors),RHP,-0.7,44.0,1.0,0.0,0.0,0.5,46.0,1.0,6.0,6.8,1.99,2.0,HS,"Ecole Du Versant (Gatineau, QC)",1
2007,1s,,52,52,Y,"$603,000",*Matt Mangini (minors),3B,-0.2,11.0,38.0,0.0,0.211,0.461,,,,,,,4Yr,"Oklahoma State University (Stillwater, OK)",1
2006,1,,5,5,Y,"$2,450,000",Brandon Morrow (minors),RHP,11.1,115.0,24.0,0.0,0.0,0.04,334.0,51.0,43.0,3.96,1.31,40.0,4Yr,"University of California, Berkeley (Berkeley, CA)",1
2005,1,,3,3,Y,"$3,400,000",Jeff Clement (minors),C,-1.2,152.0,385.0,14.0,0.218,0.648,,,,,,,4Yr,"University of Southern California (Los Angeles, CA)",1
2003,1s,,37,37,Y,"$925,000",*Adam Jones (minors),SS,32.6,1823.0,7009.0,282.0,0.277,0.771,,,,,,,HS,"Samuel F. B. Morse HS (San Diego, CA)",1
2002,1,,28,28,N,,John Mayberry (minors),OF,1.5,574.0,1386.0,56.0,0.235,0.72,,,,,,,HS,"Rockhurst HS (Kansas City, MO)",1
2001,1s,,36,36,Y,"$2,000,000",*Michael Garciaparra (minors),SS,,,,,,,,,,,,,HS,"Don Bosco Technical Institute (Rosemead, CA)",1
1999,1,,11,11,Y,"$2,100,000",Ryan Christianson (minors),C,,,,,,,,,,,,,HS,"Arlington HS (Riverside, CA)",1
1999,1s,,33,33,Y,"$987,000",*Jeff Heaverlo (minors),RHP,,,,,,,,,,,,,4Yr,"University of Washington (Seattle, WA)",1
1998,1,,22,22,Y,"$925,000",Matt Thornton (minors),LHP,13.4,133.0,1.0,0.0,0.0,0.0,748.0,36.0,46.0,3.41,1.28,23.0,4Yr,"Grand Valley State University (Allendale, MI)",1
1997,1,,19,19,Y,"$2,175,000",Ryan Anderson (minors),LHP,,,,,,,,,,,,,HS,"Divine Child HS (Dearborn, MI)",1
1996,1,,22,22,Y,"$820,000",Gil Meche (minors),RHP,16.8,11.0,23.0,0.0,0.13,0.261,258.0,84.0,83.0,4.49,1.42,0.0,HS,"Acadiana HS (Lafayette, LA)",1
1995,1,,3,3,Y,"$1,285,000",Jos� Cruz (minors),OF,19.6,1388.0,4724.0,204.0,0.247,0.783,,,,,,,4Yr,"Rice University (Houston, TX)",1
1994,1,,14,14,Y,"$650,000",Jason Varitek (minors),C,24.2,1546.0,5099.0,193.0,0.256,0.776,,,,,,,4Yr,"Georgia Institute of Technology (Atlanta, GA)",1
1993,1,,1,1,Y,"$1,000,000",Alex Rodriguez (minors),SS,117.5,2784.0,10566.0,696.0,0.295,0.93,,,,,,,HS,"Westminster Christian School (Miami, FL)",1
1992,1,,14,14,Y,"$550,000",Ron Villone (minors),LHP,3.6,392.0,170.0,1.0,0.129,0.316,717.0,61.0,65.0,4.73,1.5,8.0,4Yr,"University of Massachusetts Amherst (Amherst, MA)",1
1991,1,,11,11,Y,"$332,500",Shawn Estes (minors),LHP,10.4,296.0,498.0,4.0,0.159,0.408,283.0,101.0,93.0,4.71,1.53,0.0,HS,"Douglas HS (Minden, NV)",1
1990,1,,6,6,Y,"$220,000",Marc Newfield (minors),1B,-1.6,355.0,957.0,22.0,0.249,0.678,,,,,,,HS,"Marina HS (Huntington Beach, CA)",1
1990,1s,,38,38,Y,,*Tony Manahan (minors),SS,,,,,,,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",1
1989,1,,3,3,Y,"$210,000",Roger Salkeld (minors),RHP,0.2,29.0,32.0,0.0,0.031,0.092,45.0,10.0,10.0,5.61,1.62,0.0,HS,"Saugus HS (Saugus, CA)",1
1989,1,,26,26,N,,*Scott Burrell (minors),RHP,,,,,,,,,,,,,HS,"Hamden HS (Hamden, CT)",1
1988,1,,14,14,Y,"$135,000",Tino Martinez (minors),1B,29.0,2023.0,7111.0,339.0,0.271,0.815,,,,,,,4Yr,"University of Tampa (Tampa, FL)",1
1987,1,,1,1,Y,"$160,000",Ken Griffey Jr. (minors),OF,83.8,2671.0,9801.0,630.0,0.284,0.907,,,,,,,HS,"Archbishop Moeller HS (Cincinnati, OH)",1
1986,1,,8,8,Y,"$120,000",Pat Lennon (minors),SS,-0.5,91.0,189.0,2.0,0.265,0.74,,,,,,,HS,"Whiteville HS (Whiteville, NC)",1
