Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,10,10,Y,"$4,500,000",Noble Meyer (minors),P,,,,,,,,,,,,,HS,"Jesuit HS (Beaverton, OR)",1
2023,1,,35,36,Y,"$4,100,000",Thomas White (minors),P,,,,,,,,,,,,,HS,"Phillips Academy Andover (Andover, MA)",1
2022,1,,6,6,Y,"$6,000,000",Jacob Berry (minors),3B,,,,,,,,,,,,,4Yr,"Louisiana State University (Baton Rouge, LA)",1
2021,1,,16,16,Y,"$4,540,790",Kahlil Watson (minors),SS,,,,,,,,,,,,,HS,"Wake Forest HS (Wake Forest, NC)",1
2021,1,,31,31,Y,"$2,500,000",Joe Mack (minors),C,,,,,,,,,,,,,HS,"Williamsville East HS (East Amherst, NY)",1
2020,1,,3,3,Y,"$6,700,000",Max Meyer (minors),P,-0.1,0.0,0.0,0.0,,,2.0,0.0,1.0,7.5,1.5,0.0,4Yr,"University of Minnesota (Minneapolis, MN)",1
2019,1,,4,4,Y,"$6,670,000",JJ Bleday (minors),OF,-0.5,147.0,460.0,15.0,0.183,0.631,,,,,,,4Yr,"Vanderbilt University (Nashville, TN)",1
2019,1,,35,35,Y,"$2,115,000",Kameron Misner (minors),CF,,,,,,,,,,,,,4Yr,"University of Missouri (Columbia, MO)",1
2018,1,,13,13,Y,"$4,038,200",Connor Scott (minors),OF,,,,,,,,,,,,,HS,"H. B. Plant HS (Tampa, FL)",1
2017,1,,13,13,Y,"$3,400,000",Trevor Rogers (minors),LHP,2.9,25.0,43.0,0.0,0.07,0.161,59.0,13.0,23.0,4.12,1.33,0.0,HS,"Carlsbad HS (Carlsbad, NM)",1
2017,1,,36,36,Y,"$1,888,800",Brian Miller (minors),OF,-0.1,5.0,11.0,0.0,0.273,0.545,,,,,,,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)",1
2016,1,,7,7,Y,"$4,069,200",Braxton Garrett (minors),LHP,5.1,8.0,11.0,0.0,0.182,0.364,58.0,14.0,17.0,3.86,1.27,0.0,HS,"Florence HS (Florence, AL)",1
2015,1,,12,12,Y,"$2,200,000",Josh Naylor (minors),1B,4.5,446.0,1484.0,53.0,0.27,0.763,,,,,,,HS,"St. Joan of Arc Catholic SS (Mississauga, ON)",1
2014,1,,2,2,Y,"$6,000,000",Tyler Kolek (minors),RHP,,,,,,,,,,,,,HS,"Shepherd HS (Shepherd, TX)",1
2014,1,,36,36,Y,"$1,170,000",Blake Anderson (minors),C,,,,,,,,,,,,,HS,"West Lauderdale HS (Collinsville, MS)",1
2013,1,,6,6,Y,"$3,516,500",Colin Moran (minors),3B,-0.2,502.0,1520.0,50.0,0.263,0.743,,,,,,,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)",1
2013,1,,35,35,N,,Matt Krook (minors),LHP,-0.4,0.0,0.0,,,,4.0,0.0,0.0,24.75,3.5,0.0,HS,"St. Ignatius College Preparatory (San Francisco, CA)",1
