Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,32,29.0,Y,"$2,750,000",Colin Houck (minors),SS,,,,,,,,,,,,,HS,"Parkview HS (Lilburn, GA)",1
2022,1,,11,11.0,Y,"$5,019,735",Kevin Parada (minors),C,,,,,,,,,,,,,4Yr,"Georgia Institute of Technology (Atlanta, GA)",1
2022,1,,14,14.0,Y,"$3,900,000",Jett Williams (minors),SS,,,,,,,,,,,,,HS,"Rockwall-Heath HS (Heath, TX)",1
2021,1,,10,10.0,Unk,,Kumar Rocker (minors),P,,,,,,,,,,,,,4Yr,"Vanderbilt University (Nashville, TN)",1
2020,1,,19,19.0,Y,"$3,359,000",Pete Crow-Armstrong (minors),OF,-0.1,13.0,14.0,0.0,0.0,0.177,,,,,,,HS,"Harvard-Westlake HS (Los Angeles, CA)",1
2019,1,,12,12.0,Y,"$3,900,000",Brett Baty (minors),3B,-1.1,119.0,391.0,11.0,0.21,0.597,,,,,,,HS,"Lake Travis HS (Austin, TX)",1
2018,1,,6,6.0,Y,"$4,500,000",Jarred Kelenic (minors),OF,0.0,252.0,872.0,32.0,0.204,0.656,,,,,,,HS,"Waukesha West HS (Waukesha, WI)",1
2017,1,,20,20.0,Y,"$2,994,500",David Peterson (minors),LHP,2.6,14.0,16.0,0.0,0.063,0.243,80.0,18.0,21.0,4.51,1.41,0.0,4Yr,"University of Oregon (Eugene, OR)",1
2016,1,,19,19.0,Y,"$2,378,800",Justin Dunn (minors),RHP,1.5,3.0,4.0,0.0,0.25,0.75,32.0,6.0,7.0,4.44,1.41,0.0,4Yr,"Boston College (Chestnut Hill, MA)",1
2016,1,,31,31.0,Y,"$1,100,000",Anthony Kay (minors),LHP,-0.1,4.0,0.0,0.0,,,45.0,4.0,2.0,5.67,1.62,0.0,4Yr,"University of Connecticut (Storrs, CT)",1
2014,1,,10,10.0,Y,"$2,970,800",Michael Conforto (minors),OF,16.3,882.0,2957.0,147.0,0.253,0.81,,,,,,,4Yr,"Oregon State University (Corvallis, OR)",1
2013,1,,11,11.0,Y,"$2,600,000",Dominic Smith (minors),1B,1.1,600.0,1771.0,58.0,0.248,0.721,,,,,,,HS,"Junipero Serra HS (Gardena, CA)",1
2012,1,,12,12.0,Y,"$2,300,000",Gavin Cecchini (minors),SS,-0.5,36.0,83.0,1.0,0.217,0.571,,,,,,,HS,"Alfred M. Barbe HS (Lake Charles, LA)",1
