Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,2,2,Y,"$9,000,000",Dylan Crews (minors),OF,,,,,,,,,,,,,4Yr,"Louisiana State University (Baton Rouge, LA)",1
2022,1,,5,5,Y,"$6,500,000",Elijah Green (minors),OF,,,,,,,,,,,,,HS,"IMG Academy (Bradenton, FL)",1
2021,1,,11,11,Y,"$5,000,000",Brady House (minors),SS,,,,,,,,,,,,,HS,"Winder-Barrow HS (Winder, GA)",1
2020,1,,22,22,Y,"$3,027,000",Cade Cavalli (minors),P,-0.3,0.0,0.0,0.0,,,1.0,0.0,1.0,14.54,1.85,0.0,4Yr,"University of Oklahoma (Norman, OK)",1
2019,1,,17,17,Y,"$3,450,000",Jackson Rutledge (minors),P,-0.2,0.0,0.0,,,,4.0,1.0,1.0,6.75,1.5,0.0,JC,"San Jacinto College, North Campus (Houston, TX)",1
2018,1,,27,27,Y,"$3,000,000",Mason Denaburg (minors),RHP,,,,,,,,,,,,,HS,"Merritt Island HS (Merritt Island, FL)",1
2017,1,,25,25,Y,"$2,800,000",Seth Romero (minors),LHP,-0.2,0.0,0.0,0.0,,,3.0,0.0,0.0,13.5,3.0,0.0,4Yr,"University of Houston (Houston, TX)",1
2016,1,,28,28,Y,"$2,000,000",Carter Kieboom (minors),SS,-1.8,133.0,442.0,12.0,0.199,0.598,,,,,,,HS,"Walton HS (Marietta, GA)",1
2016,1,,29,29,Y,"$2,000,000",Dane Dunning (minors),RHP,5.0,2.0,3.0,0.0,0.333,0.667,98.0,23.0,25.0,4.16,1.35,0.0,4Yr,"University of Florida (Gainesville, FL)",1
2014,1,,18,18,Y,"$2,511,100",Erick Fedde (minors),RHP,-0.3,61.0,71.0,0.0,0.042,0.11,102.0,21.0,33.0,5.41,1.52,0.0,4Yr,"University of Nevada, Las Vegas (Paradise, NV)",1
2012,1,,16,16,Y,"$2,925,000",Lucas Giolito (minors),RHP,12.5,13.0,18.0,0.0,0.167,0.333,180.0,61.0,62.0,4.43,1.25,0.0,HS,"Harvard-Westlake HS (Los Angeles, CA)",1
2011,1,,6,6,Y,"$6,000,000",Anthony Rendon (minors),3B,33.2,1116.0,4144.0,158.0,0.283,0.841,,,,,,,4Yr,"Rice University (Houston, TX)",1
2011,1,,23,23,Y,"$2,000,000",*Alex Meyer (minors),RHP,0.7,3.0,2.0,0.0,0.5,1.0,22.0,5.0,8.0,4.63,1.46,0.0,4Yr,"University of Kentucky (Lexington, KY)",1
2011,1s,,34,34,Y,"$3,000,000",*Brian Goodwin (minors),OF,1.5,429.0,1244.0,50.0,0.244,0.757,,,,,,,4Yr,"Miami Dade College, Kendall Campus (Miami, FL)",1
2010,1,,1,1,Y,"$6,250,000",Bryce Harper (minors),OF,46.2,1508.0,5384.0,306.0,0.281,0.912,,,,,,,JC,"College of Southern Nevada (Henderson, NV)",1
2009,1,,1,1,Y,"$7,500,000",Stephen Strasburg (minors),RHP,32.3,233.0,440.0,4.0,0.152,0.4,247.0,113.0,62.0,3.24,1.1,0.0,4Yr,"San Diego State University (San Diego, CA)",1
2009,1s,,10,10,Y,"$1,600,000",*Drew Storen (minors),RHP,4.8,399.0,3.0,0.0,0.333,0.667,470.0,29.0,18.0,3.45,1.19,99.0,4Yr,"Stanford University (Palo Alto, CA)",1
