Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,17,17.0,Y,"$4,169,700",Enrique Bradfield (minors),OF,,,,,,,,,,,,,4Yr,"Vanderbilt University (Nashville, TN)",1
2022,1,,1,1.0,Y,"$8,190,000",Jackson Holliday (minors),SS,,,,,,,,,,,,,HS,"Stillwater HS (Stillwater, OK)",1
2022,1,,33,33.0,Y,"$2,200,000",Dylan Beavers (minors),OF,,,,,,,,,,,,,4Yr,"University of California, Berkeley (Berkeley, CA)",1
2021,1,,5,5.0,Y,"$4,900,000",Colton Cowser (minors),OF,-0.8,26.0,61.0,0.0,0.115,0.433,,,,,,,4Yr,"Sam Houston State University (Huntsville, TX)",1
2020,1,,2,2.0,Y,"$5,200,000",Heston Kjerstad (minors),OF,0.0,13.0,30.0,2.0,0.233,0.748,,,,,,,4Yr,"University of Arkansas (Fayetteville, AR)",1
2020,1,,30,30.0,Y,"$2,365,500",Jordan Westburg (minors),SS,1.2,68.0,208.0,3.0,0.26,0.715,,,,,,,4Yr,"Mississippi State University (Mississippi State, MS)",1
2019,1,,1,1.0,Y,"$8,100,000",Adley Rutschman (minors),C,9.6,267.0,986.0,33.0,0.268,0.808,,,,,,,4Yr,"Oregon State University (Corvallis, OR)",1
2018,1,,11,11.0,Y,"$4,300,000",Grayson Rodriguez (minors),RHP,0.9,0.0,0.0,,,,23.0,7.0,4.0,4.35,1.34,0.0,HS,"Central Heights HS (Nacogdoches, TX)",1
2018,1,,37,37.0,Y,"$1,800,000",Cadyn Grenier (minors),SS,,,,,,,,,,,,,4Yr,"Oregon State University (Corvallis, OR)",1
2017,1,,21,21.0,Y,"$3,000,000",DL Hall (minors),LHP,0.0,1.0,0.0,0.0,,,29.0,4.0,1.0,4.36,1.39,1.0,HS,"Valdosta HS (Valdosta, GA)",1
2016,1,,27,27.0,Y,"$2,097,200",Cody Sedlock (minors),RHP,-0.1,0.0,0.0,0.0,,,1.0,0.0,0.0,15.0,2.33,0.0,4Yr,"University of Illinois at Urbana-Champaign (Champaign, IL)",1
2015,1,,25,25.0,Y,"$2,064,500",DJ Stewart (minors),OF,0.9,253.0,687.0,37.0,0.218,0.75,,,,,,,4Yr,"Florida State University (Tallahassee, FL)",1
2015,1,,36,36.0,Y,"$1,300,000",Ryan Mountcastle (minors),SS,5.2,439.0,1638.0,78.0,0.263,0.775,,,,,,,HS,"Paul J. Hagerty HS (Oviedo, FL)",1
2013,1,,22,22.0,Y,"$1,947,600",Hunter Harvey (minors),RHP,3.4,1.0,0.0,0.0,,,121.0,7.0,7.0,2.84,1.05,10.0,HS,"Bandys HS (Catawba, NC)",1
2013,1,,37,37.0,Y,"$1,450,000",Josh Hart (minors),CF,,,,,,,,,,,,,HS,"Parkview HS (Lilburn, GA)",1
