Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,25,25,Y,"$2,800,000",Dillon Head (minors),OF,,,,,,,,,,,,,HS,"Homewood-Flossmoor Community HS (Flossmoor, IL)",1
2022,1,,15,15,Y,"$3,900,000",Dylan Lesko (minors),P,,,,,,,,,,,,,HS,"Buford HS (Buford, GA)",1
2022,1,,39,39,Y,"$3,000,000",Robby Snelling (minors),P,,,,,,,,,,,,,HS,"Robert McQueen HS (Reno, NV)",1
2021,1,,27,27,Y,"$1,800,000",Jackson Merrill (minors),SS,,,,,,,,,,,,,HS,"Severna Park HS (Severna Park, MD)",1
2020,1,,8,8,Y,"$4,300,000",Robert Hassell (minors),OF,,,,,,,,,,,,,HS,"Independence HS (Thompson's Station, TN)",1
2020,1,,34,34,Y,"$2,000,000",Justin Lange (minors),P,,,,,,,,,,,,,HS,"Llano HS (Llano, TX)",1
2019,1,,6,6,Y,"$5,200,000",CJ Abrams (minors),SS,3.5,241.0,847.0,20.0,0.246,0.676,,,,,,,HS,"Blessed Trinity Catholic HS (Roswell, GA)",1
2018,1,,7,7,Y,"$5,226,500",Ryan Weathers (minors),LHP,-1.2,30.0,27.0,1.0,0.148,0.438,46.0,5.0,15.0,5.88,1.53,1.0,HS,"Loretto HS (Loretto, TN)",1
2018,1,,38,38,Y,"$2,600,000",Xavier Edwards (minors),SS,0.1,30.0,79.0,0.0,0.291,0.654,,,,,,,HS,"North Broward Preparatory School (Coconut Creek, FL)",1
2017,1,,3,3,Y,"$6,700,000",MacKenzie Gore (minors),LHP,2.3,0.0,0.0,0.0,,,43.0,11.0,14.0,4.45,1.42,0.0,HS,"Whiteville HS (Whiteville, NC)",1
2016,1,,8,8,Y,"$4,145,900",Cal Quantrill (minors),RHP,6.7,24.0,27.0,0.0,0.111,0.254,132.0,35.0,23.0,3.83,1.26,1.0,4Yr,"Stanford University (Palo Alto, CA)",1
2016,1,,24,24,Y,"$1,000,000",Hudson Potts (minors),SS,,,,,,,,,,,,,HS,"Carroll HS (Southlake, TX)",1
2016,1,,25,25,Y,"$2,000,000",Eric Lauer (minors),LHP,3.4,76.0,96.0,1.0,0.104,0.321,120.0,36.0,37.0,4.3,1.37,0.0,4Yr,"Kent State University (Kent, OH)",1
2014,1,,13,13,Y,"$2,900,000",Trea Turner (minors),SS,33.0,1004.0,4063.0,150.0,0.296,0.832,,,,,,,4Yr,"North Carolina State University (Raleigh, NC)",1
2013,1,,13,13,Y,"$2,678,000",Hunter Renfroe (minors),RF,10.3,841.0,2938.0,177.0,0.239,0.777,,,,,,,4Yr,"Mississippi State University (Mississippi State, MS)",1
2012,1,,7,7,Y,"$3,000,000",Max Fried (minors),LHP,20.5,93.0,126.0,0.0,0.214,0.542,139.0,62.0,26.0,3.03,1.16,0.0,HS,"Harvard-Westlake HS (Los Angeles, CA)",1
2012,1s,,33,33,Y,"$1,200,000",*Zach Eflin (minors),RHP,10.3,93.0,167.0,1.0,0.126,0.298,158.0,52.0,53.0,4.28,1.24,1.0,HS,"Paul J. Hagerty HS (Oviedo, FL)",1
2012,1s,,44,44,Y,"$975,000",*Travis Jankowski (minors),OF,3.9,577.0,1317.0,10.0,0.241,0.641,,,,,,,4Yr,"State University of New York at Stony Brook (Stony Brook, NY)",1
2012,1,,55,55,Y,"$2,000,000",*Walker Weickel (minors),RHP,,,,,,,,,,,,,HS,"Olympia HS (Orlando, FL)",1
2011,1s,,10,10,Y,"$1,863,000",*Cory Spangenberg (minors),2B,4.7,420.0,1250.0,29.0,0.256,0.704,2.0,0.0,0.0,13.5,3.5,0.0,JC,"Indian River State College (Fort Pierce, FL)",1
2011,1,,25,25,Y,"$2,750,000",Joe Ross (minors),RHP,4.9,110.0,157.0,0.0,0.185,0.434,98.0,26.0,28.0,4.26,1.33,0.0,HS,"Bishop O'Dowd HS (Oakland, CA)",1
2011,1s,,48,48,Y,"$718,000",*Michael Kelly (minors),RHP,0.2,0.0,0.0,0.0,,,18.0,1.0,0.0,3.48,1.26,0.0,HS,"West Boca Raton Community HS (Boca Raton, FL)",1
2011,1s,,54,54,N,,*Brett Austin (minors),C,,,,,,,,,,,,,HS,"Providence HS (Charlotte, NC)",1
2011,1s,,58,58,Y,"$624,600",*Jace Peterson (minors),SS,3.3,873.0,2393.0,42.0,0.228,0.656,6.0,0.0,0.0,12.0,2.83,0.0,4Yr,"McNeese State University (Lake Charles, LA)",1
2010,1,,9,9,N,,Karsten Whitson (minors),RHP,,,,,,,,,,,,,HS,"Chipley HS (Chipley, FL)",1
2009,1,,3,3,Y,"$6,250,000",Donavan Tate (minors),CF,,,,,,,,,,,,,HS,"Cartersville HS (Cartersville, GA)",1
2008,1,,23,23,Y,"$1,150,000",Allan Dykstra (minors),1B,-0.5,13.0,31.0,1.0,0.129,0.515,,,,,,,4Yr,"Wake Forest University (Winston-Salem, NC)",1
2008,1,,42,42,Y,"$892,000",Jaff Decker (minors),OF,-1.5,77.0,161.0,1.0,0.174,0.51,1.0,0.0,0.0,0.0,2.0,0.0,HS,"Sunrise Mountain HS (Peoria, AZ)",1
2008,1s,,46,46,Y,"$835,000",*Logan Forsythe (minors),3B,12.1,970.0,3120.0,71.0,0.244,0.695,1.0,0.0,0.0,9.0,3.0,0.0,4Yr,"University of Arkansas (Fayetteville, AR)",1
2007,1,,23,23,Y,"$1,260,000",Nick Schmidt (minors),LHP,,,,,,,,,,,,,4Yr,"University of Arkansas (Fayetteville, AR)",1
2007,1s,,40,40,Y,"$765,000",*Kellen Kulbacki (minors),OF,,,,,,,,,,,,,4Yr,"James Madison University (Harrisonburg, VA)",1
2007,1s,,46,46,Y,"$661,500",*Drew Cumberland (minors),SS,,,,,,,,,,,,,HS,"Pace HS (Pace, FL)",1
2007,1s,,57,57,Y,"$552,500",*Mitch Canham (minors),C,,,,,,,,,,,,,4Yr,"Oregon State University (Corvallis, OR)",1
2007,1s,,63,63,Y,"$515,000",*Cory Luebke (minors),LHP,2.4,61.0,49.0,0.0,0.143,0.319,64.0,10.0,13.0,3.52,1.19,0.0,4Yr,"The Ohio State University (Columbus, OH)",1
2007,1s,,64,64,Y,"$517,500",*Danny Payne (minors),OF,,,,,,,,,,,,,4Yr,"Georgia Institute of Technology (Atlanta, GA)",1
2006,1,,17,17,Y,"$1,575,000",Matt Antonelli (minors),3B,-0.3,21.0,57.0,1.0,0.193,0.573,,,,,,,4Yr,"Wake Forest University (Winston-Salem, NC)",1
2006,1s,,35,35,Y,"$950,000",*Kyler Burke (minors),OF,,,,,,,,,,,,,HS,"Ooltewah HS (Ooltewah, TN)",1
2005,1,,18,18,Y,"$1,550,000",Cesar Carrillo (minors),RHP,-0.7,3.0,3.0,0.0,0.0,0.0,3.0,1.0,2.0,13.06,2.71,0.0,4Yr,"University of Miami (Coral Gables, FL)",1
2005,1s,,35,35,Y,"$950,000",*Ces�r Ramos (minors),LHP,1.4,43.0,6.0,0.0,0.0,0.0,267.0,10.0,15.0,4.02,1.4,2.0,4Yr,"California State University, Long Beach (Long Beach, CA)",1
2004,1,,1,1,Y,"$3,150,000",Matt Bush (minors),SS,1.7,8.0,0.0,0.0,,,217.0,12.0,11.0,3.75,1.2,15.0,HS,"Mission Bay HS (San Diego, CA)",1
2003,1,,4,4,Y,"$750,000",Tim Stauffer (minors),RHP,3.8,183.0,140.0,0.0,0.15,0.35,201.0,33.0,34.0,3.97,1.33,0.0,4Yr,"University of Richmond (Richmond, VA)",1
2002,1,,13,13,Y,"$1,500,000",Khalil Greene (minors),SS,8.5,736.0,2567.0,90.0,0.245,0.723,,,,,,,4Yr,"Clemson University (Clemson, SC)",1
2001,1,,14,14,Y,"$1,875,000",Jake Gautreau (minors),3B,,,,,,,,,,,,,4Yr,"Tulane University (New Orleans, LA)",1
2000,1,,9,9,Y,"$2,200,000",Mark Phillips (minors),LHP,,,,,,,,,,,,,HS,"Hanover HS (Hanover, PA)",1
1999,1,,20,20,Y,"$1,415,000",*Vince Faison (minors),OF,,,,,,,,,,,,,HS,"Toombs County HS (Lyons, GA)",1
1999,1,,28,28,Y,"$1,100,000",Gerik Baxter (minors),RHP,,,,,,,,,,,,,HS,"Edmonds-Woodway HS (Edmonds, WA)",1
1999,1,,29,29,Y,"$1,050,000",*Omar Ortiz (minors),RHP,,,,,,,,,,,,,4Yr,"University of Texas Pan American (Edinburg, TX)",1
1999,1s,,41,41,Y,"$750,000",*Casey Burns (minors),RHP,,,,,,,,,,,,,4Yr,"University of Richmond (Richmond, VA)",1
1999,1s,,49,49,Y,"$650,000",*Mike Bynum (minors),LHP,-1.5,29.0,18.0,0.0,0.167,0.333,29.0,2.0,5.0,7.73,1.73,0.0,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)",1
1999,1s,,51,51,Y,"$650,000",*Nick Trzesniak (minors),C,,,,,,,,,,,,,HS,"Victor J. Andrew HS (Tinley Park, IL)",1
1998,1,,9,9,Y,"$2,000,000",Sean Burroughs (minors),3B,5.5,528.0,1664.0,12.0,0.278,0.69,1.0,0.0,0.0,27.0,4.0,0.0,HS,"Woodrow Wilson HS (Long Beach, CA)",1
1997,1,,27,27,Y,"$830,000",Kevin Nicholson (minors),SS,0.1,37.0,97.0,1.0,0.217,0.585,,,,,,,4Yr,"Stetson University (DeLand, FL)",1
1996,1,,15,15,Y,"$1,000,000",Matt Halloran (minors),SS,,,,,,,,,,,,,HS,"Chancellor HS (Fredericksburg, VA)",1
1995,1,,2,2,Y,"$1,300,000",Ben Davis (minors),C,2.9,486.0,1512.0,38.0,0.237,0.672,,,,,,,HS,"Malvern Preparatory School (Malvern, PA)",1
1994,1,,3,3,Y,"$960,000",Dustin Hermanson (minors),RHP,11.3,274.0,322.0,2.0,0.093,0.279,357.0,73.0,78.0,4.21,1.36,56.0,4Yr,"Kent State University (Kent, OH)",1
1993,1,,14,14,Y,"$600,000",Derrek Lee (minors),1B,34.5,1942.0,6962.0,331.0,0.281,0.859,,,,,,,HS,"El Camino Fundamental HS (Sacramento, CA)",1
1991,1,,8,8,Y,"$385,000",Joey Hamilton (minors),RHP,14.3,192.0,339.0,4.0,0.127,0.337,242.0,74.0,73.0,4.44,1.42,1.0,4Yr,"Georgia Southern University (Statesboro, GA)",1
1991,1s,,31,31,Y,,*Pepper Anthony (minors),RHP,,,,,,,,,,,,,HS,"Tavares HS (Tavares, FL)",1
1990,1,,25,25,Y,"$175,000",*Robbie Beckett (minors),LHP,-0.3,7.0,0.0,0.0,,,7.0,0.0,0.0,11.57,2.43,0.0,HS,"A. N. McCallum HS (Austin, TX)",1
1990,1s,,32,32,Y,,*Scott Sanders (minors),RHP,4.6,186.0,129.0,0.0,0.194,0.464,235.0,34.0,45.0,4.86,1.39,5.0,4Yr,"Nicholls State University (Thibodaux, LA)",1
1988,1,,1,1,Y,"$235,000",Andy Benes (minors),RHP,31.5,385.0,741.0,8.0,0.143,0.39,403.0,155.0,139.0,3.97,1.31,1.0,4Yr,"University of Evansville (Evansville, IN)",1
1987,1,,10,10,Y,"$150,000",Kevin Garner (minors),RHP,,,,,,,,,,,,,4Yr,"University of Texas at Austin (Austin, TX)",1
1986,1,,11,11,Y,"$98,500",Thomas Howard (minors),OF,2.4,1015.0,2483.0,44.0,0.264,0.695,,,,,,,4Yr,"Ball State University (Muncie, IN)",1
1985,1,,23,23,Y,"$80,000",*Joey Cora (minors),SS,7.9,1119.0,3734.0,30.0,0.277,0.717,,,,,,,4Yr,"Vanderbilt University (Nashville, TN)",1
1984,1,,11,11,Y,"$115,000",Shane Mack (minors),OF,21.7,923.0,2857.0,80.0,0.299,0.821,,,,,,,4Yr,"University of California, Los Angeles (Los Angeles, CA)",1
1984,1s,,27,27,Y,,*Gary Green (minors),SS,0.1,106.0,180.0,0.0,0.222,0.53,,,,,,,4Yr,"Oklahoma State University (Stillwater, OK)",1
1983,1,,10,10,Y,"$100,000",Ray Hayward (minors),LHP,-1.9,8.0,5.0,0.0,0.0,0.0,19.0,4.0,8.0,6.75,1.69,0.0,4Yr,"University of Oklahoma (Norman, OK)",1
1982,1,,3,3,Y,"$102,500",Jimmy Jones (minors),RHP,-1.9,131.0,193.0,2.0,0.166,0.44,153.0,43.0,39.0,4.46,1.39,0.0,HS,"Thomas Jefferson HS (Dallas, TX)",1
1981,1,,6,6,Y,"$115,000",Kevin McReynolds (minors),OF,30.1,1502.0,5423.0,211.0,0.265,0.775,,,,,,,4Yr,"University of Arkansas (Fayetteville, AR)",1
1981,1,,26,26,Y,"$50,000",*Frank Castro (minors),C,,,,,,,,,,,,,4Yr,"University of Miami (Coral Gables, FL)",1
1980,1,,5,5,Y,"$103,500",Jeff Pyburn (minors),OF,,,,,,,,,,,,,4Yr,"University of Georgia (Athens, GA)",1
1979,1,,14,14,Y,"$100,000",Joe Lansford (minors),1B,0.3,25.0,30.0,1.0,0.2,0.624,,,,,,,HS,"Wilcox HS (Santa Clara, CA)",1
1979,1,,24,24,Y,"$52,000",*Bob Geren (minors),C,1.1,307.0,765.0,22.0,0.233,0.632,,,,,,,HS,"Clairemont HS (San Diego, CA)",1
1978,1,,5,5,Y,"$62,500",Andy Hawkins (minors),RHP,1.3,200.0,325.0,0.0,0.117,0.263,280.0,84.0,91.0,4.22,1.4,0.0,HS,"Midway HS (Waco, TX)",1
1977,1,,8,8,Y,"$60,000",Brian Greer (minors),OF,-0.1,5.0,4.0,0.0,0.0,0.0,,,,,,,HS,"Sonora HS (La Habra, CA)",1
1976,1,,5,5,Y,"$42,500",Bob Owchinko (minors),LHP,2.0,164.0,163.0,0.0,0.135,0.352,275.0,37.0,60.0,4.28,1.46,7.0,4Yr,"Eastern Michigan University (Ypsilanti, MI)",1
1975,1,,2,2,Y,"$58,000",Mike Lentz (minors),LHP,,,,,,,,,,,,,HS,"Juanita HS (Kirkland, WA)",1
