Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,27,27.0,Y,"$3,100,000",Aidan Miller (minors),SS,,,,,,,,,,,,,HS,"J. W. Mitchell HS (New Port Richey, FL)",1
2022,1,,17,17.0,Y,"$3,894,000",Justin Crawford (minors),OF,,,,,,,,,,,,,HS,"Bishop Gorman HS (Las Vegas, NV)",1
2021,1,,13,13.0,Y,"$3,900,000",Andrew Painter (minors),P,,,,,,,,,,,,,HS,"Calvary Christian HS (Fort Lauderdale, FL)",1
2020,1,,15,15.0,Y,"$4,075,000",Mick Abel (minors),P,,,,,,,,,,,,,HS,"Jesuit HS (Beaverton, OR)",1
2019,1,,14,14.0,Y,"$3,900,000",Bryson Stott (minors),SS,5.4,278.0,1012.0,25.0,0.261,0.708,,,,,,,4Yr,"University of Nevada, Las Vegas (Paradise, NV)",1
2018,1,,3,3.0,Y,,Alec Bohm (minors),3B,0.8,456.0,1684.0,44.0,0.276,0.731,,,,,,,4Yr,"Wichita State University (Wichita, KS)",1
2017,1,,8,8.0,Y,"$5,100,000",Adam Haseley (minors),OF,1.4,158.0,379.0,5.0,0.259,0.675,,,,,,,4Yr,"University of Virginia (Charlottesville, VA)",1
2016,1,,1,1.0,Y,"$6,100,000",Mickey Moniak (minors),OF,0.8,151.0,464.0,18.0,0.239,0.697,,,,,,,HS,"La Costa Canyon HS (Carlsbad, CA)",1
2015,1,,10,10.0,Y,"$3,231,300",Cornelius Randolph (minors),SS,,,,,,,,,,,,,HS,"Griffin HS (Griffin, GA)",1
2014,1,,7,7.0,Y,"$3,300,900",Aaron Nola (minors),RHP,31.7,152.0,271.0,0.0,0.089,0.267,235.0,90.0,71.0,3.72,1.13,0.0,4Yr,"Louisiana State University (Baton Rouge, LA)",1
2013,1,,16,16.0,Y,"$2,299,300",J.P. Crawford (minors),SS,15.7,668.0,2407.0,46.0,0.252,0.72,,,,,,,HS,"Lakewood HS (Lakewood, CA)",1
2012,1s,,40,40.0,Y,"$1,291,300",*Shane Watson (minors),RHP,,,,,,,,,,,,,HS,"Lakewood HS (Lakewood, CA)",1
2012,1s,,54,54.0,Y,"$940,200",*Mitch Gueller (minors),RHP,,,,,,,,,,,,,HS,"W. F. West HS (Chehalis, WA)",1
2011,1s,,39,39.0,Y,"$1,000,000",*Larry Greene (minors),OF,,,,,,,,,,,,,HS,"Berrien County HS (Nashville, GA)",1
2010,1,,27,27.0,Y,"$1,160,000",Jesse Biddle (minors),LHP,-0.6,77.0,2.0,0.0,0.5,1.5,99.0,6.0,2.0,5.07,1.6,1.0,HS,"Germantown Friends HS (Philadelphia, PA)",1
2008,1,,24,24.0,Y,"$1,380,000",Anthony Hewitt (minors),SS,,,,,,,,,,,,,HS,"Salisbury School (Salisbury, CT)",1
2008,1s,,34,34.0,Y,"$1,020,000",*Zach Collier (minors),OF,,,,,,,,,,,,,HS,"Chino Hills HS (Chino Hills, CA)",1
2007,1,,19,19.0,Y,"$1,372,500",Joe Savery (minors),LHP,-0.1,37.0,2.0,0.0,0.0,0.0,44.0,3.0,2.0,3.83,1.26,0.0,4Yr,"Rice University (Houston, TX)",1
2007,1s,,37,37.0,Y,"$832,500",*Travis d'Arnaud (minors),C,7.4,785.0,2725.0,108.0,0.25,0.735,,,,,,,HS,"Lakewood HS (Lakewood, CA)",1
2006,1,,18,18.0,Y,"$1,550,000",*Kyle Drabek (minors),RHP,-0.1,3.0,2.0,0.0,0.0,0.0,43.0,8.0,15.0,5.26,1.7,0.0,HS,"The Woodlands HS (The Woodlands, TX)",1
2006,1s,,37,37.0,Y,"$925,000",*Adrian Cardenas (minors),SS,-0.3,45.0,60.0,0.0,0.183,0.552,,,,,,,HS,"Monsignor Edward Pace HS (Miami Gardens, FL)",1
2004,1,,21,21.0,Y,"$1,475,000",Greg Golson (minors),OF,-0.6,40.0,41.0,0.0,0.195,0.458,,,,,,,HS,"John B. Connally HS (Austin, TX)",1
2002,1,,17,17.0,Y,"$2,000,000",Cole Hamels (minors),LHP,59.0,331.0,688.0,2.0,0.169,0.401,423.0,163.0,122.0,3.43,1.18,0.0,HS,"Rancho Bernardo HS (San Diego, CA)",1
2001,1,,4,4.0,Y,"$4,200,000",Gavin Floyd (minors),RHP,15.7,44.0,75.0,0.0,0.067,0.158,243.0,74.0,76.0,4.37,1.32,0.0,HS,"Mount St. Joseph HS (Baltimore, MD)",1
