Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,1,1.0,Y,"$9,200,000",Paul Skenes (minors),P,,,,,,,,,,,,,4Yr,"Louisiana State University (Baton Rouge, LA)",1
2022,1,,4,4.0,Y,"$7,219,000",Termarr Johnson (minors),SS,,,,,,,,,,,,,HS,"Mays HS (Atlanta, GA)",1
2022,1,,36,36.0,Y,"$2,047,500",Tom Harrington (minors),P,,,,,,,,,,,,,4Yr,"Campbell University (Buies Creek, NC)",1
2021,1,,1,1.0,Y,"$6,500,000",Henry Davis (minors),C,-1.4,62.0,225.0,7.0,0.213,0.653,,,,,,,4Yr,"University of Louisville (Louisville, KY)",1
2020,1,,7,7.0,Y,"$5,432,400",Nick Gonzales (minors),SS,-0.2,35.0,115.0,2.0,0.209,0.616,,,,,,,4Yr,"New Mexico State University (Las Cruces, NM)",1
2020,1,,31,31.0,Y,"$2,050,000",Carmen Mlodzinski (minors),P,0.8,0.0,0.0,,,,35.0,3.0,3.0,2.25,1.28,1.0,4Yr,"University of South Carolina (Columbia, SC)",1
2019,1,,18,18.0,Y,"$3,400,000",Quinn Priester (minors),P,-0.9,0.0,0.0,,,,10.0,3.0,3.0,7.74,1.7,0.0,HS,"Cary-Grove HS (Cary, IL)",1
2019,1,,37,37.0,Y,"$2,150,000",Sammy Siani (minors),CF,,,,,,,,,,,,,HS,"William Penn Charter School (Philadelphia, PA)",1
2018,1,,10,10.0,Y,"$4,400,000",Travis Swaggerty (minors),OF,-0.2,5.0,9.0,0.0,0.111,0.222,,,,,,,4Yr,"University of South Alabama (Mobile, AL)",1
2018,1,,36,36.0,N,,Gunnar Hoglund (minors),RHP,,,,,,,,,,,,,HS,"Fivay HS (Hudson, FL)",1
2017,1,,12,12.0,Y,"$4,100,000",Shane Baz (minors),RHP,0.5,0.0,0.0,0.0,,,9.0,3.0,2.0,4.02,1.12,0.0,HS,"Concordia Lutheran HS (Tomball, TX)",1
2016,1,,22,22.0,Y,"$2,253,700",Will Craig (minors),3B,-0.7,20.0,64.0,1.0,0.203,0.542,,,,,,,4Yr,"Wake Forest University (Winston-Salem, NC)",1
2016,1,,41,41.0,N,,Nick Lodolo (minors),LHP,2.7,0.0,0.0,0.0,,,26.0,6.0,8.0,4.31,1.37,0.0,HS,"Damien HS (La Verne, CA)",1
2015,1,,19,19.0,Y,"$2,175,000",Kevin Newman (minors),SS,2.6,505.0,1770.0,23.0,0.259,0.662,,,,,,,4Yr,"University of Arizona (Tucson, AZ)",1
2015,1,,32,32.0,Y,"$1,855,000",Ke'Bryan Hayes (minors),3B,12.5,380.0,1446.0,33.0,0.264,0.729,,,,,,,HS,"Concordia Lutheran HS (Tomball, TX)",1
2014,1,,24,24.0,Y,"$1,800,000",Cole Tucker (minors),SS,-2.1,159.0,444.0,5.0,0.216,0.584,,,,,,,HS,"Mountain Pointe HS (Phoenix, AZ)",1
