Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,4,4.0,Y,"$8,000,000",Wyatt Langford (minors),OF,,,,,,,,,,,,,4Yr,"University of Florida (Gainesville, FL)",1
2022,1,,3,3.0,Y,"$5,200,000",Kumar Rocker (minors),P,,,,,,,,,,,,,,,1
2021,1,,2,2.0,Y,"$7,922,000",Jack Leiter (minors),P,,,,,,,,,,,,,4Yr,"Vanderbilt University (Nashville, TN)",1
2020,1,,14,14.0,Y,"$3,250,000",Justin Foscue (minors),2B,,,,,,,,,,,,,4Yr,"Mississippi State University (Mississippi State, MS)",1
2019,1,,8,8.0,Y,"$4,400,000",Josh Jung (minors),3B,2.4,148.0,576.0,28.0,0.255,0.76,,,,,,,4Yr,"Texas Tech University (Lubbock, TX)",1
2019,1,,41,41.0,Y,"$1,600,000",Davis Wendzel (minors),3B,,,,,,,,,,,,,4Yr,"Baylor University (Waco, TX)",1
2018,1,,15,15.0,Y,"$3,150,000",Cole Winn (minors),RHP,,,,,,,,,,,,,HS,"Orange Lutheran HS (Orange, CA)",1
2017,1,,26,26.0,Y,"$2,100,000",Bubba Thompson (minors),OF,-0.3,92.0,223.0,1.0,0.242,0.591,,,,,,,HS,"McGill-Toolen Catholic HS (Mobile, AL)",1
2017,1,,29,29.0,Y,"$2,000,000",Chris Seise (minors),SS,,,,,,,,,,,,,HS,"West Orange HS (Winter Garden, FL)",1
2016,1,,30,30.0,Y,"$2,003,400",Cole Ragans (minors),LHP,2.2,1.0,0.0,0.0,,,38.0,7.0,8.0,3.9,1.25,0.0,HS,"North Florida Christian HS (Tallahassee, FL)",1
2015,1,,4,4.0,Y,"$4,200,000",Dillon Tate (minors),RHP,2.4,7.0,0.0,0.0,,,157.0,5.0,13.0,3.97,1.11,8.0,4Yr,"University of California, Santa Barbara (Santa Barbara, CA)",1
2014,1,,30,30.0,Y,"$1,750,000",Luis Ortiz (minors),RHP,0.1,0.0,0.0,0.0,,,23.0,0.0,2.0,4.32,1.65,1.0,HS,"Sanger HS (Sanger, CA)",1
2013,1,,23,23.0,Y,"$2,215,000",Chi Chi Gonz�lez (minors),RHP,-0.3,37.0,55.0,0.0,0.109,0.252,71.0,9.0,24.0,5.68,1.5,0.0,4Yr,"Oral Roberts University (Tulsa, OK)",1
2013,1,,30,30.0,Y,"$1,900,000",*Travis Demeritte (minors),SS,-1.7,92.0,287.0,6.0,0.216,0.605,1.0,0.0,0.0,36.0,4.0,0.0,HS,"Winder-Barrow HS (Winder, GA)",1
2012,1,,29,29.0,Y,"$1,625,000",Lewis Brinson (minors),OF,-3.6,357.0,1071.0,28.0,0.198,0.574,,,,,,,HS,"Coral Springs HS (Coral Springs, FL)",1
2012,1s,,39,39.0,Y,"$2,250,000",*Joey Gallo (minors),3B,15.1,863.0,2646.0,198.0,0.197,0.789,,,,,,,HS,"Bishop Gorman HS (Las Vegas, NV)",1
2012,1s,,53,53.0,Y,"$975,000",*Collin Wiles (minors),RHP,0.0,0.0,0.0,0.0,,,4.0,0.0,0.0,4.66,1.34,0.0,HS,"Blue Valley West HS (Stilwell, KS)",1
2011,1,,33,33.0,Y,"$936,000",*Kevin Matthews (minors),LHP,,,,,,,,,,,,,HS,"Richmond Hill HS (Richmond Hill, GA)",1
2011,1s,,37,37.0,Y,"$873,000",*Zach Cone (minors),OF,,,,,,,,,,,,,4Yr,"University of Georgia (Athens, GA)",1
2010,1s,,15,15.0,Y,"$1,557,000",*Jake Skole (minors),CF,,,,,,,,,,,,,HS,"Blessed Trinity Catholic HS (Roswell, GA)",1
