Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,19,19,Y,"$3,877,600",Brayden Taylor (minors),SS,,,,,,,,,,,,,4Yr,"Texas Christian University (Fort Worth, TX)",1
2023,1,,31,33,Y,"$2,002,950",Adrian Santana (minors),SS,,,,,,,,,,,,,HS,"Doral Academy Preparatory School (Doral, FL)",1
2022,1,,29,29,Y,"$2,548,900",Xavier Isaac (minors),1B,,,,,,,,,,,,,HS,"East Forsyth HS (Kernersville, NC)",1
2021,1,,28,28,Y,"$2,347,500",Carson Williams (minors),SS,,,,,,,,,,,,,HS,"Torrey Pines HS (San Diego, CA)",1
2021,1,,34,34,Y,"$2,145,600",Cooper Kinney (minors),2B,,,,,,,,,,,,,HS,"Baylor School (Chattanooga, TN)",1
2020,1,,24,24,Y,"$3,000,000",Nick Bitsko (minors),P,,,,,,,,,,,,,HS,"Central Bucks HS East (Doylestown, PA)",1
2020,1,,37,37,Y,"$1,850,000",Alika Williams (minors),SS,-0.2,46.0,101.0,0.0,0.198,0.518,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",1
2019,1,,22,22,Y,"$3,024,500",Greg Jones (minors),SS,,,,,,,,,,,,,4Yr,"University of North Carolina at Wilmington (Wilmington, NC)",1
2019,1,,36,36,Y,"$2,042,900",JJ Goss (minors),P,,,,,,,,,,,,,HS,"Cypress Ranch HS (Cypress, TX)",1
2019,1,,40,40,Y,"$1,722,500",Seth Johnson (minors),P,,,,,,,,,,,,,4Yr,"Campbell University (Buies Creek, NC)",1
2018,1,,16,16,Y,"$3,497,500",Matthew Liberatore (minors),LHP,-0.8,1.0,0.0,0.0,,,31.0,5.0,8.0,5.51,1.57,0.0,HS,"Mountain Ridge HS (Glendale, AZ)",1
2018,1,,31,31,Y,"$2,230,100",Shane McClanahan (minors),LHP,8.6,0.0,0.0,0.0,,,74.0,33.0,16.0,3.02,1.1,0.0,4Yr,"University of South Florida (Tampa, FL)",1
2018,1,,32,32,Y,"$2,297,500",Nick Schnell (minors),CF,,,,,,,,,,,,,HS,"Roncalli HS (Indianapolis, IN)",1
2017,1,,4,4,Y,"$7,005,000",Brendan McKay (minors),1B,-0.1,7.0,10.0,1.0,0.2,0.773,13.0,2.0,4.0,5.14,1.41,0.0,4Yr,"University of Louisville (Louisville, KY)",1
2017,1,,31,31,N,,Drew Rasmussen (minors),RHP,5.9,18.0,4.0,0.0,0.25,0.5,83.0,20.0,10.0,2.97,1.09,1.0,4Yr,"Oregon State University (Corvallis, OR)",1
2016,1,,13,13,Y,"$2,597,500",Josh Lowe (minors),3B,4.1,189.0,648.0,22.0,0.273,0.78,,,,,,,HS,"Pope HS (Marietta, GA)",1
2015,1,,13,13,Y,"$2,959,600",Garrett Whitley (minors),OF,,,,,,,,,,,,,HS,"Niskayuna HS (Niskayuna, NY)",1
2014,1,,20,20,Y,"$2,035,500",Casey Gillaspie (minors),1B,,,,,,,,,,,,,4Yr,"Wichita State University (Wichita, KS)",1
2013,1,,21,21,Y,"$1,972,200",Nick Ciuffo (minors),C,-0.2,21.0,48.0,1.0,0.188,0.551,,,,,,,HS,"Lexington HS (Lexington, SC)",1
2013,1,,29,29,Y,"$1,755,800",*Ryne Stanek (minors),RHP,4.3,37.0,0.0,0.0,,,338.0,10.0,14.0,3.45,1.27,4.0,4Yr,"University of Arkansas (Fayetteville, AR)",1
2012,1,,25,25,Y,"$1,710,000",Richie Shaffer (minors),3B,0.0,51.0,122.0,5.0,0.213,0.72,,,,,,,4Yr,"Clemson University (Clemson, SC)",1
2011,1,,24,24,Y,"$1,600,000",*Taylor Guerrieri (minors),RHP,0.2,2.0,0.0,0.0,,,29.0,0.0,0.0,5.5,1.69,0.0,HS,"Spring Valley HS (Columbia, SC)",1
2011,1,,31,31,Y,"$1,150,000",*Mikie Mahtook (minors),OF,0.3,291.0,884.0,33.0,0.235,0.697,,,,,,,4Yr,"Louisiana State University (Baton Rouge, LA)",1
2011,1,,32,32,Y,"$963,000",Jake Hager (minors),SS,-0.2,42.0,76.0,0.0,0.197,0.531,3.0,0.0,0.0,7.71,1.29,0.0,HS,"Sierra Vista HS (Las Vegas, NV)",1
2011,1s,,38,38,Y,"$860,000",*Brandon Martin (minors),SS,,,,,,,,,,,,,HS,"Santiago HS (Corona, CA)",1
2011,1s,,41,41,Y,"$1,500,000",*Tyler Goeddel (minors),3B,-1.2,92.0,213.0,4.0,0.193,0.549,,,,,,,HS,"St. Francis HS (Mountain View, CA)",1
2011,1s,,42,42,Y,"$650,000",*Jeff Ames (minors),RHP,,,,,,,,,,,,,JC,"Lower Columbia College (Longview, WA)",1
2011,1s,,52,52,Y,"$684,000",*Blake Snell (minors),LHP,21.1,31.0,42.0,0.0,0.095,0.269,191.0,71.0,55.0,3.2,1.24,0.0,HS,"Shorewood HS (Shoreline, WA)",1
2011,1s,,56,56,Y,"$625,000",*Kes Carter (minors),OF,,,,,,,,,,,,,4Yr,"Western Kentucky University (Bowling Green, KY)",1
2011,1s,,59,59,Y,"$370,000",*Grayson Garvin (minors),LHP,,,,,,,,,,,,,4Yr,"Vanderbilt University (Nashville, TN)",1
2011,1s,,60,60,Y,"$490,000",*James Harris (minors),OF,,,,,,,,,,,,,HS,"Oakland Technical HS (Oakland, CA)",1
2010,1,,17,17,Y,"$1,620,000",Josh Sale (minors),RF,,,,,,,,,,,,,HS,"Bishop Blanchet HS (Seattle, WA)",1
2010,1s,,31,31,Y,"$1,025,000",*Justin O'Conner (minors),C,,,,,,,,,,,,,HS,"Cowan HS (Muncie, IN)",1
2010,1s,,42,42,Y,"$845,000",*Drew Vettleson (minors),RF,,,,,,,,,,,,,HS,"Central Kitsap HS (Silverdale, WA)",1
2009,1,,30,30,N,,LeVon Washington (minors),2B,,,,,,,,,,,,,HS,"F. W. Buchholz HS (Gainesville, FL)",1
2008,1,,1,1,Y,"$6,150,000",Tim Beckham (minors),SS,3.2,484.0,1639.0,63.0,0.247,0.724,,,,,,,HS,"Griffin HS (Griffin, GA)",1
2007,1,,1,1,Y,"$5,600,000",David Price (minors),LHP,40.3,59.0,65.0,0.0,0.123,0.298,400.0,157.0,82.0,3.32,1.16,3.0,4Yr,"Vanderbilt University (Nashville, TN)",1
2006,1,,3,3,Y,"$3,000,000",Evan Longoria (minors),3B,58.6,1986.0,7306.0,342.0,0.264,0.804,,,,,,,4Yr,"California State University, Long Beach (Long Beach, CA)",1
2005,1,,8,8,Y,"$1,500,000",Wade Townsend (minors),RHP,,,,,,,,,,,,,4Yr,"Rice University (Houston, TX)",1
2004,1,,4,4,Y,"$3,200,000",Jeff Niemann (minors),RHP,4.3,9.0,13.0,0.0,0.077,0.154,97.0,40.0,26.0,4.08,1.29,0.0,4Yr,"Rice University (Houston, TX)",1
2003,1,,1,1,Y,"$3,700,000",Delmon Young (minors),OF,3.2,1118.0,4108.0,109.0,0.283,0.737,,,,,,,HS,"Adolfo Camarillo HS (Camarillo, CA)",1
2002,1,,2,2,Y,"$4,600,000",B.J. Upton (minors),SS,16.8,1469.0,5175.0,164.0,0.244,0.723,,,,,,,HS,"Greenbrier Christian Academy (Chesapeake, VA)",1
2001,1,,3,3,Y,"$4,200,000",Dewon Brazelton (minors),RHP,-3.1,11.0,6.0,0.0,0.167,0.5,63.0,8.0,25.0,6.38,1.68,0.0,4Yr,"Middle Tennessee State University (Murfreesboro, TN)",1
2000,1,,6,6,Y,"$2,250,000",Rocco Baldelli (minors),OF,10.2,519.0,1910.0,60.0,0.278,0.766,,,,,,,HS,"Bishop Hendricken HS (Warwick, RI)",1
1999,1,,1,1,Y,"$3,960,000",Josh Hamilton (minors),OF,28.2,1027.0,3909.0,200.0,0.29,0.865,,,,,,,HS,"Athens Drive HS (Raleigh, NC)",1
1997,1,,31,31,Y,"$700,000",Jason Standridge (minors),RHP,-0.7,55.0,0.0,0.0,,,80.0,3.0,9.0,5.8,1.77,0.0,HS,"Hewitt-Trussville HS (Trussville, AL)",1
1996,1,,29,29,Y,"$650,000",Paul Wilder (minors),OF,,,,,,,,,,,,,HS,"Cary HS (Cary, NC)",1
2023,2,,55,16,Y,"$1,297,500",Colton Ledbetter (minors),OF,,,,,,,,,,,,,4Yr,"Mississippi State University (Mississippi State, MS)",2
2022,2,,65,26,Y,"$1,077,600",Brock Jones (minors),OF,,,,,,,,,,,,,4Yr,"Stanford University (Palo Alto, CA)",2
2022,2,,70,31,Y,"$747,500",Chandler Simpson (minors),SS,,,,,,,,,,,,,4Yr,"Georgia Institute of Technology (Atlanta, GA)",2
2022,2,,71,32,Y,"$747,500",Ryan Cermak (minors),SS,,,,,,,,,,,,,4Yr,"Illinois State University (Normal, IL)",2
2021,2,,63,27,Y,"$747,500",Kyle Manzardo (minors),1B,,,,,,,,,,,,,4Yr,"Washington State University (Pullman, WA)",2
2020,2,,57,20,Y,"$1,243,600",Ian Seymour (minors),P,,,,,,,,,,,,,4Yr,"Virginia Polytechnic Institute and State University (Blacksburg, VA)",2
2019,2,,61,20,Y,"$1,127,200",John Doxakis (minors),P,,,,,,,,,,,,,4Yr,"Texas A&M University (College Station, TX)",2
2018,2,,56,13,Y,"$997,500",Tyler Frank (minors),SS,,,,,,,,,,,,,4Yr,"Florida Atlantic University (Boca Raton, FL)",2
2018,2,,71,28,Y,"$772,500",Tanner Dodson (minors),RHP,,,,,,,,,,,,,4Yr,"University of California, Berkeley (Berkeley, CA)",2
2017,2,,40,4,Y,"$2,132,400",Michael Mercado (minors),RHP,,,,,,,,,,,,,HS,"Westview HS (San Diego, CA)",2
2016,2,,53,12,Y,"$997,500",Ryan Boldt (minors),OF,,,,,,,,,,,,,4Yr,"University of Nebraska-Lincoln (Lincoln, NE)",2
2016,2,,77,36,Y,"$797,500",Jake Fraley (minors),OF,2.4,276.0,832.0,36.0,0.237,0.748,,,,,,,4Yr,"Louisiana State University (Baton Rouge, LA)",2
2015,2,,52,10,Y,"$1,482,500",Chris Betts (minors),C,,,,,,,,,,,,,HS,"Woodrow Wilson HS (Long Beach, CA)",2
2014,2,,60,19,Y,"$1,097,500",Cameron Varga (minors),RHP,,,,,,,,,,,,,HS,"Cincinnati Hills Christian Academy (Cincinnati, OH)",2
2014,2,,72,31,Y,"$800,000",Brent Honeywell Jr. (minors),RHP,-0.2,0.0,0.0,0.0,,,43.0,2.0,4.0,5.08,1.48,0.0,JC,"Walters State Community College (Morristown, TN)",2
2013,2,,60,21,Y,"$997,500",Riley Unroe (minors),SS,,,,,,,,,,,,,HS,"Desert Ridge HS (Mesa, AZ)",2
2012,2,,88,28,Y,"$554,400",Spencer Edwards (minors),SS,,,,,,,,,,,,,HS,"Rockwall HS (Rockwall, TX)",2
2011,2,,75,15,Y,"$490,000",*Granden Goetzman (minors),CF,,,,,,,,,,,,,HS,"Palmetto HS (Palmetto, FL)",2
2011,2,,89,29,Y,"$392,400",Lenny Linsky (minors),RHP,,,,,,,,,,,,,4Yr,"University of Hawaii at Manoa (Honolulu, HI)",2
2010,2,,66,16,Y,"$555,000",Jake Thompson (minors),RHP,,,,,,,,,,,,,4Yr,"California State University, Long Beach (Long Beach, CA)",2
2010,2s,,79,29,Y,"$457,200",*Derek Dietrich (minors),SS,5.4,746.0,2191.0,84.0,0.245,0.762,,,,,,,4Yr,"Georgia Institute of Technology (Atlanta, GA)",2
2009,2,,78,29,N,,Kenny Diekroeger (minors),SS,,,,,,,,,,,,,HS,"Menlo School (Atherton, CA)",2
2008,2,,47,1,Y,"$1,500,000",Kyle Lobstein (minors),LHP,0.0,16.0,2.0,0.0,0.0,0.0,37.0,6.0,10.0,5.22,1.48,0.0,HS,"Coconino HS (Flagstaff, AZ)",2
2007,2,,65,1,Y,"$513,000",Will Kline (minors),RHP,,,,,,,,,,,,,4Yr,"University of Mississippi (Oxford, MS)",2
2006,2,,47,3,Y,"$725,000",Josh Butler (minors),RHP,-0.1,3.0,0.0,0.0,,,3.0,0.0,0.0,9.0,3.25,0.0,4Yr,"University of San Diego (San Diego, CA)",2
2005,2,,56,8,Y,"$630,000",Chris Mason (minors),RHP,,,,,,,,,,,,,4Yr,"University of North Carolina at Greensboro (Greensboro, NC)",2
2004,2,,45,4,Y,"$795,000",Reid Brignac (minors),SS,-1.2,369.0,886.0,12.0,0.219,0.573,,,,,,,HS,"St. Amant HS (St. Amant, LA)",2
2003,2,,38,1,Y,"$900,000",James Houser (minors),LHP,-0.2,0.0,0.0,0.0,,,1.0,0.0,0.0,20.25,3.0,0.0,HS,"Sarasota HS (Sarasota, FL)",2
