Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,7,7.0,Y,"$5,700,000",Rhett Lowder (minors),P,,,,,,,,,,,,,4Yr,"Wake Forest University (Winston-Salem, NC)",1
2023,1,,38,38.0,Y,"$2,097,500",Ty Floyd (minors),P,,,,,,,,,,,,,4Yr,"Louisiana State University (Baton Rouge, LA)",1
2022,1,,18,18.0,Y,"$5,000,000",Cam Collier (minors),3B,,,,,,,,,,,,,JC,"Chipola College (Marianna, FL)",1
2022,1,,32,32.0,Y,"$2,100,000",Sal Stewart (minors),3B,,,,,,,,,,,,,HS,"Westminster Christian School (Miami, FL)",1
2021,1,,17,17.0,Y,"$4,625,000",Matt McLain (minors),SS,3.7,89.0,365.0,16.0,0.29,0.864,,,,,,,4Yr,"University of California, Los Angeles (Los Angeles, CA)",1
2021,1,,30,30.0,Y,"$2,397,500",Jay Allen (minors),OF,,,,,,,,,,,,,HS,"John Carroll Catholic HS (Fort Pierce, FL)",1
2021,1,,35,35.0,Y,"$2,093,300",Mat Nelson (minors),C,,,,,,,,,,,,,4Yr,"Florida State University (Tallahassee, FL)",1
2020,1,,12,12.0,Y,"$4,000,000",Austin Hendrick (minors),OF,,,,,,,,,,,,,HS,"West Allegheny HS (Imperial, PA)",1
2019,1,,7,7.0,Y,"$5,432,400",Nick Lodolo (minors),P,2.7,0.0,0.0,0.0,,,26.0,6.0,8.0,4.31,1.37,0.0,4Yr,"Texas Christian University (Fort Worth, TX)",1
2018,1,,5,5.0,Y,"$5,297,500",Jonathan India (minors),3B,5.2,372.0,1372.0,48.0,0.255,0.769,,,,,,,4Yr,"University of Florida (Gainesville, FL)",1
2017,1,,2,2.0,Y,"$7,230,000",Hunter Greene (minors),RHP,3.1,0.0,0.0,0.0,,,46.0,9.0,20.0,4.62,1.31,0.0,HS,"Notre Dame HS (Sherman Oaks, CA)",1
2017,1,,32,32.0,Y,"$1,822,500",Jeter Downs (minors),SS,-0.6,20.0,44.0,1.0,0.182,0.533,,,,,,,HS,"Monsignor Edward Pace HS (Miami Gardens, FL)",1
2016,1,,2,2.0,Y,"$6,200,000",Nick Senzel (minors),3B,-1.8,377.0,1230.0,33.0,0.239,0.671,,,,,,,4Yr,"University of Tennessee (Knoxville, TN)",1
2016,1,,35,35.0,Y,"$3,200,000",Taylor Trammell (minors),OF,-0.4,116.0,304.0,15.0,0.168,0.639,,,,,,,HS,"Mount Paran Christian School (Kennesaw, GA)",1
2015,1,,11,11.0,Y,"$3,141,600",Tyler Stephenson (minors),C,4.5,332.0,998.0,31.0,0.272,0.764,,,,,,,HS,"Kennesaw Mountain HS (Kennesaw, GA)",1
2014,1,,19,19.0,Y,"$1,990,500",Nick Howard (minors),RHP,,,,,,,,,,,,,4Yr,"University of Virginia (Charlottesville, VA)",1
2014,1,,29,29.0,Y,"$1,788,000",Alex Blandino (minors),SS,-0.2,135.0,234.0,2.0,0.227,0.63,5.0,0.0,0.0,7.71,1.93,0.0,4Yr,"Stanford University (Palo Alto, CA)",1
2013,1,,27,27.0,Y,"$1,812,400",Phil Ervin (minors),CF,0.4,237.0,586.0,17.0,0.247,0.728,1.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Samford University (Homewood, AL)",1
2013,1,,38,38.0,Y,"$1,500,000",Michael Lorenzen (minors),RHP,9.4,321.0,133.0,7.0,0.233,0.71,342.0,40.0,38.0,4.11,1.32,15.0,4Yr,"California State University, Fullerton (Fullerton, CA)",1
2012,1,,14,14.0,Y,"$2,000,000",Nick Travieso (minors),RHP,,,,,,,,,,,,,HS,"Archbishop McCarthy HS (Southwest Ranches, FL)",1
2012,1s,,49,49.0,Y,"$1,000,000",*Jesse Winker (minors),RF,4.5,610.0,1934.0,81.0,0.264,0.813,,,,,,,HS,"Olympia HS (Orlando, FL)",1
2012,1s,,57,57.0,Y,"$825,000",*Jeff Gelalich (minors),OF,,,,,,,,,,,,,4Yr,"University of California, Los Angeles (Los Angeles, CA)",1
