Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,14,14.0,Y,"$4,000,000",Kyle Teel (minors),C,,,,,,,,,,,,,4Yr,"University of Virginia (Charlottesville, VA)",1
2022,1,,24,24.0,Y,"$2,300,000",Mikey Romero (minors),SS,,,,,,,,,,,,,HS,"Orange Lutheran HS (Orange, CA)",1
2021,1,,4,4.0,Y,"$6,664,000",Marcelo Mayer (minors),SS,,,,,,,,,,,,,HS,"Eastlake HS (Chula Vista, CA)",1
2020,1,,17,17.0,Y,"$2,700,000",Nick Yorke (minors),2B,,,,,,,,,,,,,HS,"Archbishop Mitty HS (San Jose, CA)",1
2018,1,,26,26.0,Y,"$2,552,800",Triston Casas (minors),3B,2.3,159.0,505.0,29.0,0.254,0.842,,,,,,,HS,"American Heritage HS (Plantation, FL)",1
2017,1,,24,24.0,Y,"$2,614,500",Tanner Houck (minors),RHP,5.8,1.0,1.0,0.0,0.0,0.0,74.0,15.0,19.0,3.86,1.23,9.0,4Yr,"University of Missouri (Columbia, MO)",1
2016,1,,12,12.0,Y,"$3,650,000",Jay Groome (minors),LHP,,,,,,,,,,,,,HS,"Barnegat HS (Barnegat, NJ)",1
2015,1,,7,7.0,Y,"$3,590,400",Andrew Benintendi (minors),OF,16.1,896.0,3353.0,78.0,0.276,0.765,,,,,,,4Yr,"University of Arkansas (Fayetteville, AR)",1
2014,1,,26,26.0,Y,"$1,870,500",Michael Chavis (minors),SS,0.1,357.0,1106.0,42.0,0.238,0.685,,,,,,,HS,"Sprayberry HS (Marietta, GA)",1
2014,1,,33,33.0,Y,"$1,500,000",Michael Kopech (minors),RHP,4.5,4.0,1.0,0.0,0.0,0.0,103.0,15.0,25.0,4.33,1.35,0.0,HS,"Mount Pleasant HS (Mount Pleasant, TX)",1
2013,1,,7,7.0,Y,"$2,750,000",Trey Ball (minors),LHP,,,,,,,,,,,,,HS,"New Castle Chrysler HS (New Castle, IN)",1
2012,1,,24,24.0,Y,"$2,050,000",Deven Marrero (minors),SS,-0.3,178.0,341.0,6.0,0.191,0.525,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",1
2012,1s,,31,31.0,Y,"$1,575,000",*Brian Johnson (minors),LHP,0.9,6.0,7.0,0.0,0.143,0.286,65.0,7.0,9.0,4.74,1.55,0.0,4Yr,"University of Florida (Gainesville, FL)",1
2012,1s,,37,37.0,Y,"$1,000,000",*Pat Light (minors),RHP,-0.7,2.0,0.0,0.0,,,17.0,0.0,1.0,11.34,2.28,0.0,4Yr,"Monmouth University (West Long Branch, NJ)",1
2011,1,,19,19.0,Y,"$1,500,000",*Matt Barnes (minors),RHP,4.3,25.0,1.0,0.0,0.0,0.0,453.0,33.0,30.0,4.13,1.36,47.0,4Yr,"University of Connecticut (Storrs, CT)",1
