Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,9,9,Y,"$5,716,900",Chase Dollander (minors),P,,,,,,,,,,,,,4Yr,"University of Tennessee (Knoxville, TN)",1
2022,1,,10,10,Y,"$4,000,000",Gabriel Hughes (minors),P,,,,,,,,,,,,,4Yr,"Gonzaga University (Spokane, WA)",1
2022,1,,31,31,Y,"$2,430,500",Sterlin Thompson (minors),OF,,,,,,,,,,,,,4Yr,"University of Florida (Gainesville, FL)",1
2022,1,,38,38,Y,"$2,200,000",Jordan Beck (minors),OF,,,,,,,,,,,,,4Yr,"University of Tennessee (Knoxville, TN)",1
2021,1,,8,8,Y,"$5,000,000",Benny Montgomery (minors),OF,,,,,,,,,,,,,HS,"Red Land HS (Lewisberry, PA)",1
2020,1,,9,9,Y,"$5,000,000",Zac Veen (minors),OF,,,,,,,,,,,,,HS,"Spruce Creek HS (Port Orange, FL)",1
2020,1,,35,35,Y,"$2,095,800",Drew Romo (minors),C,,,,,,,,,,,,,HS,"The Woodlands HS (The Woodlands, TX)",1
2019,1,,23,23,Y,"$2,725,000",Michael Toglia (minors),1B,-1.6,76.0,252.0,6.0,0.187,0.572,,,,,,,4Yr,"University of California, Los Angeles (Los Angeles, CA)",1
2018,1,,22,22,Y,"$2,912,300",Ryan Rolison (minors),LHP,,,,,,,,,,,,,4Yr,"University of Mississippi (Oxford, MS)",1
2018,1,,42,42,Y,"$2,000,000",Grant Lavigne (minors),1B,,,,,,,,,,,,,HS,"Bedford HS (Bedford, NH)",1
2016,1,,4,4,Y,"$4,800,000",Riley Pint (minors),RHP,0.0,0.0,0.0,,,,1.0,0.0,0.0,27.0,12.0,0.0,HS,"St. Thomas Aquinas HS (Overland Park, KS)",1
2016,1,,38,38,Y,"$1,701,600",Robert Tyler (minors),RHP,,,,,,,,,,,,,4Yr,"University of Georgia (Athens, GA)",1
