Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,8,8,Y,"$4,897,500",Blake Mitchell (minors),C,,,,,,,,,,,,,HS,"Sinton HS (Sinton, TX)",1
2022,1,,9,9,Y,"$5,200,400",Gavin Cross (minors),OF,,,,,,,,,,,,,4Yr,"Virginia Polytechnic Institute and State University (Blacksburg, VA)",1
2021,1,,7,7,Y,"$3,547,500",Frank Mozzicato (minors),P,,,,,,,,,,,,,HS,"East Catholic HS (Manchester, CT)",1
2020,1,,4,4,Y,"$6,670,000",Asa Lacy (minors),P,,,,,,,,,,,,,4Yr,"Texas A&M University (College Station, TX)",1
2020,1,,32,32,Y,"$3,000,000",Nick Loftin (minors),SS,0.6,19.0,62.0,0.0,0.323,0.803,,,,,,,4Yr,"Baylor University (Waco, TX)",1
2019,1,,2,2,Y,"$7,787,400",Bobby Witt Jr. (minors),SS,5.3,308.0,1232.0,50.0,0.265,0.77,,,,,,,HS,"Colleyville Heritage HS (Colleyville, TX)",1
2018,1,,18,18,Y,"$4,247,500",Brady Singer (minors),RHP,5.8,0.0,0.0,0.0,,,95.0,27.0,31.0,4.49,1.34,0.0,4Yr,"University of Florida (Gainesville, FL)",1
2018,1,,33,33,Y,"$2,147,500",Jackson Kowar (minors),RHP,-2.6,0.0,0.0,0.0,,,39.0,2.0,6.0,9.12,2.09,0.0,4Yr,"University of Florida (Gainesville, FL)",1
2018,1,,34,34,Y,"$1,697,500",Daniel Lynch IV (minors),LHP,0.9,1.0,0.0,0.0,,,51.0,11.0,23.0,5.18,1.52,0.0,4Yr,"University of Virginia (Charlottesville, VA)",1
2018,1,,40,40,Y,"$1,597,500",Kris Bubic (minors),LHP,1.7,2.0,5.0,0.0,0.0,0.0,70.0,10.0,28.0,4.85,1.52,0.0,4Yr,"Stanford University (Palo Alto, CA)",1
