Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,3,3.0,Y,"$7,697,500",Max Clark (minors),OF,,,,,,,,,,,,,HS,"Franklin Community HS (Franklin, IN)",1
2023,1,,37,37.0,Y,"$2,847,500",Kevin McGonigle (minors),SS,,,,,,,,,,,,,HS,"Monsignor Bonner HS (Drexel Hill, PA)",1
2022,1,,12,12.0,Y,"$4,590,300",Jace Jung (minors),2B,,,,,,,,,,,,,4Yr,"Texas Tech University (Lubbock, TX)",1
2021,1,,3,3.0,Y,"$6,900,000",Jackson Jobe (minors),P,,,,,,,,,,,,,HS,"Heritage Hall School (Oklahoma City, OK)",1
2021,1,,32,32.0,Y,"$2,500,000",Ty Madden (minors),P,,,,,,,,,,,,,4Yr,"University of Texas at Austin (Austin, TX)",1
2020,1,,1,1.0,Y,"$8,416,300",Spencer Torkelson (minors),3B,-0.4,269.0,966.0,39.0,0.222,0.701,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",1
2019,1,,5,5.0,Y,"$6,180,700",Riley Greene (minors),OF,3.3,192.0,754.0,16.0,0.271,0.739,,,,,,,HS,"Paul J. Hagerty HS (Oviedo, FL)",1
2018,1,,1,1.0,Y,"$7,500,000",Casey Mize (minors),RHP,2.8,2.0,2.0,0.0,0.0,0.333,39.0,7.0,13.0,4.29,1.21,0.0,4Yr,"Auburn University (Auburn, AL)",1
2017,1,,18,18.0,Y,"$3,500,000",Alex Faedo (minors),RHP,0.1,0.0,0.0,0.0,,,27.0,3.0,10.0,4.94,1.32,0.0,4Yr,"University of Florida (Gainesville, FL)",1
2016,1,,9,9.0,Y,"$3,963,045",Matt Manning (minors),RHP,1.6,1.0,1.0,0.0,0.0,0.0,45.0,11.0,14.0,4.37,1.25,0.0,HS,"Sheldon HS (Sacramento, CA)",1
2015,1,,22,22.0,Y,"$2,154,200",Beau Burrows (minors),RHP,-0.7,2.0,0.0,0.0,,,11.0,0.0,1.0,10.7,1.98,0.0,HS,"Weatherford HS (Weatherford, TX)",1
2015,1,,34,34.0,Y,"$1,795,100",Christin Stewart (minors),OF,-1.2,157.0,519.0,15.0,0.225,0.676,,,,,,,4Yr,"University of Tennessee (Knoxville, TN)",1
2014,1,,23,23.0,Y,"$2,000,000",Derek Hill (minors),OF,-0.3,108.0,280.0,4.0,0.229,0.593,,,,,,,HS,"Elk Grove HS (Elk Grove, CA)",1
2013,1,,20,20.0,Y,"$2,001,700",Jonathon Crawford (minors),RHP,,,,,,,,,,,,,4Yr,"University of Florida (Gainesville, FL)",1
2013,1,,39,39.0,Y,"$1,433,400",Corey Knebel (minors),RHP,5.6,231.0,2.0,0.0,0.0,0.0,312.0,13.0,16.0,3.26,1.24,72.0,4Yr,"University of Texas at Austin (Austin, TX)",1
2010,1s,,44,44.0,Y,"$3,450,000",*Nick Castellanos (minors),3B,14.0,1379.0,5259.0,210.0,0.276,0.799,,,,,,,HS,"Archbishop McCarthy HS (Southwest Ranches, FL)",1
2010,1s,,48,48.0,Y,"$1,150,000",*Chance Ruffin (minors),RHP,-0.5,2.0,0.0,0.0,,,24.0,1.0,2.0,5.6,1.68,0.0,4Yr,"University of Texas at Austin (Austin, TX)",1
2009,1,,9,9.0,Y,"$4,700,000",Jacob Turner (minors),RHP,-2.6,73.0,77.0,0.0,0.091,0.257,102.0,14.0,31.0,5.37,1.54,0.0,HS,"Westminster Christian Academy (Town and Country, MO)",1
2008,1,,21,21.0,Y,"$1,480,000",Ryan Perry (minors),RHP,0.2,11.0,0.0,0.0,,,156.0,6.0,6.0,4.36,1.45,2.0,4Yr,"University of Arizona (Tucson, AZ)",1
2007,1,,27,27.0,Y,"$3,580,000",Rick Porcello (minors),RHP,18.8,24.0,45.0,0.0,0.178,0.4,355.0,150.0,125.0,4.4,1.32,0.0,HS,"Seton Hall Preparatory School (West Orange, NJ)",1
2007,1s,,60,60.0,Y,"$540,000",*Brandon Hamilton (minors),RHP,,,,,,,,,,,,,HS,"Stanhope Elmore HS (Millbrook, AL)",1
2006,1,,6,6.0,Y,"$3,550,000",Andrew Miller (minors),LHP,7.8,185.0,74.0,0.0,0.054,0.108,612.0,55.0,55.0,4.03,1.34,63.0,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)",1
2005,1,,10,10.0,Y,"$2,650,000",Cameron Maybin (minors),OF,13.5,1162.0,3824.0,72.0,0.254,0.697,,,,,,,HS,"T. C. Roberson HS (Asheville, NC)",1
