Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,5,5.0,Y,"$7,144,200",Walker Jenkins (minors),OF,,,,,,,,,,,,,HS,"South Brunswick HS (Southport, NC)",1
2023,1,,34,35.0,Y,"$2,481,400",Charlee Soto (minors),P,,,,,,,,,,,,,HS,"Reborn Christian Academy (Kissimmee, FL)",1
2022,1,,8,8.0,Y,"$5,675,000",Brooks Lee (minors),SS,,,,,,,,,,,,,4Yr,"California Polytechnic State University, San Luis Obispo (San Luis Obispo, CA)",1
2021,1,,26,26.0,Y,"$2,500,000",Chase Petty (minors),P,,,,,,,,,,,,,HS,"Mainland Regional HS (Linwood, NJ)",1
2021,1,,36,36.0,Y,"$1,700,000",Noah Miller (minors),SS,,,,,,,,,,,,,HS,"Ozaukee HS (Fredonia, WI)",1
2020,1,,27,27.0,Y,"$2,750,000",Aaron Sabato (minors),1B,,,,,,,,,,,,,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)",1
2019,1,,13,13.0,Y,"$4,050,000",Keoni Cavaco (minors),SS,,,,,,,,,,,,,HS,"Eastlake HS (Chula Vista, CA)",1
2019,1,,39,39.0,Y,"$1,800,000",Matt Wallner (minors),RF,2.0,94.0,270.0,16.0,0.244,0.842,,,,,,,4Yr,"University of Southern Mississippi (Hattiesburg, MS)",1
2018,1,,20,20.0,Y,"$2,550,000",Trevor Larnach (minors),RF,1.9,188.0,603.0,20.0,0.222,0.699,,,,,,,4Yr,"Oregon State University (Corvallis, OR)",1
2017,1,,1,1.0,Y,"$6,725,000",Royce Lewis (minors),SS,2.8,70.0,257.0,17.0,0.307,0.913,,,,,,,HS,"JSerra Catholic HS (San Juan Capistrano, CA)",1
2017,1,,35,35.0,Y,"$1,935,300",Brent Rooker (minors),OF,1.2,218.0,703.0,40.0,0.23,0.766,,,,,,,4Yr,"Mississippi State University (Mississippi State, MS)",1
2016,1,,15,15.0,Y,"$2,817,100",Alex Kirilloff (minors),OF,0.7,192.0,640.0,22.0,0.259,0.738,,,,,,,HS,"Plum HS (Pittsburgh, PA)",1
2015,1,,6,6.0,Y,"$3,889,500",Tyler Jay (minors),LHP,,,,,,,,,,,,,4Yr,"University of Illinois at Urbana-Champaign (Champaign, IL)",1
2014,1,,5,5.0,Y,"$3,851,000",Nick Gordon (minors),SS,1.4,243.0,696.0,15.0,0.25,0.685,4.0,0.0,0.0,22.09,3.82,0.0,HS,"Olympia HS (Orlando, FL)",1
2013,1,,4,4.0,Y,"$4,544,400",Kohl Stewart (minors),RHP,0.2,4.0,3.0,0.0,0.333,0.667,21.0,5.0,4.0,4.88,1.48,0.0,HS,"St. Pius X HS (Houston, TX)",1
2012,1,,2,2.0,Y,"$6,000,000",Byron Buxton (minors),OF,21.0,670.0,2259.0,115.0,0.239,0.768,,,,,,,HS,"Appling County HS (Baxley, GA)",1
2012,1s,,32,32.0,Y,"$1,550,000",*Jos� Berr�os (minors),RHP,13.3,11.0,17.0,0.0,0.118,0.284,212.0,83.0,66.0,4.15,1.24,0.0,HS,"Papa Juan HS (Bayamon, Puerto Rico)",1
2012,1s,,42,42.0,Y,"$1,227,000",*Luke Bard (minors),RHP,0.8,2.0,0.0,0.0,,,55.0,4.0,4.0,4.44,1.11,0.0,4Yr,"Georgia Institute of Technology (Atlanta, GA)",1
2011,1,,30,30.0,Y,"$1,175,000",Levi Michael (minors),SS,,,,,,,,,,,,,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)",1
2011,1s,,50,50.0,Y,"$1,050,000",*Travis Harrison (minors),3B,,,,,,,,,,,,,HS,"Tustin HS (Tustin, CA)",1
2011,1s,,55,55.0,Y,"$1,000,000",*Hudson Boyd (minors),RHP,,,,,,,,,,,,,HS,"Bishop Verot HS (Fort Myers, FL)",1
2010,1,,21,21.0,Y,"$1,332,000",Alex Wimmers (minors),RHP,0.2,2.0,0.0,0.0,,,22.0,1.0,3.0,4.38,1.66,0.0,4Yr,"The Ohio State University (Columbus, OH)",1
