Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,15,15.0,Y,"$3,900,000",Jacob Gonzalez (minors),SS,,,,,,,,,,,,,4Yr,"University of Mississippi (Oxford, MS)",1
2022,1,,26,26.0,Y,"$2,800,000",Noah Schultz (minors),P,,,,,,,,,,,,,HS,"Oswego East HS (Oswego, IL)",1
2021,1,,22,22.0,Y,"$3,027,000",Colson Montgomery (minors),SS,,,,,,,,,,,,,HS,"Southridge HS (Huntingburg, IN)",1
2020,1,,11,11.0,Y,"$4,547,500",Garrett Crochet (minors),P,1.8,2.0,0.0,0.0,,,72.0,3.0,7.0,2.71,1.33,0.0,4Yr,"University of Tennessee (Knoxville, TN)",1
2019,1,,3,3.0,Y,"$7,221,200",Andrew Vaughn (minors),1B,0.9,413.0,1493.0,53.0,0.256,0.735,,,,,,,4Yr,"University of California, Berkeley (Berkeley, CA)",1
2018,1,,4,4.0,Y,"$6,411,400",Nick Madrigal (minors),SS,3.5,234.0,782.0,4.0,0.28,0.682,,,,,,,4Yr,"Oregon State University (Corvallis, OR)",1
2017,1,,11,11.0,Y,"$3,700,000",Jake Burger (minors),3B,2.9,207.0,698.0,43.0,0.251,0.81,,,,,,,4Yr,"Missouri State University (Springfield, MO)",1
2016,1,,10,10.0,Y,"$3,380,600",Zack Collins (minors),C,-1.2,152.0,398.0,11.0,0.188,0.629,,,,,,,4Yr,"University of Miami (Coral Gables, FL)",1
2016,1,,26,26.0,Y,"$2,128,500",Zack Burdi (minors),RHP,-0.8,0.0,0.0,0.0,,,18.0,0.0,1.0,8.44,1.88,0.0,4Yr,"University of Louisville (Louisville, KY)",1
2015,1,,8,8.0,Y,"$3,470,600",Carson Fulmer (minors),RHP,-0.9,22.0,3.0,0.0,0.0,0.0,77.0,7.0,10.0,6.14,1.54,0.0,4Yr,"Vanderbilt University (Nashville, TN)",1
2014,1,,3,3.0,Y,"$6,582,000",Carlos Rod�n (minors),LHP,15.8,8.0,13.0,0.0,0.154,0.385,166.0,59.0,54.0,3.83,1.25,0.0,4Yr,"North Carolina State University (Raleigh, NC)",1
2013,1,,17,17.0,Y,"$2,164,000",Tim Anderson (minors),SS,16.2,895.0,3622.0,98.0,0.282,0.735,,,,,,,JC,"East Central Community College (Decatur, MS)",1
