Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2023,1,,26,26.0,Y,"$3,300,000",George Lombard (minors),SS,,,,,,,,,,,,,HS,"Gulliver Preparatory School (Pinecrest, FL)",1
2022,1,,25,25.0,Y,"$2,880,800",Spencer Jones (minors),OF,,,,,,,,,,,,,4Yr,"Vanderbilt University (Nashville, TN)",1
2021,1,,20,20.0,Y,"$3,000,000",Trey Sweeney (minors),SS,,,,,,,,,,,,,4Yr,"Eastern Illinois University (Charleston, IL)",1
2020,1,,28,28.0,Y,"$2,500,000",Austin Wells (minors),C,0.1,19.0,70.0,4.0,0.229,0.743,,,,,,,4Yr,"University of Arizona (Tucson, AZ)",1
2019,1,,30,30.0,Y,"$2,740,300",Anthony Volpe (minors),SS,3.3,159.0,541.0,21.0,0.209,0.666,,,,,,,HS,"Delbarton School (Morristown, NJ)",1
2019,1,,38,38.0,Y,"$1,949,800",T.J. Sikkema (minors),P,,,,,,,,,,,,,4Yr,"University of Missouri (Columbia, MO)",1
2018,1,,23,23.0,Y,"$2,815,900",Anthony Seigler (minors),C,,,,,,,,,,,,,HS,"Cartersville HS (Cartersville, GA)",1
2017,1,,16,16.0,Y,"$2,184,300",Clarke Schmidt (minors),RHP,1.1,2.0,1.0,0.0,0.0,0.5,67.0,14.0,15.0,4.36,1.36,2.0,4Yr,"University of South Carolina (Columbia, SC)",1
2016,1,,18,18.0,Y,"$3,282,000",Blake Rutherford (minors),OF,-0.2,16.0,35.0,0.0,0.171,0.366,,,,,,,HS,"Chaminade College Preparatory School (West Hills, CA)",1
2015,1,,16,16.0,Y,"$2,650,000",James Kaprielian (minors),RHP,2.3,3.0,3.0,0.0,0.333,0.667,66.0,15.0,20.0,4.61,1.35,0.0,4Yr,"University of California, Los Angeles (Los Angeles, CA)",1
2015,1,,30,30.0,Y,"$1,800,000",Kyle Holder (minors),SS,,,,,,,,,,,,,4Yr,"University of San Diego (San Diego, CA)",1
2013,1,,26,26.0,Y,"$1,839,400",Eric Jagielo (minors),3B,,,,,,,,,,,,,4Yr,"University of Notre Dame (South Bend, IN)",1
2013,1,,32,32.0,Y,"$1,800,000",*Aaron Judge (minors),CF,41.5,835.0,3005.0,257.0,0.282,0.982,,,,,,,4Yr,"California State University, Fresno (Fresno, CA)",1
2013,1,,33,33.0,Y,"$1,650,100",*Ian Clarkin (minors),LHP,,,,,,,,,,,,,HS,"Madison HS (San Diego, CA)",1
2012,1,,30,30.0,Y,"$1,200,000",Ty Hensley (minors),RHP,,,,,,,,,,,,,HS,"Edmond Santa Fe HS (Edmond, OK)",1
2011,1s,,51,51.0,Y,"$750,000",*Dante Bichette (minors),3B,,,,,,,,,,,,,HS,"Orangewood Christian HS (Maitland, FL)",1
2010,1,,32,32.0,Y,"$954,000",Cito Culver (minors),RHP,,,,,,,,,,,,,HS,"Irondequoit HS (Rochester, NY)",1
2009,1s,,29,29.0,Y,"$2,200,000",*Slade Heathcott (minors),CF,0.4,17.0,25.0,2.0,0.4,1.149,,,,,,,HS,"Texas HS (Texarkana, TX)",1
2008,1,,28,28.0,N,,Gerrit Cole (minors),RHP,41.2,128.0,251.0,3.0,0.163,0.393,300.0,145.0,75.0,3.17,1.09,0.0,HS,"Orange Lutheran HS (Orange, CA)",1
2008,1s,,44,44.0,Y,"$700,000",*Jeremy Bleich (minors),LHP,-0.1,1.0,0.0,0.0,,,2.0,0.0,0.0,54.0,6.0,0.0,4Yr,"Stanford University (Palo Alto, CA)",1
2007,1,,30,30.0,Y,"$3,350,000",Andrew Brackman (minors),RHP,0.1,0.0,0.0,0.0,,,3.0,0.0,0.0,0.0,1.71,0.0,4Yr,"North Carolina State University (Raleigh, NC)",1
2006,1,,21,21.0,Y,"$2,250,000",*Ian Kennedy (minors),RHP,16.9,216.0,321.0,1.0,0.131,0.394,497.0,104.0,114.0,4.16,1.29,66.0,4Yr,"University of Southern California (Los Angeles, CA)",1
2006,1s,,41,41.0,Y,"$1,150,000",*Joba Chamberlain (minors),RHP,7.6,24.0,6.0,0.0,0.0,0.143,385.0,25.0,21.0,3.81,1.38,7.0,4Yr,"University of Nebraska-Lincoln (Lincoln, NE)",1
2005,1,,17,17.0,Y,"$1,575,000",*C.J. Henry (minors),SS,,,,,,,,,,,,,HS,"Putnam City HS (Oklahoma City, OK)",1
2004,1,,23,23.0,Y,"$1,400,000",*Phil Hughes (minors),RHP,11.0,32.0,18.0,0.0,0.0,0.0,290.0,88.0,79.0,4.52,1.31,3.0,HS,"Foothill HS (Santa Ana, CA)",1
2004,1s,,37,37.0,Y,"$925,000",*Jon Poterson (minors),C,,,,,,,,,,,,,HS,"Chandler HS (Chandler, AZ)",1
2004,1s,,41,41.0,Y,"$790,000",*Jeff Marquez (minors),RHP,0.0,1.0,0.0,0.0,,,4.0,0.0,0.0,5.4,1.4,0.0,JC,"Sacramento City College (Sacramento, CA)",1
2003,1,,27,27.0,Y,"$1,250,000",Eric Duncan (minors),3B,,,,,,,,,,,,,HS,"Seton Hall Preparatory School (West Orange, NJ)",1
2001,1,,23,23.0,Y,"$1,200,000",*John-Ford Griffin (minors),OF,0.2,13.0,23.0,2.0,0.304,1.066,,,,,,,4Yr,"Florida State University (Tallahassee, FL)",1
2001,1s,,34,34.0,Y,"$1,000,000",*Bronson Sardinha (minors),SS,0.0,10.0,9.0,0.0,0.333,0.75,,,,,,,HS,"Kamehameha HS (Honolulu, HI)",1
2001,1s,,42,42.0,Y,"$600,000",*Jon Skaggs (minors),RHP,,,,,,,,,,,,,4Yr,"Rice University (Houston, TX)",1
2000,1,,28,28.0,Y,"$1,425,000",Dave Parrish (minors),C,,,,,,,,,,,,,4Yr,"University of Michigan (Ann Arbor, MI)",1
1999,1,,27,27.0,Y,"$1,075,000",Dave Walling (minors),RHP,,,,,,,,,,,,,4Yr,"University of Arkansas (Fayetteville, AR)",1
1998,1,,24,24.0,Y,"$1,050,000",Andy Brown (minors),OF,,,,,,,,,,,,,HS,"Richmond HS (Richmond, IN)",1
1998,1s,,43,43.0,N,,*Mark Prior (minors),RHP,16.6,102.0,204.0,1.0,0.201,0.496,106.0,42.0,29.0,3.51,1.23,0.0,HS,"University HS (San Diego, CA)",1
1997,1,,24,24.0,N,,*Tyrell Godwin (minors),OF,,3.0,3.0,0.0,0.0,0.0,,,,,,,HS,"East Bladen HS (Elizabethtown, NC)",1
1997,1s,,40,40.0,Y,,*Ryan Bradley (minors),RHP,-0.1,0.0,0.0,0.0,,,5.0,2.0,1.0,5.68,1.66,0.0,4Yr,"Arizona State University (Tempe, AZ)",1
1996,1,,20,20.0,Y,"$775,000",*Eric Milton (minors),LHP,16.5,113.0,205.0,2.0,0.176,0.455,271.0,89.0,85.0,4.99,1.34,0.0,4Yr,"University of Maryland (College Park, MD)",1
1995,1,,27,27.0,Y,"$650,000",Shea Morenz (minors),OF,,,,,,,,,,,,,4Yr,"University of Texas at Austin (Austin, TX)",1
1994,1,,24,24.0,Y,"$500,000",Brian Buchanan (minors),1B,0.4,346.0,767.0,32.0,0.258,0.767,,,,,,,4Yr,"University of Virginia (Charlottesville, VA)",1
1993,1,,13,13.0,Y,"$620,000",Matt Drews (minors),RHP,,,,,,,,,,,,,HS,"Sarasota HS (Sarasota, FL)",1
1992,1,,6,6.0,Y,"$700,000",Derek Jeter (minors),SS,71.3,2747.0,11195.0,260.0,0.31,0.817,,,,,,,HS,"Central HS (Kalamazoo, MI)",1
1991,1,,1,1.0,Y,"$1,550,000",Brien Taylor (minors),LHP,,,,,,,,,,,,,HS,"East Carteret HS (Beaufort, NC)",1
1990,1,,10,10.0,Y,"$250,000",Carl Everett (minors),OF,20.4,1405.0,4809.0,202.0,0.271,0.802,,,,,,,HS,"Hillsborough HS (Tampa, FL)",1
1985,1s,,28,28.0,Y,,*Rick Balabon (minors),RHP,,,,,,,,,,,,,HS,"Conestoga HS (Berwyn, PA)",1
1984,1,,22,22.0,Y,"$92,500",Jeff Pries (minors),RHP,,,,,,,,,,,,,4Yr,"University of California, Los Angeles (Los Angeles, CA)",1
1978,1,,18,18.0,Y,"$100,000",*Rex Hudler (minors),SS,6.3,774.0,1767.0,56.0,0.261,0.717,,,,,,,HS,"Bullard HS (Fresno, CA)",1
1978,1,,24,24.0,Y,"$40,000",*Matt Winters (minors),OF,-0.7,42.0,107.0,2.0,0.234,0.666,,,,,,,HS,"Williamsville HS (Williamsville, NY)",1
1978,1,,26,26.0,Y,"$50,000",Brian Ryder (minors),RHP,,,,,,,,,,,,,HS,"Shrewsbury HS (Shrewsbury, MA)",1
1977,1,,23,23.0,Y,"$40,000",Steve Taylor (minors),RHP,,,,,,,,,,,,,4Yr,"University of Delaware (Newark, DE)",1
1976,1,,16,16.0,Y,"$27,500",Pat Tabler (minors),OF,3.1,1202.0,3911.0,47.0,0.282,0.724,,,,,,,HS,"McNicholas HS (Cincinnati, OH)",1
1975,1,,19,19.0,Y,"$31,500",Jim McDonald (minors),1B,,,,,,,,,,,,,HS,"Verbum Dei HS (Los Angeles, CA)",1
1974,1,,12,12.0,Y,"$55,000",Dennis Sherrill (minors),SS,-0.1,5.0,5.0,0.0,0.2,0.4,,,,,,,HS,"South Miami HS (Miami, FL)",1
1973,1,,13,13.0,Unk,,Doug Heinold (minors),RHP,,,,,,,,,,,,,HS,"Stroman HS (Victoria, TX)",1
1972,1,,14,14.0,Y,"$72,000",Scott McGregor (minors),LHP,20.2,1.0,0.0,0.0,,,356.0,138.0,108.0,3.99,1.29,5.0,HS,"El Segundo HS (El Segundo, CA)",1
1971,1,,19,19.0,Y,"$35,000",Terry Whitfield (minors),OF,5.7,730.0,1913.0,33.0,0.281,0.724,,,,,,,HS,"Palo Verde HS (Blythe, CA)",1
1970,1,,12,12.0,Y,"$57,000",Dave Cheadle (minors),LHP,-0.3,2.0,0.0,0.0,,,2.0,0.0,1.0,18.0,2.5,0.0,HS,"Asheville HS (Asheville, NC)",1
1969,1,,11,11.0,Y,"$30,000",Charlie Spikes (minors),3B,0.4,670.0,2039.0,65.0,0.246,0.693,,,,,,,HS,"Central Memorial HS (Bogalusa, LA)",1
1968,1,,4,4.0,Y,"$45,000",Thurman Munson (minors),C,46.1,1423.0,5344.0,113.0,0.292,0.756,,,,,,,4Yr,"Kent State University (Kent, OH)",1
1967,1,,1,1.0,Y,"$65,000",Ron Blomberg (minors),1B,9.4,461.0,1333.0,52.0,0.293,0.832,,,,,,,HS,"Druid Hills HS (Atlanta, GA)",1
1966,1,,10,10.0,Y,"$43,000",Jim Lyttle (minors),OF,-0.2,391.0,710.0,9.0,0.248,0.657,,,,,,,4Yr,"Florida State University (Tallahassee, FL)",1
1965,1,,19,19.0,Y,"$35,000",Bill Burbach (minors),RHP,-1.1,37.0,47.0,0.0,0.085,0.246,37.0,6.0,11.0,4.48,1.6,0.0,HS,"Wahlert Catholic HS (Dubuque, IA)",1
2022,2,,61,22.0,Y,"$1,187,600",Drew Thorpe (minors),P,,,,,,,,,,,,,4Yr,"California Polytechnic State University, San Luis Obispo (San Luis Obispo, CA)",2
2021,2,,55,19.0,Y,"$1,050,000",Brendan Beck (minors),P,,,,,,,,,,,,,4Yr,"Stanford University (Palo Alto, CA)",2
2019,2,,67,26.0,Y,"$976,700",Josh H. Smith (minors),2B,1.1,163.0,408.0,8.0,0.191,0.592,,,,,,,4Yr,"Louisiana State University (Baton Rouge, LA)",2
2018,2,,61,18.0,Y,"$1,497,500",Josh Breaux (minors),C,,,,,,,,,,,,,JC,"McLennan Community College (Waco, TX)",2
2017,2,,54,18.0,Y,"$2,497,500",Matt Sauer (minors),RHP,,,,,,,,,,,,,HS,"Righetti HS (Santa Maria, CA)",2
2016,2,,62,21.0,Y,"$950,000",Nick Solak (minors),2B,0.6,255.0,865.0,21.0,0.252,0.7,,,,,,,4Yr,"University of Louisville (Louisville, KY)",2
2015,2,,57,15.0,Y,"$650,000",Jeff Degano (minors),LHP,,,,,,,,,,,,,4Yr,"Indiana State University (Terre Haute, IN)",2
2014,2,,55,14.0,Y,"$1,018,700",Jacob Lindgren (minors),LHP,0.0,0.0,0.0,0.0,,,7.0,0.0,0.0,5.14,1.29,0.0,4Yr,"Mississippi State University (Mississippi State, MS)",2
2013,2,,66,27.0,Y,"$845,700",Gosuke Katoh (minors),2B,0.1,8.0,7.0,0.0,0.143,0.686,,,,,,,HS,"Rancho Bernardo HS (San Diego, CA)",2
2012,2,,89,29.0,Y,"$1,000,000",*Austin Aune (minors),CF,,,,,,,,,,,,,HS,"Argyle HS (Argyle, TX)",2
2012,2,,94,34.0,Y,"$460,000",Peter O'Brien (minors),C,-0.8,72.0,182.0,11.0,0.209,0.709,,,,,,,4Yr,"University of Miami (Coral Gables, FL)",2
2011,2,,88,28.0,N,,Sam Stafford (minors),LHP,,,,,,,,,,,,,4Yr,"University of Texas at Austin (Austin, TX)",2
2010,2,,82,32.0,Y,"$750,000",Angelo Gumbs (minors),SS,,,,,,,,,,,,,HS,"Torrance HS (Torrance, CA)",2
2009,2s,,76,27.0,Y,"$1,250,000",*John Ryan Murphy (minors),C,-0.4,284.0,680.0,18.0,0.215,0.606,3.0,0.0,0.0,20.25,3.25,0.0,HS,"IMG Academy (Bradenton, FL)",2
2008,2,,75,29.0,N,,Scott Bittle (minors),RHP,,,,,,,,,,,,,4Yr,"University of Mississippi (Oxford, MS)",2
2007,2,,94,30.0,Y,"$500,000",Austin Romine (minors),C,-1.3,484.0,1352.0,31.0,0.23,0.616,1.0,0.0,0.0,27.0,4.0,0.0,HS,"El Toro HS (Lake Forest, CA)",2
2005,2,,63,15.0,Y,"$550,000",*J.B. Cox (minors),RHP,,,,,,,,,,,,,4Yr,"University of Texas at Austin (Austin, TX)",2
2004,2,,42,1.0,Y,"$800,000",*Brett Smith (minors),RHP,,,,,,,,,,,,,4Yr,"University of California, Irvine (Irvine, CA)",2
2003,2,,64,27.0,Y,"$725,000",Estee Harris (minors),OF,,,,,,,,,,,,,HS,"Central Islip HS (Central Islip, NY)",2
2002,2,,71,30.0,Y,"$565,000",*Brandon Weeden (minors),RHP,,,,,,,,,,,,,HS,"Edmond Santa Fe HS (Edmond, OK)",2
2001,2,,62,18.0,Y,"$655,000",Shelley Duncan (minors),OF,1.0,330.0,885.0,43.0,0.226,0.724,,,,,,,4Yr,"University of Arizona (Tucson, AZ)",2
2001,2,,63,19.0,Y,"$400,000",*Jason Arnold (minors),RHP,,,,,,,,,,,,,4Yr,"University of Central Florida (Orlando, FL)",2
2000,2,,68,28.0,Y,"$600,000",Danny Borrell (minors),LHP,,,,,,,,,,,,,4Yr,"Wake Forest University (Winston-Salem, NC)",2
1999,2,,78,27.0,Y,"$525,000",Tommy Winrow (minors),OF,,,,,,,,,,,,,HS,"Bishop Verot HS (Fort Myers, FL)",2
1998,2,,67,24.0,Y,"$525,000",Randy Keisler (minors),LHP,-1.5,31.0,25.0,1.0,0.2,0.6,55.0,4.0,4.0,6.63,1.71,0.0,4Yr,"Louisiana State University (Baton Rouge, LA)",2
1997,2s,,84,32.0,Y,,*Jason Henry (minors),RHP,,,,,,,,,,,,,4Yr,"University of Illinois at Chicago (Chicago, IL)",2
1996,2,,59,24.0,Y,,Jason Coble (minors),LHP,,,,,,,,,,,,,HS,"Lincoln County HS (Fayetteville, TN)",2
1995,2,,57,27.0,Y,,Rich Brown (minors),OF,,,,,,,,,,,,,HS,"Nova HS (Davie, FL)",2
1995,2s,,59,29.0,Y,,*Brian Buchanan (minors),LHP,,,,,,,,,,,,,HS,"Oviedo HS (Oviedo, FL)",2
1994,2,,58,24.0,Y,,Rod Smith (minors),OF,,,,,,,,,,,,,HS,"Lafayette HS (Lexington, KY)",2
1990,2,,45,5.0,Y,,*Robert Eenhoorn (minors),SS,0.2,37.0,67.0,1.0,0.239,0.589,,,,,,,4Yr,"Davidson College (Davidson, NC)",2
1989,2,,45,15.0,Y,,Andy Fox (minors),3B,-0.5,776.0,1925.0,30.0,0.24,0.662,,,,,,,HS,"Christian Brothers HS (Sacramento, CA)",2
1986,2,,53,25.0,Y,,Rich Scheid (minors),LHP,-0.3,21.0,9.0,0.0,0.0,0.0,21.0,1.0,4.0,4.45,1.54,0.0,4Yr,"Seton Hall University (South Orange, NJ)",2
1985,2,,51,23.0,Y,,Troy Evers (minors),RHP,,,,,,,,,,,,,4Yr,"Iowa State University (Ames, IA)",2
1984,2,,39,11.0,Y,,*Keith Miller (minors),OF,3.8,465.0,1326.0,12.0,0.262,0.675,,,,,,,4Yr,"Oral Roberts University (Tulsa, OK)",2
1984,2,,50,22.0,Y,,Al Leiter (minors),LHP,40.0,271.0,530.0,0.0,0.085,0.244,419.0,162.0,132.0,3.8,1.39,2.0,HS,"Central Regional HS (Bayville, NJ)",2
1982,2,,36,8.0,Y,,*Tim Birtsas (minors),LHP,0.9,107.0,18.0,1.0,0.056,0.278,138.0,14.0,14.0,4.08,1.5,1.0,4Yr,"Michigan State University (East Lansing, MI)",2
1982,2,,50,22.0,N,,Bo Jackson (minors),SS,8.3,694.0,2393.0,141.0,0.25,0.784,,,,,,,HS,"McAdory HS (McCalla, AL)",2
1981,2,,52,26.0,Y,,John Elway (minors),OF,,,,,,,,,,,,,4Yr,"Stanford University (Palo Alto, CA)",2
1979,2,,51,25.0,Y,"$208,000",Todd Demeter (minors),INF,,,,,,,,,,,,,HS,"Grant HS (Oklahoma City, OK)",2
1978,2,,52,26.0,Y,,Steve Balboni (minors),1B,0.8,960.0,3120.0,181.0,0.229,0.743,,,,,,,4Yr,"Eckerd College (St. Petersburg, FL)",2
1977,2,,49,23.0,N,,Jeff White (minors),C,,,,,,,,,,,,,HS,"Bryan Station HS (Lexington, KY)",2
1976,2,,40,16.0,Y,,Calvin Riggar (minors),LHP,,,,,,,,,,,,,HS,"Lennox HS (Lennox, CA)",2
1975,2,,43,19.0,Y,,Benny Lloyd (minors),OF,,,,,,,,,,,,,HS,"Manual Arts HS (Los Angeles, CA)",2
1974,2,,36,12.0,Y,,Dave Bergman (minors),1B,6.7,1349.0,2679.0,54.0,0.258,0.716,,,,,,,4Yr,"Illinois State University (Normal, IL)",2
1973,2,,37,13.0,Y,,Mike Heath (minors),SS,13.4,1325.0,4212.0,86.0,0.252,0.667,,,,,,,HS,"Hillsborough HS (Tampa, FL)",2
1972,2,,38,14.0,Y,,Ken Clay (minors),RHP,-1.2,1.0,0.0,0.0,,,111.0,10.0,24.0,4.68,1.5,3.0,HS,"E. C. Glass HS (Lynchburg, VA)",2
1971,2,,43,19.0,Y,,Stephen Lindsey (minors),3B,,,,,,,,,,,,,HS,"McLane HS (Fresno, CA)",2
1970,2,,36,12.0,Y,,Richard Earle (minors),RHP,,,,,,,,,,,,,HS,"Highland Park HS (Highland Park, NJ)",2
1969,2,,35,11.0,N,,Peter Helt (minors),LHP,,,,,,,,,,,,,HS,"Morristown HS (Morristown, NJ)",2
1968,2,,24,4.0,Y,,Kenneth Johnson (minors),SS,,,,,,,,,,,,,HS,"Redwood HS (Larkspur, CA)",2
1967,2,,21,1.0,Y,,Alfonzo Neal (minors),3B,,,,,,,,,,,,,HS,"Womack HS (Longview, TX)",2
1966,2,,30,10.0,Y,,Gary Timberlake (minors),LHP,-0.3,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,7.5,2.67,0.0,HS,"Meade County HS (Brandenburg, KY)",2
1965,2,,39,19.0,N,,Danny Thompson (minors),SS,1.8,694.0,2218.0,15.0,0.248,0.596,,,,,,,HS,"Capron HS (Capron, OK)",2
2023,3,,97,27.0,Y,"$692,000",Kyle Carr (minors),P,,,,,,,,,,,,,JC,"Palomar College (San Marcos, CA)",3
2022,3,,100,20.0,Y,"$608,900",Trystan Vrieling (minors),P,,,,,,,,,,,,,4Yr,"Gonzaga University (Spokane, WA)",3
2021,3,,92,21.0,Y,"$1,500,000",Brock Selvidge (minors),P,,,,,,,,,,,,,HS,"Hamilton HS (Chandler, AZ)",3
2020,3,,99,27.0,Y,"$587,400",Trevor Hauver (minors),2B,,,,,,,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",3
2019,3,,105,27.0,Y,"$597,500",Jake Sanford (minors),CF,,,,,,,,,,,,,4Yr,"Western Kentucky University (Bowling Green, KY)",3
2018,3,,97,19.0,Y,"$997,500",Ryder Green (minors),OF,,,,,,,,,,,,,HS,"Karns HS (Knoxville, TN)",3
2017,3,,92,17.0,Y,"$797,500",Trevor Stephan (minors),RHP,1.7,4.0,0.0,0.0,,,180.0,16.0,13.0,3.73,1.29,6.0,4Yr,"University of Arkansas (Fayetteville, AR)",3
2016,3,,98,21.0,Y,"$1,150,000",Nolan Martinez (minors),RHP,,,,,,,,,,,,,HS,"Culver City HS (Culver City, CA)",3
2015,3,,92,17.0,Y,"$950,000",Drew Finley (minors),RHP,,,,,,,,,,,,,HS,"Rancho Bernardo HS (San Diego, CA)",3
2014,3,,91,17.0,Y,"$1,000,000",Austin DeCarr (minors),RHP,,,,,,,,,,,,,HS,"Salisbury School (Salisbury, CT)",3
2013,3,,103,30.0,Y,"$500,900",Michael O'Neill (minors),CF,,,,,,,,,,,,,4Yr,"University of Michigan (Ann Arbor, MI)",3
2012,3,,124,29.0,Y,"$400,000",Nathan Mikolas (minors),OF,,,,,,,,,,,,,HS,"Bradford HS (Kenosha, WI)",3
2011,3,,118,28.0,Y,"$725,000",Jordan Cote (minors),RHP,,,,,,,,,,,,,HS,"Winnisquam Regional HS (Northfield, NH)",3
2010,3,,112,30.0,Y,"$377,500",Rob Segedin (minors),3B,-0.2,53.0,93.0,2.0,0.226,0.636,,,,,,,4Yr,"Tulane University (New Orleans, LA)",3
2008,3,,106,29.0,Y,"$333,000",David Adams (minors),2B,-0.4,43.0,140.0,2.0,0.193,0.537,,,,,,,4Yr,"University of Virginia (Charlottesville, VA)",3
2007,3,,124,30.0,Y,"$229,500",Ryan Pope (minors),RHP,,,,,,,,,,,,,4Yr,"Savannah College of Art and Design (Savannah, GA)",3
2006,3,,104,28.0,Y,"$368,000",Zach McAllister (minors),RHP,2.2,19.0,6.0,0.0,0.167,0.333,287.0,29.0,35.0,4.15,1.39,1.0,HS,"Illinois Valley Central HS (Chillicothe, IL)",3
2005,3,,109,29.0,Y,"$210,000",Brett Gardner (minors),OF,44.3,1688.0,5737.0,139.0,0.256,0.74,,,,,,,4Yr,"College of Charleston (Charleston, SC)",3
2004,3,,99,28.0,Y,"$390,000",Christian Garcia (minors),RHP,0.3,13.0,0.0,0.0,,,13.0,0.0,0.0,2.13,0.79,0.0,HS,"Gulliver Preparatory School (Pinecrest, FL)",3
2003,3,,94,27.0,Y,"$425,000",Tim Battle (minors),OF,,,,,,,,,,,,,HS,"McIntosh HS (Peachtree City, GA)",3
2001,3,,95,19.0,Y,"$400,000",Chase Wright (minors),LHP,-0.1,0.0,0.0,0.0,,,3.0,2.0,0.0,7.2,1.8,0.0,HS,"Iowa Park HS (Iowa Park, TX)",3
2000,3,,98,28.0,Y,"$400,000",Jason Grove (minors),OF,,,,,,,,,,,,,4Yr,"Washington State University (Pullman, WA)",3
1999,3,,111,27.0,Y,,Alex Graman (minors),LHP,-0.5,0.0,0.0,0.0,,,5.0,0.0,0.0,18.47,3.32,0.0,4Yr,"Indiana State University (Terre Haute, IN)",3
1998,3,,97,24.0,Y,"$2,000,000",Drew Henson (minors),3B,-0.1,8.0,9.0,0.0,0.111,0.222,,,,,,,HS,"Brighton HS (Brighton, MI)",3
1997,3,,109,25.0,Y,,Mike Knowles (minors),RHP,,,,,,,,,,,,,HS,"Palatka HS (Palatka, FL)",3
1996,3,,89,24.0,Y,,Nick Johnson (minors),1B,14.5,832.0,2698.0,95.0,0.268,0.84,,,,,,,HS,"McClatchy HS (Sacramento, CA)",3
1995,3,,86,27.0,Y,,Luke Wilcox (minors),OF,,,,,,,,,,,,,4Yr,"Western Michigan University (Kalamazoo, MI)",3
1994,3,,87,24.0,Y,,Garrett Butler (minors),OF,,,,,,,,,,,,,HS,"Miami Northwestern HS (Miami, FL)",3
